Entidad,B1-A-Mucho-Recuento,B1-A-Mucho-% del N de fila,B1-A-Mucho-% de N columnas,B1-A-Regular-Recuento,B1-A-Regular-% del N de fila,B1-A-Regular-% de N columnas,B1-A-Poco-Recuento,B1-A-Poco-% del N de fila,B1-A-Poco-% de N columnas,B1-A-Nada-Recuento,B1-A-Nada-% del N de fila,B1-A-Nada-% de N columnas,B1-B-Mucho-Recuento,B1-B-Mucho-% del N de fila,B1-B-Mucho-% de N columnas,B1-B-Regular-Recuento,B1-B-Regular-% del N de fila,B1-B-Regular-% de N columnas,B1-B-Poco-Recuento,B1-B-Poco-% del N de fila,B1-B-Poco-% de N columnas,B1-B-Nada-Recuento,B1-B-Nada-% del N de fila,B1-B-Nada-% de N columnas,B1-C-Mucho-Recuento,B1-C-Mucho-% del N de fila,B1-C-Mucho-% de N columnas,B1-C-Regular-Recuento,B1-C-Regular-% del N de fila,B1-C-Regular-% de N columnas,B1-C-Poco-Recuento,B1-C-Poco-% del N de fila,B1-C-Poco-% de N columnas,B1-C-Nada-Recuento,B1-C-Nada-% del N de fila,B1-C-Nada-% de N columnas,B1-D-Mucho-Recuento,B1-D-Mucho-% del N de fila,B1-D-Mucho-% de N columnas,B1-D-Regular-Recuento,B1-D-Regular-% del N de fila,B1-D-Regular-% de N columnas,B1-D-Poco-Recuento,B1-D-Poco-% del N de fila,B1-D-Poco-% de N columnas,B1-D-Nada-Recuento,B1-D-Nada-% del N de fila,B1-D-Nada-% de N columnas,B1-E-Mucho-Recuento,B1-E-Mucho-% del N de fila,B1-E-Mucho-% de N columnas,B1-E-Regular-Recuento,B1-E-Regular del N de fila,B1-E-Regular-% de N columnas,B1-E-Poco-Recuento,B1-E-Poco-% del N de fila,B1-E-Poco-% de N columnas,B1-E-Nada-Recuento,B1-E-Nada-% del N de fila,B1-E-Nada-% de N columnas,B1-F-Mucho-Recuento,B1-F-Mucho-% del N de fila,B1-F-Mucho-% de N columnas,B1-F-Regular-Recuento,B1-F-Regular-% del N de fila,B1-F-Regular-% de N columnas,B1-F-Poco-Recuento,B1-F-Poco-% del N de fila,B1-F-Poco-% de N columnas,B1-F-Nada-Recuento,B1-F-Nada-% del N de fila,B1-F-Nada-% de N columnas,B1-G-Mucho-Recuento,B1-G-Mucho-% del N de fila,B1-G-Mucho-% de N columnas,B1-G-Regular-Recuento,B1-G-Regular-% del N de fila,B1-G-Regular-% de N columnas,B1-G-Poco-Recuento,B1-G-Poco-% del N de fila,B1-G-Poco-% de N columnas,B1-G-Nada-Recuento,B1-G-Nada-% del N de fila,B1-G-Nada-% de N columnas,B1-H-Mucho-Recuento,B1-H-Mucho-% del N de fila,B1-H-Mucho-% de N columnas,B1-H-Regular-Recuento,B1-H-Regular-% del N de fila,B1-H-Regular-% de N columnas,B1-H-Poco-Recuento,B1-H-Poco-% del N de fila,B1-H-Poco-% de N columnas,B1-H-Nada-Recuento,B1-H-Nada-% del N de fila,B1-H-Nada-% de N columnas,B1-I-Mucho-Recuento,B1-I-Mucho--% del N de fila,B1-I-Mucho-% de N columnas,B1-I-Regular-Recuento,B1-I-Regular-% del N de fila,B1-I-Regular-% de N columnas,B1-I-Poco-Recuento,B1-I-Poco-% del N de fila,B1-I-Poco-% de N columnas,B1-I-Nada-Recuento,B1-I-Nada-% del N de fila,B1-I-Nada-% de N columnas
AGUASCALIENTES,58.00,0.32,0.04,109.00,0.60,0.05,14.00,0.08,0.03,1.00,0.01,0.03,133.00,0.73,0.04,48.00,0.26,0.04,1.00,0.01,0.02,0.00,0.00,0.00,84.00,0.46,0.04,87.00,0.48,0.05,9.00,0.05,0.03,2.00,0.01,0.29,131.00,0.72,0.05,48.00,0.26,0.04,3.00,0.02,0.03,0.00,0.00,0.00,118.00,0.65,0.04,60.00,0.33,0.05,4.00,0.02,0.03,0.00,0.00,0.00,124.00,0.68,0.04,55.00,0.30,0.04,2.00,0.01,0.02,1.00,0.01,0.14,151.00,0.83,0.05,28.00,0.15,0.03,3.00,0.02,0.06,0.00,0.00,0.00,126.00,0.69,0.04,52.00,0.29,0.04,4.00,0.02,0.04,0.00,0.00,0.00,130.00,0.71,0.04,43.00,0.24,0.04,8.00,0.04,0.09,1.00,0.01,0.20
BAJA CALIFORNIA,12.00,0.27,0.01,27.00,0.61,0.01,5.00,0.11,0.01,0.00,0.00,0.00,28.00,0.64,0.01,15.00,0.34,0.01,1.00,0.02,0.02,0.00,0.00,0.00,19.00,0.43,0.01,21.00,0.48,0.01,4.00,0.09,0.01,0.00,0.00,0.00,30.00,0.68,0.01,14.00,0.32,0.01,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.73,0.01,11.00,0.25,0.01,1.00,0.02,0.01,0.00,0.00,0.00,31.00,0.71,0.01,12.00,0.27,0.01,1.00,0.02,0.01,0.00,0.00,0.00,34.00,0.77,0.01,10.00,0.23,0.01,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.68,0.01,14.00,0.32,0.01,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.73,0.01,12.00,0.27,0.01,0.00,0.00,0.00,0.00,0.00,0.00
BAJA CALIFORNIA SUR,67.00,0.36,0.05,99.00,0.54,0.04,18.00,0.10,0.04,0.00,0.00,0.00,148.00,0.80,0.05,35.00,0.19,0.03,1.00,0.01,0.02,0.00,0.00,0.00,105.00,0.57,0.05,60.00,0.33,0.03,19.00,0.10,0.06,0.00,0.00,0.00,134.00,0.73,0.05,48.00,0.26,0.04,2.00,0.01,0.02,0.00,0.00,0.00,128.00,0.70,0.04,52.00,0.28,0.04,4.00,0.02,0.03,0.00,0.00,0.00,123.00,0.67,0.04,56.00,0.30,0.05,5.00,0.03,0.05,0.00,0.00,0.00,148.00,0.80,0.04,34.00,0.19,0.04,2.00,0.01,0.04,0.00,0.00,0.00,132.00,0.72,0.05,50.00,0.27,0.04,2.00,0.01,0.02,0.00,0.00,0.00,150.00,0.82,0.05,34.00,0.19,0.03,0.00,0.00,0.00,0.00,0.00,0.00
CAMPECHE,43.00,0.37,0.03,58.00,0.50,0.03,14.00,0.12,0.03,1.00,0.01,0.03,80.00,0.69,0.03,36.00,0.31,0.03,0.00,0.00,0.00,0.00,0.00,0.00,57.00,0.49,0.03,52.00,0.45,0.03,7.00,0.06,0.02,0.00,0.00,0.00,80.00,0.69,0.03,35.00,0.30,0.03,1.00,0.01,0.01,0.00,0.00,0.00,80.00,0.69,0.03,33.00,0.28,0.03,2.00,0.02,0.02,1.00,0.01,0.08,83.00,0.72,0.03,31.00,0.27,0.03,2.00,0.02,0.02,0.00,0.00,0.00,94.00,0.81,0.03,20.00,0.17,0.02,2.00,0.02,0.04,0.00,0.00,0.00,85.00,0.73,0.03,27.00,0.23,0.02,4.00,0.03,0.04,0.00,0.00,0.00,89.00,0.77,0.03,24.00,0.21,0.02,3.00,0.03,0.03,0.00,0.00,0.00
CHIAPAS,31.00,0.40,0.02,42.00,0.54,0.02,5.00,0.06,0.01,0.00,0.00,0.00,45.00,0.58,0.02,32.00,0.41,0.03,1.00,0.01,0.02,0.00,0.00,0.00,29.00,0.37,0.01,39.00,0.50,0.02,10.00,0.13,0.03,0.00,0.00,0.00,44.00,0.56,0.02,32.00,0.41,0.03,2.00,0.03,0.02,0.00,0.00,0.00,43.00,0.55,0.02,32.00,0.41,0.03,3.00,0.04,0.02,0.00,0.00,0.00,50.00,0.64,0.02,27.00,0.35,0.02,1.00,0.01,0.01,0.00,0.00,0.00,59.00,0.76,0.02,19.00,0.24,0.02,0.00,0.00,0.00,0.00,0.00,0.00,44.00,0.56,0.02,32.00,0.41,0.03,2.00,0.03,0.02,0.00,0.00,0.00,51.00,0.65,0.02,27.00,0.35,0.03,0.00,0.00,0.00,0.00,0.00,0.00
CHIHUAHUA,54.00,0.30,0.04,94.00,0.52,0.04,31.00,0.17,0.07,1.00,0.01,0.03,115.00,0.64,0.04,62.00,0.34,0.05,3.00,0.02,0.05,0.00,0.00,0.00,74.00,0.41,0.04,94.00,0.52,0.05,12.00,0.07,0.04,0.00,0.00,0.00,118.00,0.66,0.04,59.00,0.33,0.05,3.00,0.02,0.03,0.00,0.00,0.00,105.00,0.58,0.04,66.00,0.37,0.06,8.00,0.04,0.07,1.00,0.01,0.08,100.00,0.56,0.04,78.00,0.43,0.06,2.00,0.01,0.02,0.00,0.00,0.00,132.00,0.73,0.04,44.00,0.24,0.05,4.00,0.02,0.07,0.00,0.00,0.00,114.00,0.63,0.04,59.00,0.33,0.05,7.00,0.04,0.07,0.00,0.00,0.00,126.00,0.70,0.04,51.00,0.28,0.05,3.00,0.02,0.03,0.00,0.00,0.00
CIUDAD DE MÉXICO,63.00,0.37,0.04,96.00,0.57,0.04,11.00,0.07,0.03,0.00,0.00,0.00,121.00,0.71,0.04,47.00,0.28,0.04,2.00,0.01,0.03,0.00,0.00,0.00,88.00,0.52,0.04,70.00,0.41,0.04,12.00,0.07,0.04,0.00,0.00,0.00,124.00,0.73,0.04,42.00,0.25,0.03,4.00,0.02,0.04,0.00,0.00,0.00,113.00,0.67,0.04,49.00,0.29,0.04,8.00,0.05,0.07,0.00,0.00,0.00,114.00,0.67,0.04,52.00,0.31,0.04,4.00,0.02,0.04,0.00,0.00,0.00,136.00,0.80,0.04,33.00,0.19,0.04,1.00,0.01,0.02,0.00,0.00,0.00,115.00,0.68,0.04,52.00,0.31,0.04,3.00,0.02,0.03,0.00,0.00,0.00,124.00,0.73,0.04,44.00,0.26,0.04,2.00,0.01,0.02,0.00,0.00,0.00
COAHUILA,24.00,0.28,0.02,54.00,0.63,0.02,6.00,0.07,0.01,2.00,0.02,0.06,67.00,0.78,0.02,16.00,0.19,0.01,3.00,0.04,0.05,0.00,0.00,0.00,50.00,0.58,0.02,31.00,0.36,0.02,5.00,0.06,0.02,0.00,0.00,0.00,65.00,0.76,0.02,20.00,0.23,0.02,1.00,0.01,0.01,0.00,0.00,0.00,63.00,0.73,0.02,21.00,0.24,0.02,2.00,0.02,0.02,0.00,0.00,0.00,66.00,0.77,0.02,19.00,0.22,0.02,1.00,0.01,0.01,0.00,0.00,0.00,71.00,0.83,0.02,13.00,0.15,0.02,2.00,0.02,0.04,0.00,0.00,0.00,60.00,0.70,0.02,25.00,0.29,0.02,1.00,0.01,0.01,0.00,0.00,0.00,67.00,0.78,0.02,16.00,0.19,0.02,3.00,0.04,0.03,0.00,0.00,0.00
COLIMA,64.00,0.40,0.04,78.00,0.49,0.03,17.00,0.11,0.04,0.00,0.00,0.00,121.00,0.76,0.04,38.00,0.24,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.62,0.05,54.00,0.34,0.03,6.00,0.04,0.02,0.00,0.00,0.00,119.00,0.75,0.04,38.00,0.24,0.03,2.00,0.01,0.02,0.00,0.00,0.00,123.00,0.77,0.04,35.00,0.22,0.03,1.00,0.01,0.01,0.00,0.00,0.00,120.00,0.76,0.04,35.00,0.22,0.03,4.00,0.03,0.04,0.00,0.00,0.00,129.00,0.81,0.04,29.00,0.18,0.04,1.00,0.01,0.02,0.00,0.00,0.00,119.00,0.75,0.04,37.00,0.23,0.03,3.00,0.02,0.03,0.00,0.00,0.00,119.00,0.75,0.04,39.00,0.25,0.04,1.00,0.01,0.01,0.00,0.00,0.00
DURANGO,59.00,0.36,0.04,82.00,0.51,0.04,19.00,0.12,0.04,2.00,0.01,0.06,113.00,0.70,0.04,46.00,0.28,0.04,3.00,0.02,0.05,0.00,0.00,0.00,78.00,0.48,0.04,69.00,0.43,0.04,15.00,0.09,0.05,0.00,0.00,0.00,112.00,0.69,0.04,47.00,0.29,0.04,3.00,0.02,0.03,0.00,0.00,0.00,102.00,0.63,0.04,51.00,0.32,0.04,8.00,0.05,0.07,1.00,0.01,0.08,106.00,0.65,0.04,49.00,0.30,0.04,7.00,0.04,0.06,0.00,0.00,0.00,124.00,0.77,0.04,37.00,0.23,0.04,1.00,0.01,0.02,0.00,0.00,0.00,105.00,0.65,0.04,54.00,0.33,0.04,3.00,0.02,0.03,0.00,0.00,0.00,117.00,0.72,0.04,40.00,0.25,0.04,5.00,0.03,0.06,0.00,0.00,0.00
