Entidad,B2-A-Mucho-Recuento,B2-A-Mucho-% del N de fila,B2-A-Mucho-% de N columnas,B2-A-Regular-Recuento,B2-A-Regular-% del N de fila,B2-A-Regular-% de N columnas,B2-A-Poco-Recuento,B2-A-Poco-% del N de fila,B2-A-Poco-% de N columnas,B2-A-Nada-Recuento,B2-A-Nada-% del N de fila,B2-A-Nada-% de N columnas,B2-B-Mucho-Recuento,B2-B-Mucho-% del N de fila,B2-B-Mucho-% de N columnas,B2-B-Regular-Recuento,B2-B-Regular-% del N de fila,B2-B-Regular-% de N columnas,B2-B-Poco-Recuento,B2-B-Poco-% del N de fila,B2-B-Poco-% de N columnas,B2-B-Nada-Recuento,B2-B-Nada-% del N de fila,B2-B-Nada-% de N columnas,B2-C-Mucho-Recuento,B2-C-Mucho-% del N de fila,B2-C-Mucho-% de N columnas,B2-C-Regular-Recuento,B2-C-Regular-% del N de fila,B2-C-Regular-% de N columnas,B2-C-Poco-Recuento,B2-C-Poco-% del N de fila,B2-C-Poco-% de N columnas,B2-C-Nada-Recuento,B2-C-Nada-% del N de fila,B2-C-Nada-% de N columnas,B2-D-Mucho-Recuento,B2-D-Mucho-% del N de fila,B2-D-Mucho-% de N columnas,B2-D-Regular-Recuento,B2-D-Regular-% del N de fila,B2-D-Regular-% de N columnas,B2-D-Poco-Recuento,B2-D-Poco-% del N de fila,B2-D-Poco-% de N columnas,B2-D-Nada-Recuento,B2-D-Nada-% del N de fila,B2-D-Nada-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Mucho-Recuento,B2-E-Mucho-% del N de fila,B2-E-Mucho-% de N columnas,B2-E-Poco-Recuento,B2-E-Poco-% del N de fila,B2-E-Poco-% de N columnas,B2-E-Nada-Recuento,B2-E-Nada-% del N de fila,B2-E-Nada-% de N columnas,B2-F-Mucho-Recuento,B2-F-Mucho-% del N de fila,B2-F-Mucho-% de N columnas,B2-F-Regular-Recuento,B2-F-Regular-% del N de fila,B2-F-Regular-% de N columnas,B2-F-Poco-Recuento,B2-F-Poco-% del N de fila,B2-F-Poco-% de N columnas,B2-F-Nada-Recuento,B2-F-Nada-% del N de fila,B2-F-Nada-% de N columnas
AGUASCALIENTES,155.00,0.85,0.05,27.00,0.15,0.03,0.00,0.00,0.00,0.00,0.00,0.00,154.00,0.85,0.05,28.00,0.15,0.03,0.00,0.00,0.00,0.00,0.00,0.00,146.00,0.80,0.05,36.00,0.20,0.03,0.00,0.00,0.00,0.00,0.00,0.00,123.00,0.68,0.04,59.00,0.32,0.04,0.00,0.00,0.00,0.00,0.00,0.00,114.00,0.63,0.04,65.00,0.36,0.05,3.00,0.02,0.03,0.00,0.00,0.00,113.00,0.62,0.04,65.00,0.36,0.05,4.00,0.02,0.03,0.00,0.00,0.00
BAJA CALIFORNIA,34.00,0.77,0.01,9.00,0.21,0.01,1.00,0.02,0.03,0.00,0.00,0.00,34.00,0.77,0.01,10.00,0.23,0.01,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.71,0.01,12.00,0.27,0.01,1.00,0.02,0.02,0.00,0.00,0.00,28.00,0.64,0.01,15.00,0.34,0.01,1.00,0.02,0.01,0.00,0.00,0.00,27.00,0.61,0.01,17.00,0.39,0.01,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.59,0.01,17.00,0.39,0.01,1.00,0.02,0.01,0.00,0.00,0.00
BAJA CALIFORNIA SUR,141.00,0.77,0.04,42.00,0.23,0.05,1.00,0.01,0.03,0.00,0.00,0.00,147.00,0.80,0.04,35.00,0.19,0.04,2.00,0.01,0.05,0.00,0.00,0.00,136.00,0.74,0.04,46.00,0.25,0.04,2.00,0.01,0.04,0.00,0.00,0.00,128.00,0.70,0.05,55.00,0.30,0.04,1.00,0.01,0.01,0.00,0.00,0.00,119.00,0.65,0.04,60.00,0.33,0.04,5.00,0.03,0.05,0.00,0.00,0.00,120.00,0.65,0.05,56.00,0.30,0.04,6.00,0.03,0.05,2.00,0.01,0.29
CAMPECHE,90.00,0.78,0.03,24.00,0.21,0.03,2.00,0.02,0.07,0.00,0.00,0.00,95.00,0.82,0.03,19.00,0.16,0.02,0.00,0.00,0.00,2.00,0.02,0.22,93.00,0.80,0.03,21.00,0.18,0.02,2.00,0.02,0.04,0.00,0.00,0.00,80.00,0.69,0.03,34.00,0.29,0.03,2.00,0.02,0.02,0.00,0.00,0.00,73.00,0.63,0.03,42.00,0.36,0.03,1.00,0.01,0.01,0.00,0.00,0.00,75.00,0.65,0.03,37.00,0.32,0.03,4.00,0.03,0.03,0.00,0.00,0.00
CHIAPAS,50.00,0.64,0.02,27.00,0.35,0.03,1.00,0.01,0.03,0.00,0.00,0.00,46.00,0.59,0.01,31.00,0.40,0.04,1.00,0.01,0.02,0.00,0.00,0.00,46.00,0.59,0.02,31.00,0.40,0.03,1.00,0.01,0.02,0.00,0.00,0.00,43.00,0.55,0.02,31.00,0.40,0.02,4.00,0.05,0.05,0.00,0.00,0.00,47.00,0.60,0.02,29.00,0.37,0.02,2.00,0.03,0.02,0.00,0.00,0.00,36.00,0.46,0.01,37.00,0.47,0.03,5.00,0.06,0.04,0.00,0.00,0.00
CHIHUAHUA,133.00,0.74,0.04,43.00,0.24,0.05,4.00,0.02,0.13,0.00,0.00,0.00,135.00,0.75,0.04,40.00,0.22,0.05,5.00,0.03,0.12,0.00,0.00,0.00,122.00,0.68,0.04,54.00,0.30,0.05,4.00,0.02,0.08,0.00,0.00,0.00,100.00,0.56,0.04,73.00,0.41,0.05,6.00,0.03,0.07,1.00,0.01,0.20,105.00,0.58,0.04,70.00,0.39,0.05,5.00,0.03,0.05,0.00,0.00,0.00,89.00,0.49,0.03,81.00,0.45,0.06,10.00,0.06,0.08,0.00,0.00,0.00
CIUDAD DE MÉXICO,141.00,0.83,0.04,26.00,0.15,0.03,2.00,0.01,0.07,1.00,0.01,0.17,139.00,0.82,0.04,29.00,0.17,0.03,1.00,0.01,0.02,1.00,0.01,0.11,137.00,0.81,0.04,31.00,0.18,0.03,1.00,0.01,0.02,1.00,0.01,0.25,112.00,0.66,0.04,55.00,0.32,0.04,3.00,0.02,0.04,0.00,0.00,0.00,115.00,0.68,0.04,50.00,0.29,0.04,4.00,0.02,0.04,1.00,0.01,0.25,116.00,0.68,0.04,50.00,0.29,0.04,4.00,0.02,0.03,0.00,0.00,0.00
COAHUILA,74.00,0.86,0.02,12.00,0.14,0.01,0.00,0.00,0.00,0.00,0.00,0.00,72.00,0.84,0.02,14.00,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00,69.00,0.80,0.02,17.00,0.20,0.02,0.00,0.00,0.00,0.00,0.00,0.00,66.00,0.77,0.02,18.00,0.21,0.01,2.00,0.02,0.02,0.00,0.00,0.00,62.00,0.72,0.02,24.00,0.28,0.02,0.00,0.00,0.00,0.00,0.00,0.00,64.00,0.74,0.02,22.00,0.26,0.02,0.00,0.00,0.00,0.00,0.00,0.00
COLIMA,132.00,0.83,0.04,27.00,0.17,0.03,0.00,0.00,0.00,0.00,0.00,0.00,137.00,0.86,0.04,22.00,0.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,125.00,0.79,0.04,33.00,0.21,0.03,1.00,0.01,0.02,0.00,0.00,0.00,112.00,0.70,0.04,45.00,0.28,0.03,2.00,0.01,0.02,0.00,0.00,0.00,121.00,0.76,0.04,36.00,0.23,0.03,2.00,0.01,0.02,0.00,0.00,0.00,112.00,0.70,0.04,46.00,0.29,0.03,1.00,0.01,0.01,0.00,0.00,0.00
DURANGO,116.00,0.72,0.03,46.00,0.28,0.05,0.00,0.00,0.00,0.00,0.00,0.00,116.00,0.72,0.04,41.00,0.25,0.05,4.00,0.03,0.10,1.00,0.01,0.11,108.00,0.67,0.03,51.00,0.32,0.05,3.00,0.02,0.06,0.00,0.00,0.00,89.00,0.55,0.03,67.00,0.41,0.05,6.00,0.04,0.07,0.00,0.00,0.00,92.00,0.57,0.03,64.00,0.40,0.05,6.00,0.04,0.06,0.00,0.00,0.00,89.00,0.55,0.03,62.00,0.38,0.04,11.00,0.07,0.08,0.00,0.00,0.00
