Entidad,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
AGUASCALIENTES,117.00,0.64,0.05,63.00,0.35,0.04,1.00,0.01,0.01,1.00,0.01,0.11,124.00,0.68,0.05,54.00,0.30,0.03,3.00,0.02,0.08,1.00,0.01,0.17,118.00,0.65,0.05,63.00,0.35,0.04,1.00,0.01,0.03,0.00,0.00,0.00,111.00,0.61,0.05,66.00,0.36,0.04,5.00,0.03,0.06,0.00,0.00,0.00,102.00,0.56,0.05,77.00,0.42,0.04,3.00,0.02,0.02,0.00,0.00,0.00
BAJA CALIFORNIA,22.00,0.50,0.01,22.00,0.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.48,0.01,23.00,0.52,0.01,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.48,0.01,23.00,0.52,0.01,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.46,0.01,23.00,0.52,0.01,1.00,0.02,0.01,0.00,0.00,0.00,17.00,0.39,0.01,24.00,0.55,0.01,3.00,0.07,0.02,0.00,0.00,0.00
BAJA CALIFORNIA SUR,106.00,0.58,0.05,67.00,0.36,0.04,10.00,0.05,0.13,1.00,0.01,0.11,125.00,0.68,0.05,57.00,0.31,0.04,2.00,0.01,0.06,0.00,0.00,0.00,129.00,0.70,0.05,54.00,0.29,0.03,1.00,0.01,0.03,0.00,0.00,0.00,114.00,0.62,0.05,67.00,0.36,0.04,3.00,0.02,0.04,0.00,0.00,0.00,106.00,0.58,0.05,71.00,0.39,0.04,6.00,0.03,0.03,1.00,0.01,0.04
CAMPECHE,59.00,0.51,0.03,55.00,0.47,0.03,2.00,0.02,0.03,0.00,0.00,0.00,68.00,0.59,0.03,47.00,0.41,0.03,1.00,0.01,0.03,0.00,0.00,0.00,69.00,0.60,0.03,47.00,0.41,0.03,0.00,0.00,0.00,0.00,0.00,0.00,61.00,0.53,0.03,52.00,0.45,0.03,2.00,0.02,0.03,1.00,0.01,0.20,61.00,0.53,0.03,44.00,0.38,0.02,10.00,0.09,0.05,1.00,0.01,0.04
CHIAPAS,29.00,0.37,0.01,46.00,0.59,0.03,3.00,0.04,0.04,0.00,0.00,0.00,37.00,0.47,0.01,41.00,0.53,0.03,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.49,0.02,37.00,0.47,0.02,3.00,0.04,0.08,0.00,0.00,0.00,32.00,0.41,0.01,45.00,0.58,0.03,1.00,0.01,0.01,0.00,0.00,0.00,27.00,0.35,0.01,44.00,0.56,0.02,6.00,0.08,0.03,1.00,0.01,0.04
CHIHUAHUA,101.00,0.56,0.04,74.00,0.41,0.04,4.00,0.02,0.05,1.00,0.01,0.11,103.00,0.57,0.04,73.00,0.41,0.05,3.00,0.02,0.08,1.00,0.01,0.17,101.00,0.56,0.04,76.00,0.42,0.05,3.00,0.02,0.08,0.00,0.00,0.00,92.00,0.51,0.04,84.00,0.47,0.05,4.00,0.02,0.05,0.00,0.00,0.00,90.00,0.50,0.04,83.00,0.46,0.04,7.00,0.04,0.04,0.00,0.00,0.00
CIUDAD DE MÉXICO,103.00,0.61,0.04,63.00,0.37,0.04,4.00,0.02,0.05,0.00,0.00,0.00,120.00,0.71,0.05,47.00,0.28,0.03,2.00,0.01,0.06,1.00,0.01,0.17,116.00,0.68,0.04,51.00,0.30,0.03,2.00,0.01,0.05,1.00,0.01,0.20,102.00,0.60,0.04,64.00,0.38,0.04,4.00,0.02,0.05,0.00,0.00,0.00,84.00,0.49,0.04,78.00,0.46,0.04,5.00,0.03,0.03,3.00,0.02,0.11
COAHUILA,52.00,0.61,0.02,33.00,0.38,0.02,1.00,0.01,0.01,0.00,0.00,0.00,64.00,0.74,0.02,22.00,0.26,0.01,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.76,0.03,21.00,0.24,0.01,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.69,0.03,27.00,0.31,0.02,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.70,0.03,22.00,0.26,0.01,3.00,0.04,0.02,1.00,0.01,0.04
COLIMA,95.00,0.60,0.04,59.00,0.37,0.03,5.00,0.03,0.06,0.00,0.00,0.00,104.00,0.65,0.04,55.00,0.35,0.04,0.00,0.00,0.00,0.00,0.00,0.00,96.00,0.60,0.04,59.00,0.37,0.04,4.00,0.03,0.11,0.00,0.00,0.00,92.00,0.58,0.04,63.00,0.40,0.04,4.00,0.03,0.05,0.00,0.00,0.00,93.00,0.59,0.04,60.00,0.38,0.03,6.00,0.04,0.03,0.00,0.00,0.00
DURANGO,90.00,0.56,0.04,70.00,0.43,0.04,2.00,0.01,0.03,0.00,0.00,0.00,96.00,0.59,0.04,65.00,0.40,0.04,1.00,0.01,0.03,0.00,0.00,0.00,101.00,0.62,0.04,60.00,0.37,0.04,1.00,0.01,0.03,0.00,0.00,0.00,80.00,0.49,0.03,79.00,0.49,0.04,3.00,0.02,0.04,0.00,0.00,0.00,81.00,0.50,0.04,71.00,0.44,0.04,9.00,0.06,0.05,1.00,0.01,0.04
