Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas
AGUASCALIENTES,118.00,0.65,0.05,63.00,0.35,0.04,1.00,0.01,0.01,0.00,0.00,0.00,129.00,0.71,0.05,50.00,0.28,0.03,3.00,0.02,0.04,0.00,0.00,0.00,149.00,0.82,0.05,33.00,0.18,0.03,0.00,0.00,0.00,0.00,0.00,0.00,119.00,0.65,0.05,63.00,0.35,0.04,0.00,0.00,0.00,0.00,0.00,0.00,124.00,0.68,0.05,56.00,0.31,0.04,1.00,0.01,0.01,1.00,0.01,0.13
BAJA CALIFORNIA,25.00,0.57,0.01,18.00,0.41,0.01,1.00,0.02,0.01,0.00,0.00,0.00,20.00,0.46,0.01,23.00,0.52,0.01,1.00,0.02,0.01,0.00,0.00,0.00,30.00,0.68,0.01,14.00,0.32,0.01,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.66,0.01,14.00,0.32,0.01,1.00,0.02,0.01,0.00,0.00,0.00,22.00,0.50,0.01,20.00,0.46,0.01,2.00,0.05,0.01,0.00,0.00,0.00
BAJA CALIFORNIA SUR,118.00,0.64,0.05,60.00,0.33,0.04,5.00,0.03,0.04,1.00,0.01,0.17,111.00,0.60,0.04,69.00,0.38,0.04,3.00,0.02,0.04,1.00,0.01,0.25,149.00,0.81,0.05,33.00,0.18,0.03,2.00,0.01,0.04,0.00,0.00,0.00,131.00,0.71,0.05,52.00,0.28,0.03,1.00,0.01,0.01,0.00,0.00,0.00,127.00,0.69,0.05,51.00,0.28,0.03,6.00,0.03,0.04,0.00,0.00,0.00
CAMPECHE,71.00,0.61,0.03,40.00,0.35,0.02,5.00,0.04,0.04,0.00,0.00,0.00,71.00,0.61,0.03,43.00,0.37,0.03,2.00,0.02,0.02,0.00,0.00,0.00,85.00,0.73,0.03,31.00,0.27,0.03,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.59,0.03,43.00,0.37,0.03,4.00,0.03,0.05,1.00,0.01,0.25,79.00,0.68,0.03,33.00,0.28,0.02,4.00,0.03,0.03,0.00,0.00,0.00
CHIAPAS,38.00,0.49,0.02,35.00,0.45,0.02,5.00,0.06,0.04,0.00,0.00,0.00,39.00,0.50,0.02,39.00,0.50,0.02,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.58,0.01,31.00,0.40,0.03,2.00,0.03,0.04,0.00,0.00,0.00,35.00,0.45,0.01,43.00,0.55,0.03,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.45,0.01,41.00,0.53,0.03,2.00,0.03,0.01,0.00,0.00,0.00
CHIHUAHUA,98.00,0.54,0.04,80.00,0.44,0.05,2.00,0.01,0.02,0.00,0.00,0.00,99.00,0.55,0.04,75.00,0.42,0.05,6.00,0.03,0.07,0.00,0.00,0.00,128.00,0.71,0.04,47.00,0.26,0.04,5.00,0.03,0.10,0.00,0.00,0.00,104.00,0.58,0.04,71.00,0.39,0.05,5.00,0.03,0.06,0.00,0.00,0.00,98.00,0.54,0.04,70.00,0.39,0.05,12.00,0.07,0.09,0.00,0.00,0.00
CIUDAD DE MÉXICO,87.00,0.51,0.04,77.00,0.45,0.05,6.00,0.04,0.04,0.00,0.00,0.00,102.00,0.60,0.04,65.00,0.38,0.04,3.00,0.02,0.04,0.00,0.00,0.00,132.00,0.78,0.04,33.00,0.19,0.03,4.00,0.02,0.08,1.00,0.01,0.25,103.00,0.61,0.04,65.00,0.38,0.04,2.00,0.01,0.02,0.00,0.00,0.00,99.00,0.58,0.04,58.00,0.34,0.04,13.00,0.08,0.09,0.00,0.00,0.00
COAHUILA,55.00,0.64,0.02,30.00,0.35,0.02,1.00,0.01,0.01,0.00,0.00,0.00,61.00,0.71,0.02,24.00,0.28,0.01,1.00,0.01,0.01,0.00,0.00,0.00,69.00,0.80,0.02,17.00,0.20,0.02,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.76,0.03,21.00,0.24,0.01,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.69,0.02,26.00,0.30,0.02,1.00,0.01,0.01,0.00,0.00,0.00
COLIMA,95.00,0.60,0.04,60.00,0.38,0.04,4.00,0.03,0.03,0.00,0.00,0.00,102.00,0.64,0.04,53.00,0.33,0.03,4.00,0.03,0.05,0.00,0.00,0.00,122.00,0.77,0.04,34.00,0.21,0.03,3.00,0.02,0.06,0.00,0.00,0.00,107.00,0.67,0.04,50.00,0.31,0.03,2.00,0.01,0.02,0.00,0.00,0.00,111.00,0.70,0.04,44.00,0.28,0.03,4.00,0.03,0.03,0.00,0.00,0.00
DURANGO,94.00,0.58,0.04,59.00,0.36,0.03,9.00,0.06,0.07,0.00,0.00,0.00,100.00,0.62,0.04,59.00,0.36,0.04,3.00,0.02,0.04,0.00,0.00,0.00,122.00,0.75,0.04,37.00,0.23,0.04,3.00,0.02,0.06,0.00,0.00,0.00,105.00,0.65,0.04,51.00,0.32,0.03,6.00,0.04,0.07,0.00,0.00,0.00,106.00,0.65,0.04,50.00,0.31,0.03,6.00,0.04,0.04,0.00,0.00,0.00
ESTADO DE MÉXICO,76.00,0.47,0.03,75.00,0.47,0.04,10.00,0.06,0.07,0.00,0.00,0.00,99.00,0.62,0.04,61.00,0.38,0.04,1.00,0.01,0.01,0.00,0.00,0.00,115.00,0.71,0.04,42.00,0.26,0.04,4.00,0.03,0.08,0.00,0.00,0.00,95.00,0.59,0.04,57.00,0.35,0.04,9.00,0.06,0.11,0.00,0.00,0.00,89.00,0.55,0.03,67.00,0.42,0.04,4.00,0.03,0.03,1.00,0.01,0.13
GUANAJUATO,91.00,0.54,0.04,72.00,0.43,0.04,4.00,0.02,0.03,1.00,0.01,0.17,102.00,0.61,0.04,59.00,0.35,0.04,7.00,0.04,0.09,0.00,0.00,0.00,130.00,0.77,0.04,35.00,0.21,0.03,2.00,0.01,0.04,1.00,0.01,0.25,102.00,0.61,0.04,62.00,0.37,0.04,4.00,0.02,0.05,0.00,0.00,0.00,112.00,0.67,0.04,53.00,0.32,0.04,2.00,0.01,0.01,1.00,0.01,0.13
GUERRERO,28.00,0.67,0.01,14.00,0.33,0.01,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.55,0.01,19.00,0.45,0.01,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.86,0.01,5.00,0.12,0.01,1.00,0.02,0.02,0.00,0.00,0.00,26.00,0.62,0.01,15.00,0.36,0.01,1.00,0.02,0.01,0.00,0.00,0.00,27.00,0.64,0.01,14.00,0.33,0.01,1.00,0.02,0.01,0.00,0.00,0.00
HIDALGO,87.00,0.56,0.04,60.00,0.39,0.04,8.00,0.05,0.06,0.00,0.00,0.00,90.00,0.58,0.04,61.00,0.39,0.04,4.00,0.03,0.05,0.00,0.00,0.00,110.00,0.71,0.04,39.00,0.25,0.04,6.00,0.04,0.12,0.00,0.00,0.00,87.00,0.56,0.03,62.00,0.40,0.04,6.00,0.04,0.07,0.00,0.00,0.00,91.00,0.59,0.04,59.00,0.38,0.04,5.00,0.03,0.04,0.00,0.00,0.00
JALISCO,80.00,0.59,0.03,49.00,0.36,0.03,6.00,0.04,0.04,0.00,0.00,0.00,73.00,0.54,0.03,60.00,0.44,0.04,2.00,0.02,0.02,0.00,0.00,0.00,93.00,0.69,0.03,40.00,0.30,0.04,1.00,0.01,0.02,1.00,0.01,0.25,79.00,0.59,0.03,53.00,0.39,0.03,3.00,0.02,0.04,0.00,0.00,0.00,76.00,0.56,0.03,52.00,0.39,0.04,7.00,0.05,0.05,0.00,0.00,0.00
MICHOACÁN,19.00,0.58,0.01,12.00,0.36,0.01,2.00,0.06,0.02,0.00,0.00,0.00,18.00,0.55,0.01,14.00,0.42,0.01,1.00,0.03,0.01,0.00,0.00,0.00,21.00,0.64,0.01,11.00,0.33,0.01,1.00,0.03,0.02,0.00,0.00,0.00,18.00,0.55,0.01,14.00,0.42,0.01,1.00,0.03,0.01,0.00,0.00,0.00,17.00,0.52,0.01,15.00,0.46,0.01,1.00,0.03,0.01,0.00,0.00,0.00
MORELOS,102.00,0.58,0.04,67.00,0.38,0.04,8.00,0.05,0.06,0.00,0.00,0.00,111.00,0.63,0.04,62.00,0.35,0.04,4.00,0.02,0.05,0.00,0.00,0.00,132.00,0.75,0.04,45.00,0.25,0.04,0.00,0.00,0.00,0.00,0.00,0.00,112.00,0.63,0.04,61.00,0.35,0.04,4.00,0.02,0.05,0.00,0.00,0.00,105.00,0.59,0.04,64.00,0.36,0.04,7.00,0.04,0.05,1.00,0.01,0.13
NAYARIT,87.00,0.58,0.04,61.00,0.40,0.04,3.00,0.02,0.02,0.00,0.00,0.00,84.00,0.56,0.03,66.00,0.44,0.04,1.00,0.01,0.01,0.00,0.00,0.00,118.00,0.78,0.04,33.00,0.22,0.03,0.00,0.00,0.00,0.00,0.00,0.00,94.00,0.62,0.04,57.00,0.38,0.04,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.66,0.04,50.00,0.33,0.03,1.00,0.01,0.01,1.00,0.01,0.13
NUEVO LEÓN,17.00,0.55,0.01,14.00,0.45,0.01,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.65,0.01,11.00,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.77,0.01,7.00,0.23,0.01,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.61,0.01,11.00,0.36,0.01,1.00,0.03,0.01,0.00,0.00,0.00,18.00,0.58,0.01,10.00,0.32,0.01,3.00,0.10,0.02,0.00,0.00,0.00
PUEBLA,71.00,0.53,0.03,56.00,0.42,0.03,5.00,0.04,0.04,1.00,0.01,0.17,79.00,0.59,0.03,54.00,0.41,0.03,0.00,0.00,0.00,0.00,0.00,0.00,101.00,0.76,0.03,31.00,0.23,0.03,1.00,0.01,0.02,0.00,0.00,0.00,77.00,0.58,0.03,53.00,0.40,0.03,3.00,0.02,0.04,0.00,0.00,0.00,77.00,0.58,0.03,53.00,0.40,0.04,3.00,0.02,0.02,0.00,0.00,0.00
QUERÉTARO,102.00,0.53,0.04,81.00,0.42,0.05,7.00,0.04,0.05,1.00,0.01,0.17,106.00,0.56,0.04,80.00,0.42,0.05,4.00,0.02,0.05,1.00,0.01,0.25,127.00,0.67,0.04,60.00,0.31,0.06,3.00,0.02,0.06,1.00,0.01,0.25,108.00,0.57,0.04,75.00,0.39,0.05,7.00,0.04,0.08,1.00,0.01,0.25,112.00,0.59,0.04,70.00,0.37,0.05,8.00,0.04,0.06,1.00,0.01,0.13
