Entidad,B2-A-Totalmente de acuerdo-Recuento,B2-A-Totalmente de acuerdo-% del N de fila,B2-A-Totalmente de acuerdo-% de N columnas,B2-A-De acuerdo-Recuento,B2-A-De acuerdo-% del N de fila,B2-A-De acuerdo-% de N columnas,B2-A-En desacuerdo-Recuento,B2-A-En desacuerdo-% del N de fila,B2-A-En desacuerdo-% de N columnas,B2-A-Totalmente en desacuerdo-Recuento,B2-A-Totalmente en desacuerdo-% del N de fila,B2-A-Totalmente en desacuerdo-% de N columnas,B2-B-Totalmente de acuerdo-Recuento,B2-B-Totalmente de acuerdo-% del N de fila,B2-B-Totalmente de acuerdo-% de N columnas,B2-B-De acuerdo-Recuento,B2-B-De acuerdo-% del N de fila,B2-B-De acuerdo-% de N columnas,B2-B-En desacuerdo-Recuento,B2-B-En desacuerdo-% del N de fila,B2-B-En desacuerdo-% de N columnas,B2-B-Totalmente en desacuerdo-Recuento,B2-B-Totalmente en desacuerdo-% del N de fila,B2-B-Totalmente en desacuerdo-% de N columnas,B2-C-Totalmente de acuerdo-Recuento,B2-C-Totalmente de acuerdo-% del N de fila,B2-C-Totalmente de acuerdo-% de N columnas,B2-C-De acuerdo-Recuento,B2-C-De acuerdo-% del N de fila,B2-C-De acuerdo-% de N columnas,B2-C-En desacuerdo-Recuento,B2-C-En desacuerdo-% del N de fila,B2-C-En desacuerdo-% de N columnas,B2-C-Totalmente en desacuerdo-Recuento,B2-C-Totalmente en desacuerdo-% del N de fila,B2-C-Totalmente en desacuerdo-% de N columnas,B2-D-Totalmente de acuerdo-Recuento,B2-D-Totalmente de acuerdo-% del N de fila,B2-D-Totalmente de acuerdo-% de N columnas,B2-D-De acuerdo-Recuento,B2-D-De acuerdo-% del N de fila,B2-D-De acuerdo-% de N columnas,B2-D-En desacuerdo-Recuento,B2-D-En desacuerdo-% del N de fila,B2-D-En desacuerdo-% de N columnas,B2-D-Totalmente en desacuerdo-Recuento,B2-D-Totalmente en desacuerdo-% del N de fila,B2-D-Totalmente en desacuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-En desacuerdo-Recuento,B2-E-En desacuerdo-% del N de fila,B2-E-En desacuerdo-% de N columnas,B2-E-Totalmente en desacuerdo-Recuento,B2-E-Totalmente en desacuerdo-% del N de fila,B2-E-Totalmente en desacuerdo-% de N columnas,B2-F-Totalmente de acuerdo-Recuento,B2-F-Totalmente de acuerdo-% del N de fila,B2-F-Totalmente de acuerdo-% de N columnas,B2-F-De acuerdo-Recuento,B2-F-De acuerdo-% del N de fila,B2-F-De acuerdo-% de N columnas,B2-F-En desacuerdo-Recuento,B2-F-En desacuerdo-% del N de fila,B2-F-En desacuerdo-% de N columnas,B2-F-Totalmente en desacuerdo-Recuento,B2-F-Totalmente en desacuerdo-% del N de fila,B2-F-Totalmente en desacuerdo-% de N columnas,B2-G-Totalmente de acuerdo-Recuento,B2-G-Totalmente de acuerdo-% del N de fila,B2-G-Totalmente de acuerdo-% de N columnas,B2-G-De acuerdo-Recuento,B2-G-De acuerdo-% del N de fila,B2-G-De acuerdo-% de N columnas,B2-G-En desacuerdo-Recuento,B2-G-En desacuerdo-% del N de fila,B2-G-En desacuerdo-% de N columnas,B2-G-Totalmente en desacuerdo-Recuento,B2-G-Totalmente en desacuerdo-% del N de fila,B2-G-Totalmente en desacuerdo-% de N columnas,B2-H-Totalmente de acuerdo-Recuento,B2-H-Totalmente de acuerdo-% del N de fila,B2-H-Totalmente de acuerdo-% de N columnas,B2-H-De acuerdo-Recuento,B2-H-De acuerdo-% del N de fila,B2-H-De acuerdo-% de N columnas,B2-H-En desacuerdo-Recuento,B2-H-En desacuerdo-% del N de fila,B2-H-En desacuerdo-% de N columnas,B2-H-Totalmente en desacuerdo-Recuento,B2-H-Totalmente en desacuerdo-% del N de fila,B2-H-Totalmente en desacuerdo-% de N columnas,B2-I-Totalmente de acuerdo-Recuento,B2-I-Totalmente de acuerdo-% del N de fila,B2-I-Totalmente de acuerdo-% de N columnas,B2-I-De acuerdo-Recuento,B2-I-De acuerdo-% del N de fila,B2-I-De acuerdo-% de N columnas,B2-I-En desacuerdo-Recuento,B2-I-En desacuerdo-% del N de fila,B2-I-En desacuerdo-% de N columnas,B2-I-Totalmente en desacuerdo-Recuento,B2-I-Totalmente en desacuerdo-% del N de fila,B2-I-Totalmente en desacuerdo-% de N columnas
AGUASCALIENTES,115.00,0.63,0.05,61.00,0.34,0.04,5.00,0.03,0.04,1.00,0.01,0.06,108.00,0.59,0.04,65.00,0.36,0.04,8.00,0.04,0.05,1.00,0.01,0.04,113.00,0.62,0.04,67.00,0.37,0.04,1.00,0.01,0.01,1.00,0.01,0.08,101.00,0.56,0.04,77.00,0.42,0.04,4.00,0.02,0.03,0.00,0.00,0.00,103.00,0.57,0.04,64.00,0.35,0.04,12.00,0.07,0.05,3.00,0.02,0.09,101.00,0.56,0.05,75.00,0.41,0.04,5.00,0.03,0.05,1.00,0.01,0.11,116.00,0.64,0.05,61.00,0.34,0.04,4.00,0.02,0.04,1.00,0.01,0.09,100.00,0.55,0.04,77.00,0.42,0.05,4.00,0.02,0.03,1.00,0.01,0.06,113.00,0.62,0.04,65.00,0.36,0.04,4.00,0.02,0.04,0.00,0.00,0.00
BAJA CALIFORNIA,28.00,0.64,0.01,16.00,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.64,0.01,16.00,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.71,0.01,12.00,0.27,0.01,1.00,0.02,0.01,0.00,0.00,0.00,26.00,0.59,0.01,17.00,0.39,0.01,1.00,0.02,0.01,0.00,0.00,0.00,29.00,0.66,0.01,14.00,0.32,0.01,1.00,0.02,0.00,0.00,0.00,0.00,27.00,0.61,0.01,16.00,0.36,0.01,1.00,0.02,0.01,0.00,0.00,0.00,30.00,0.68,0.01,13.00,0.30,0.01,1.00,0.02,0.01,0.00,0.00,0.00,28.00,0.64,0.01,15.00,0.34,0.01,1.00,0.02,0.01,0.00,0.00,0.00,31.00,0.71,0.01,13.00,0.30,0.01,0.00,0.00,0.00,0.00,0.00,0.00
BAJA CALIFORNIA SUR,119.00,0.65,0.05,57.00,0.31,0.04,6.00,0.03,0.05,2.00,0.01,0.13,112.00,0.61,0.05,64.00,0.35,0.04,7.00,0.04,0.04,1.00,0.01,0.04,120.00,0.65,0.05,60.00,0.33,0.04,3.00,0.02,0.04,1.00,0.01,0.08,107.00,0.58,0.05,72.00,0.39,0.04,5.00,0.03,0.04,0.00,0.00,0.00,103.00,0.56,0.04,67.00,0.36,0.04,13.00,0.07,0.05,1.00,0.01,0.03,104.00,0.57,0.05,73.00,0.40,0.04,6.00,0.03,0.06,1.00,0.01,0.11,119.00,0.65,0.05,59.00,0.32,0.04,6.00,0.03,0.06,0.00,0.00,0.00,111.00,0.60,0.05,63.00,0.34,0.04,9.00,0.05,0.07,1.00,0.01,0.06,111.00,0.60,0.04,66.00,0.36,0.04,5.00,0.03,0.05,2.00,0.01,0.13
CAMPECHE,64.00,0.55,0.03,47.00,0.41,0.03,3.00,0.03,0.03,2.00,0.02,0.13,61.00,0.53,0.02,43.00,0.37,0.03,10.00,0.09,0.06,2.00,0.02,0.08,63.00,0.54,0.02,49.00,0.42,0.03,3.00,0.03,0.04,1.00,0.01,0.08,62.00,0.53,0.03,50.00,0.43,0.03,3.00,0.03,0.02,1.00,0.01,0.14,58.00,0.50,0.03,48.00,0.41,0.03,7.00,0.06,0.03,3.00,0.03,0.09,55.00,0.47,0.03,59.00,0.51,0.03,1.00,0.01,0.01,1.00,0.01,0.11,54.00,0.47,0.02,61.00,0.53,0.04,1.00,0.01,0.01,0.00,0.00,0.00,63.00,0.54,0.03,46.00,0.40,0.03,6.00,0.05,0.04,1.00,0.01,0.06,65.00,0.56,0.03,46.00,0.40,0.03,4.00,0.03,0.04,1.00,0.01,0.06
CHIAPAS,40.00,0.51,0.02,35.00,0.45,0.02,3.00,0.04,0.03,0.00,0.00,0.00,40.00,0.51,0.02,34.00,0.44,0.02,3.00,0.04,0.02,1.00,0.01,0.04,38.00,0.49,0.01,39.00,0.50,0.03,1.00,0.01,0.01,0.00,0.00,0.00,34.00,0.44,0.01,43.00,0.55,0.03,1.00,0.01,0.01,0.00,0.00,0.00,39.00,0.50,0.02,34.00,0.44,0.02,4.00,0.05,0.02,1.00,0.01,0.03,38.00,0.49,0.02,40.00,0.51,0.02,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.50,0.02,38.00,0.49,0.02,1.00,0.01,0.01,0.00,0.00,0.00,40.00,0.51,0.02,37.00,0.47,0.02,1.00,0.01,0.01,0.00,0.00,0.00,39.00,0.50,0.02,38.00,0.49,0.02,1.00,0.01,0.01,0.00,0.00,0.00
CHIHUAHUA,116.00,0.64,0.05,58.00,0.32,0.04,4.00,0.02,0.04,2.00,0.01,0.13,113.00,0.63,0.05,58.00,0.32,0.04,8.00,0.04,0.05,1.00,0.01,0.04,116.00,0.64,0.04,55.00,0.31,0.04,8.00,0.04,0.11,1.00,0.01,0.08,101.00,0.56,0.04,71.00,0.39,0.04,7.00,0.04,0.05,1.00,0.01,0.14,107.00,0.59,0.05,63.00,0.35,0.04,8.00,0.04,0.03,2.00,0.01,0.06,90.00,0.50,0.04,82.00,0.46,0.04,6.00,0.03,0.06,2.00,0.01,0.22,103.00,0.57,0.04,75.00,0.42,0.05,1.00,0.01,0.01,1.00,0.01,0.09,100.00,0.56,0.04,74.00,0.41,0.04,6.00,0.03,0.04,0.00,0.00,0.00,106.00,0.59,0.04,72.00,0.40,0.05,1.00,0.01,0.01,1.00,0.01,0.06
CIUDAD DE MÉXICO,94.00,0.55,0.04,70.00,0.41,0.05,6.00,0.04,0.05,0.00,0.00,0.00,85.00,0.50,0.03,75.00,0.44,0.05,10.00,0.06,0.06,0.00,0.00,0.00,102.00,0.60,0.04,63.00,0.37,0.04,4.00,0.02,0.06,1.00,0.01,0.08,91.00,0.54,0.04,71.00,0.42,0.04,8.00,0.05,0.06,0.00,0.00,0.00,88.00,0.52,0.04,68.00,0.40,0.04,14.00,0.08,0.06,0.00,0.00,0.00,83.00,0.49,0.04,80.00,0.47,0.04,7.00,0.04,0.07,0.00,0.00,0.00,98.00,0.58,0.04,65.00,0.38,0.04,7.00,0.04,0.07,0.00,0.00,0.00,95.00,0.56,0.04,69.00,0.41,0.04,6.00,0.04,0.04,0.00,0.00,0.00,94.00,0.55,0.04,70.00,0.41,0.04,6.00,0.04,0.05,0.00,0.00,0.00
COAHUILA,53.00,0.62,0.02,26.00,0.30,0.02,7.00,0.08,0.06,0.00,0.00,0.00,51.00,0.59,0.02,28.00,0.33,0.02,5.00,0.06,0.03,2.00,0.02,0.08,55.00,0.64,0.02,26.00,0.30,0.02,3.00,0.04,0.04,2.00,0.02,0.15,53.00,0.62,0.02,27.00,0.31,0.02,6.00,0.07,0.05,0.00,0.00,0.00,55.00,0.64,0.02,22.00,0.26,0.01,8.00,0.09,0.03,1.00,0.01,0.03,53.00,0.62,0.02,29.00,0.34,0.02,4.00,0.05,0.04,0.00,0.00,0.00,57.00,0.66,0.02,24.00,0.28,0.01,5.00,0.06,0.05,0.00,0.00,0.00,55.00,0.64,0.02,25.00,0.29,0.02,5.00,0.06,0.04,1.00,0.01,0.06,55.00,0.64,0.02,28.00,0.33,0.02,2.00,0.02,0.02,1.00,0.01,0.06
COLIMA,103.00,0.65,0.04,49.00,0.31,0.03,6.00,0.04,0.05,1.00,0.01,0.06,91.00,0.57,0.04,58.00,0.37,0.04,10.00,0.06,0.06,0.00,0.00,0.00,104.00,0.65,0.04,51.00,0.32,0.03,4.00,0.03,0.06,0.00,0.00,0.00,93.00,0.59,0.04,61.00,0.38,0.04,5.00,0.03,0.04,0.00,0.00,0.00,89.00,0.56,0.04,55.00,0.35,0.03,14.00,0.09,0.06,1.00,0.01,0.03,96.00,0.60,0.04,54.00,0.34,0.03,8.00,0.05,0.08,1.00,0.01,0.11,99.00,0.62,0.04,56.00,0.35,0.03,3.00,0.02,0.03,1.00,0.01,0.09,94.00,0.59,0.04,54.00,0.34,0.03,10.00,0.06,0.07,1.00,0.01,0.06,100.00,0.63,0.04,49.00,0.31,0.03,9.00,0.06,0.08,1.00,0.01,0.06
DURANGO,106.00,0.65,0.04,53.00,0.33,0.03,3.00,0.02,0.03,0.00,0.00,0.00,99.00,0.61,0.04,58.00,0.36,0.04,5.00,0.03,0.03,0.00,0.00,0.00,107.00,0.66,0.04,54.00,0.33,0.04,1.00,0.01,0.01,0.00,0.00,0.00,105.00,0.65,0.04,55.00,0.34,0.03,2.00,0.01,0.02,0.00,0.00,0.00,96.00,0.59,0.04,59.00,0.36,0.04,7.00,0.04,0.03,0.00,0.00,0.00,85.00,0.53,0.04,73.00,0.45,0.04,4.00,0.03,0.04,0.00,0.00,0.00,97.00,0.60,0.04,64.00,0.40,0.04,0.00,0.00,0.00,1.00,0.01,0.09,99.00,0.61,0.04,61.00,0.38,0.04,2.00,0.01,0.02,0.00,0.00,0.00,100.00,0.62,0.04,61.00,0.38,0.04,1.00,0.01,0.01,0.00,0.00,0.00
