Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
AGUASCALIENTES,109.000,0.599,0.046,70.000,0.385,0.039,3.000,0.016,0.038,0.000,0.000,0.000,109.000,0.599,0.049,68.000,0.374,0.036,4.000,0.022,0.044,1.000,0.005,0.250,100.000,0.549,0.045,70.000,0.385,0.041,9.000,0.049,0.032,3.000,0.016,0.056,113.000,0.621,0.046,65.000,0.357,0.039,4.000,0.022,0.037,0.000,0.000,0.000,100.000,0.549,0.043,74.000,0.407,0.043,7.000,0.038,0.043,1.000,0.005,0.077,136.000,0.747,0.048,45.000,0.247,0.033,1.000,0.005,0.019,0.000,0.000,0.000,115.000,0.632,0.046,66.000,0.363,0.040,1.000,0.005,0.009,0.000,0.000,0.000,92.000,0.505,0.043,82.000,0.451,0.044,7.000,0.038,0.028,1.000,0.005,0.032
BAJA CALIFORNIA,18.000,0.409,0.008,24.000,0.545,0.013,2.000,0.045,0.025,0.000,0.000,0.000,21.000,0.477,0.009,22.000,0.500,0.012,1.000,0.023,0.011,0.000,0.000,0.000,20.000,0.455,0.009,17.000,0.386,0.010,7.000,0.159,0.025,0.000,0.000,0.000,26.000,0.591,0.011,16.000,0.364,0.010,1.000,0.023,0.009,1.000,0.023,0.083,20.000,0.455,0.009,19.000,0.432,0.011,5.000,0.114,0.031,0.000,0.000,0.000,28.000,0.636,0.010,14.000,0.318,0.010,2.000,0.045,0.038,0.000,0.000,0.000,23.000,0.523,0.009,18.000,0.409,0.011,3.000,0.068,0.028,0.000,0.000,0.000,18.000,0.409,0.008,23.000,0.523,0.012,3.000,0.068,0.012,0.000,0.000,0.000
BAJA CALIFORNIA SUR,113.000,0.614,0.048,69.000,0.375,0.038,2.000,0.011,0.025,0.000,0.000,0.000,117.000,0.636,0.052,65.000,0.353,0.034,2.000,0.011,0.022,0.000,0.000,0.000,104.000,0.565,0.047,64.000,0.348,0.038,13.000,0.071,0.046,3.000,0.016,0.056,120.000,0.652,0.049,61.000,0.332,0.037,3.000,0.016,0.028,0.000,0.000,0.000,107.000,0.582,0.046,69.000,0.375,0.040,7.000,0.038,0.043,1.000,0.005,0.077,128.000,0.696,0.046,52.000,0.283,0.038,4.000,0.022,0.075,0.000,0.000,0.000,113.000,0.614,0.046,65.000,0.353,0.039,6.000,0.033,0.056,0.000,0.000,0.000,107.000,0.582,0.051,66.000,0.359,0.036,10.000,0.054,0.040,1.000,0.005,0.032
CAMPECHE,63.000,0.543,0.027,50.000,0.431,0.028,3.000,0.026,0.038,0.000,0.000,0.000,55.000,0.474,0.024,59.000,0.509,0.031,2.000,0.017,0.022,0.000,0.000,0.000,64.000,0.552,0.029,40.000,0.345,0.024,12.000,0.103,0.042,0.000,0.000,0.000,67.000,0.578,0.027,45.000,0.388,0.027,3.000,0.026,0.028,1.000,0.009,0.083,56.000,0.483,0.024,56.000,0.483,0.032,4.000,0.034,0.025,0.000,0.000,0.000,73.000,0.629,0.026,43.000,0.371,0.031,0.000,0.000,0.000,0.000,0.000,0.000,64.000,0.552,0.026,50.000,0.431,0.030,2.000,0.017,0.019,0.000,0.000,0.000,61.000,0.526,0.029,48.000,0.414,0.026,7.000,0.060,0.028,0.000,0.000,0.000
CHIAPAS,34.000,0.436,0.014,41.000,0.526,0.023,3.000,0.038,0.038,0.000,0.000,0.000,37.000,0.474,0.016,38.000,0.487,0.020,3.000,0.038,0.033,0.000,0.000,0.000,32.000,0.410,0.014,40.000,0.513,0.024,6.000,0.077,0.021,0.000,0.000,0.000,33.000,0.423,0.013,42.000,0.538,0.025,3.000,0.038,0.028,0.000,0.000,0.000,28.000,0.359,0.012,45.000,0.577,0.026,5.000,0.064,0.031,0.000,0.000,0.000,41.000,0.526,0.015,37.000,0.474,0.027,0.000,0.000,0.000,0.000,0.000,0.000,34.000,0.436,0.014,40.000,0.513,0.024,4.000,0.051,0.037,0.000,0.000,0.000,28.000,0.359,0.013,43.000,0.551,0.023,7.000,0.090,0.028,0.000,0.000,0.000
CHIHUAHUA,93.000,0.517,0.039,84.000,0.467,0.046,3.000,0.017,0.038,0.000,0.000,0.000,97.000,0.539,0.043,79.000,0.439,0.041,4.000,0.022,0.044,0.000,0.000,0.000,99.000,0.550,0.045,72.000,0.400,0.042,8.000,0.044,0.028,1.000,0.006,0.019,110.000,0.611,0.044,62.000,0.344,0.037,8.000,0.044,0.075,0.000,0.000,0.000,99.000,0.550,0.042,72.000,0.400,0.042,9.000,0.050,0.056,0.000,0.000,0.000,120.000,0.667,0.043,57.000,0.317,0.041,2.000,0.011,0.038,1.000,0.006,0.100,103.000,0.572,0.041,69.000,0.383,0.042,8.000,0.044,0.075,0.000,0.000,0.000,89.000,0.494,0.042,74.000,0.411,0.040,17.000,0.094,0.069,0.000,0.000,0.000
CIUDAD DE MÉXICO,91.000,0.535,0.039,76.000,0.447,0.042,3.000,0.018,0.038,0.000,0.000,0.000,84.000,0.494,0.037,80.000,0.471,0.042,6.000,0.035,0.067,0.000,0.000,0.000,87.000,0.512,0.039,62.000,0.365,0.037,16.000,0.094,0.057,5.000,0.029,0.093,92.000,0.541,0.037,72.000,0.424,0.043,6.000,0.035,0.056,0.000,0.000,0.000,94.000,0.553,0.040,65.000,0.382,0.037,11.000,0.065,0.068,0.000,0.000,0.000,111.000,0.653,0.040,55.000,0.324,0.040,4.000,0.024,0.075,0.000,0.000,0.000,96.000,0.565,0.039,69.000,0.406,0.042,5.000,0.029,0.047,0.000,0.000,0.000,82.000,0.482,0.039,76.000,0.447,0.041,11.000,0.065,0.045,1.000,0.006,0.032
COAHUILA,49.000,0.570,0.021,37.000,0.430,0.020,0.000,0.000,0.000,0.000,0.000,0.000,48.000,0.558,0.021,38.000,0.442,0.020,0.000,0.000,0.000,0.000,0.000,0.000,49.000,0.570,0.022,33.000,0.384,0.019,4.000,0.047,0.014,0.000,0.000,0.000,56.000,0.651,0.023,30.000,0.349,0.018,0.000,0.000,0.000,0.000,0.000,0.000,54.000,0.628,0.023,31.000,0.360,0.018,1.000,0.012,0.006,0.000,0.000,0.000,62.000,0.721,0.022,24.000,0.279,0.017,0.000,0.000,0.000,0.000,0.000,0.000,57.000,0.663,0.023,28.000,0.326,0.017,1.000,0.012,0.009,0.000,0.000,0.000,51.000,0.593,0.024,32.000,0.372,0.017,2.000,0.023,0.008,1.000,0.012,0.032
COLIMA,105.000,0.660,0.045,53.000,0.333,0.029,1.000,0.006,0.013,0.000,0.000,0.000,97.000,0.610,0.043,60.000,0.377,0.031,2.000,0.013,0.022,0.000,0.000,0.000,98.000,0.616,0.044,54.000,0.340,0.032,6.000,0.038,0.021,1.000,0.006,0.019,111.000,0.698,0.045,44.000,0.277,0.026,4.000,0.025,0.037,0.000,0.000,0.000,101.000,0.635,0.043,53.000,0.333,0.031,5.000,0.031,0.031,0.000,0.000,0.000,121.000,0.761,0.043,36.000,0.226,0.026,1.000,0.006,0.019,1.000,0.006,0.100,111.000,0.698,0.045,45.000,0.283,0.027,3.000,0.019,0.028,0.000,0.000,0.000,99.000,0.623,0.047,52.000,0.327,0.028,8.000,0.050,0.032,0.000,0.000,0.000
DURANGO,96.000,0.593,0.041,64.000,0.395,0.035,2.000,0.012,0.025,0.000,0.000,0.000,93.000,0.574,0.041,65.000,0.401,0.034,4.000,0.025,0.044,0.000,0.000,0.000,86.000,0.531,0.039,68.000,0.420,0.040,8.000,0.049,0.028,0.000,0.000,0.000,92.000,0.568,0.037,63.000,0.389,0.038,6.000,0.037,0.056,1.000,0.006,0.083,94.000,0.580,0.040,61.000,0.377,0.035,7.000,0.043,0.043,0.000,0.000,0.000,112.000,0.691,0.040,48.000,0.296,0.035,2.000,0.012,0.038,0.000,0.000,0.000,101.000,0.623,0.041,57.000,0.352,0.034,4.000,0.025,0.037,0.000,0.000,0.000,87.000,0.537,0.041,65.000,0.401,0.035,9.000,0.056,0.036,1.000,0.006,0.032
