Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas
AGUASCALIENTES,104.00,0.57,0.04,78.00,0.43,0.04,113.00,0.62,0.04,69.00,0.38,0.04,136.00,0.75,0.04,46.00,0.25,0.04,141.00,0.78,0.04,41.00,0.23,0.05,142.00,0.78,0.04,40.00,0.22,0.04,131.00,0.72,0.04,51.00,0.28,0.05,133.00,0.73,0.04,49.00,0.27,0.05
BAJA CALIFORNIA,30.00,0.68,0.01,14.00,0.32,0.01,28.00,0.64,0.01,16.00,0.36,0.01,35.00,0.80,0.01,9.00,0.21,0.01,34.00,0.77,0.01,10.00,0.23,0.01,37.00,0.84,0.01,7.00,0.16,0.01,34.00,0.77,0.01,10.00,0.23,0.01,30.00,0.68,0.01,14.00,0.32,0.01
BAJA CALIFORNIA SUR,95.00,0.52,0.04,89.00,0.48,0.05,105.00,0.57,0.04,79.00,0.43,0.05,122.00,0.66,0.04,62.00,0.34,0.05,147.00,0.80,0.04,37.00,0.20,0.05,149.00,0.81,0.05,35.00,0.19,0.04,128.00,0.70,0.04,56.00,0.30,0.05,126.00,0.69,0.04,58.00,0.32,0.06
CAMPECHE,68.00,0.59,0.03,48.00,0.41,0.03,70.00,0.60,0.03,46.00,0.40,0.03,83.00,0.72,0.03,33.00,0.28,0.03,96.00,0.83,0.03,20.00,0.17,0.03,96.00,0.83,0.03,20.00,0.17,0.02,83.00,0.72,0.03,33.00,0.28,0.03,92.00,0.79,0.03,24.00,0.21,0.03
CHIAPAS,49.00,0.63,0.02,29.00,0.37,0.02,54.00,0.69,0.02,24.00,0.31,0.02,53.00,0.68,0.02,25.00,0.32,0.02,63.00,0.81,0.02,15.00,0.19,0.02,58.00,0.74,0.02,20.00,0.26,0.02,54.00,0.69,0.02,24.00,0.31,0.02,66.00,0.85,0.02,12.00,0.15,0.01
CHIHUAHUA,101.00,0.56,0.04,79.00,0.44,0.05,112.00,0.62,0.04,68.00,0.38,0.04,132.00,0.73,0.04,48.00,0.27,0.04,151.00,0.84,0.04,29.00,0.16,0.04,140.00,0.78,0.04,40.00,0.22,0.04,139.00,0.77,0.05,41.00,0.23,0.04,137.00,0.76,0.04,43.00,0.24,0.04
CIUDAD DE MÉXICO,90.00,0.53,0.04,80.00,0.47,0.05,98.00,0.58,0.04,72.00,0.42,0.05,125.00,0.74,0.04,45.00,0.27,0.04,137.00,0.81,0.04,33.00,0.19,0.04,138.00,0.81,0.04,32.00,0.19,0.03,125.00,0.74,0.04,45.00,0.27,0.04,138.00,0.81,0.04,32.00,0.19,0.03
COAHUILA,53.00,0.62,0.02,33.00,0.38,0.02,53.00,0.62,0.02,33.00,0.38,0.02,66.00,0.77,0.02,20.00,0.23,0.02,70.00,0.81,0.02,16.00,0.19,0.02,64.00,0.74,0.02,22.00,0.26,0.02,53.00,0.62,0.02,33.00,0.38,0.03,68.00,0.79,0.02,18.00,0.21,0.02
COLIMA,86.00,0.54,0.04,73.00,0.46,0.04,91.00,0.57,0.03,68.00,0.43,0.04,117.00,0.74,0.04,42.00,0.26,0.04,123.00,0.77,0.04,36.00,0.23,0.04,115.00,0.72,0.04,44.00,0.28,0.05,108.00,0.68,0.04,51.00,0.32,0.05,113.00,0.71,0.04,46.00,0.29,0.05
DURANGO,88.00,0.54,0.04,74.00,0.46,0.04,88.00,0.54,0.03,74.00,0.46,0.05,111.00,0.69,0.04,51.00,0.32,0.04,136.00,0.84,0.04,26.00,0.16,0.03,120.00,0.74,0.04,42.00,0.26,0.04,103.00,0.64,0.03,59.00,0.36,0.05,123.00,0.76,0.04,39.00,0.24,0.04
