Entidad,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
AGUASCALIENTES,103.00,0.57,0.04,72.00,0.40,0.05,7.00,0.04,0.02,0.00,0.00,0.00,131.00,0.72,0.05,50.00,0.28,0.04,1.00,0.01,0.01,0.00,0.00,0.00,8.00,0.04,0.03,15.00,0.08,0.04,93.00,0.51,0.05,66.00,0.36,0.04,93.00,0.51,0.04,69.00,0.38,0.04,20.00,0.11,0.05,0.00,0.00,0.00,101.00,0.56,0.05,67.00,0.37,0.04,14.00,0.08,0.05,0.00,0.00,0.00,9.00,0.05,0.04,8.00,0.04,0.02,82.00,0.45,0.05,83.00,0.46,0.04,112.00,0.62,0.05,61.00,0.34,0.04,9.00,0.05,0.04,0.00,0.00,0.00,93.00,0.51,0.05,78.00,0.43,0.04,11.00,0.06,0.03,0.00,0.00,0.00,93.00,0.51,0.04,69.00,0.38,0.04,19.00,0.10,0.05,1.00,0.01,0.05,102.00,0.56,0.04,72.00,0.40,0.05,7.00,0.04,0.03,1.00,0.01,0.14,104.00,0.57,0.04,74.00,0.41,0.05,4.00,0.02,0.02,0.00,0.00,0.00
BAJA CALIFORNIA,29.00,0.66,0.01,13.00,0.30,0.01,2.00,0.05,0.01,0.00,0.00,0.00,32.00,0.73,0.01,10.00,0.23,0.01,1.00,0.02,0.01,1.00,0.02,0.17,2.00,0.05,0.01,5.00,0.11,0.01,20.00,0.46,0.01,17.00,0.39,0.01,25.00,0.57,0.01,17.00,0.39,0.01,2.00,0.05,0.01,0.00,0.00,0.00,23.00,0.52,0.01,19.00,0.43,0.01,2.00,0.05,0.01,0.00,0.00,0.00,1.00,0.02,0.01,7.00,0.16,0.02,17.00,0.39,0.01,19.00,0.43,0.01,20.00,0.46,0.01,24.00,0.55,0.02,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.39,0.01,23.00,0.52,0.01,4.00,0.09,0.01,0.00,0.00,0.00,19.00,0.43,0.01,22.00,0.50,0.01,3.00,0.07,0.01,0.00,0.00,0.00,24.00,0.55,0.01,19.00,0.43,0.01,1.00,0.02,0.01,0.00,0.00,0.00,27.00,0.61,0.01,16.00,0.36,0.01,1.00,0.02,0.01,0.00,0.00,0.00
BAJA CALIFORNIA SUR,109.00,0.59,0.04,63.00,0.34,0.04,12.00,0.07,0.04,0.00,0.00,0.00,123.00,0.67,0.04,56.00,0.30,0.04,5.00,0.03,0.06,0.00,0.00,0.00,15.00,0.08,0.05,16.00,0.09,0.05,78.00,0.42,0.04,75.00,0.41,0.04,110.00,0.60,0.05,57.00,0.31,0.04,17.00,0.09,0.04,0.00,0.00,0.00,96.00,0.52,0.04,78.00,0.42,0.05,10.00,0.05,0.04,0.00,0.00,0.00,14.00,0.08,0.06,13.00,0.07,0.04,84.00,0.46,0.05,73.00,0.40,0.04,117.00,0.64,0.05,59.00,0.32,0.04,7.00,0.04,0.03,1.00,0.01,0.04,76.00,0.41,0.04,91.00,0.50,0.05,16.00,0.09,0.04,1.00,0.01,0.06,88.00,0.48,0.04,74.00,0.40,0.04,21.00,0.11,0.06,1.00,0.01,0.05,103.00,0.56,0.04,72.00,0.39,0.05,8.00,0.04,0.04,1.00,0.01,0.14,119.00,0.65,0.05,57.00,0.31,0.04,6.00,0.03,0.03,2.00,0.01,0.50
CAMPECHE,68.00,0.59,0.03,40.00,0.35,0.03,8.00,0.07,0.03,0.00,0.00,0.00,83.00,0.72,0.03,30.00,0.26,0.02,2.00,0.02,0.02,1.00,0.01,0.17,8.00,0.07,0.03,9.00,0.08,0.03,50.00,0.43,0.03,49.00,0.42,0.03,69.00,0.60,0.03,39.00,0.34,0.03,8.00,0.07,0.02,0.00,0.00,0.00,68.00,0.59,0.03,41.00,0.35,0.02,7.00,0.06,0.03,0.00,0.00,0.00,7.00,0.06,0.03,7.00,0.06,0.02,41.00,0.35,0.02,61.00,0.53,0.03,71.00,0.61,0.03,40.00,0.35,0.03,4.00,0.03,0.02,1.00,0.01,0.04,53.00,0.46,0.03,52.00,0.45,0.03,11.00,0.10,0.03,0.00,0.00,0.00,66.00,0.57,0.03,40.00,0.35,0.02,10.00,0.09,0.03,0.00,0.00,0.00,74.00,0.64,0.03,40.00,0.35,0.03,2.00,0.02,0.01,0.00,0.00,0.00,76.00,0.66,0.03,36.00,0.31,0.02,4.00,0.03,0.02,0.00,0.00,0.00
CHIAPAS,40.00,0.51,0.02,24.00,0.31,0.02,14.00,0.18,0.05,0.00,0.00,0.00,46.00,0.59,0.02,28.00,0.36,0.02,4.00,0.05,0.05,0.00,0.00,0.00,5.00,0.06,0.02,11.00,0.14,0.03,38.00,0.49,0.02,24.00,0.31,0.01,33.00,0.42,0.02,23.00,0.30,0.02,21.00,0.27,0.05,1.00,0.01,0.07,32.00,0.41,0.01,29.00,0.37,0.02,17.00,0.22,0.06,0.00,0.00,0.00,9.00,0.12,0.04,8.00,0.10,0.02,27.00,0.35,0.02,34.00,0.44,0.02,40.00,0.51,0.02,27.00,0.35,0.02,10.00,0.13,0.05,1.00,0.01,0.04,37.00,0.47,0.02,29.00,0.37,0.02,12.00,0.15,0.03,0.00,0.00,0.00,42.00,0.54,0.02,24.00,0.31,0.01,12.00,0.15,0.03,0.00,0.00,0.00,46.00,0.59,0.02,22.00,0.28,0.01,9.00,0.12,0.04,1.00,0.01,0.14,35.00,0.45,0.01,33.00,0.42,0.02,10.00,0.13,0.05,0.00,0.00,0.00
CHIHUAHUA,118.00,0.66,0.05,55.00,0.31,0.04,7.00,0.04,0.02,0.00,0.00,0.00,124.00,0.69,0.04,53.00,0.29,0.04,3.00,0.02,0.03,0.00,0.00,0.00,13.00,0.07,0.05,19.00,0.11,0.05,82.00,0.46,0.04,66.00,0.37,0.04,103.00,0.57,0.05,62.00,0.34,0.04,15.00,0.08,0.04,0.00,0.00,0.00,96.00,0.53,0.04,75.00,0.42,0.04,9.00,0.05,0.03,0.00,0.00,0.00,10.00,0.06,0.05,15.00,0.08,0.05,84.00,0.47,0.05,71.00,0.39,0.04,96.00,0.53,0.04,71.00,0.39,0.05,12.00,0.07,0.05,1.00,0.01,0.04,71.00,0.39,0.04,94.00,0.52,0.05,15.00,0.08,0.04,0.00,0.00,0.00,88.00,0.49,0.04,80.00,0.44,0.05,12.00,0.07,0.03,0.00,0.00,0.00,108.00,0.60,0.04,70.00,0.39,0.04,2.00,0.01,0.01,0.00,0.00,0.00,104.00,0.58,0.04,69.00,0.38,0.04,7.00,0.04,0.04,0.00,0.00,0.00
CIUDAD DE MÉXICO,90.00,0.53,0.04,68.00,0.40,0.05,12.00,0.07,0.04,0.00,0.00,0.00,108.00,0.64,0.04,57.00,0.34,0.05,5.00,0.03,0.06,0.00,0.00,0.00,11.00,0.07,0.04,10.00,0.06,0.03,97.00,0.57,0.05,52.00,0.31,0.03,89.00,0.52,0.04,66.00,0.39,0.04,14.00,0.08,0.04,1.00,0.01,0.07,93.00,0.55,0.04,66.00,0.39,0.04,11.00,0.07,0.04,0.00,0.00,0.00,9.00,0.05,0.04,10.00,0.06,0.03,74.00,0.44,0.04,77.00,0.45,0.04,91.00,0.54,0.04,64.00,0.38,0.04,11.00,0.07,0.05,4.00,0.02,0.15,73.00,0.43,0.04,75.00,0.44,0.04,21.00,0.12,0.05,1.00,0.01,0.06,74.00,0.44,0.04,70.00,0.41,0.04,22.00,0.13,0.06,4.00,0.02,0.21,92.00,0.54,0.04,67.00,0.39,0.04,11.00,0.07,0.05,0.00,0.00,0.00,91.00,0.54,0.04,67.00,0.39,0.04,12.00,0.07,0.06,0.00,0.00,0.00
COAHUILA,52.00,0.61,0.02,27.00,0.31,0.02,6.00,0.07,0.02,1.00,0.01,0.20,58.00,0.67,0.02,26.00,0.30,0.02,2.00,0.02,0.02,0.00,0.00,0.00,6.00,0.07,0.02,10.00,0.12,0.03,31.00,0.36,0.02,39.00,0.45,0.02,54.00,0.63,0.02,24.00,0.28,0.02,8.00,0.09,0.02,0.00,0.00,0.00,54.00,0.63,0.02,27.00,0.31,0.02,5.00,0.06,0.02,0.00,0.00,0.00,5.00,0.06,0.02,10.00,0.12,0.03,27.00,0.31,0.02,44.00,0.51,0.02,48.00,0.56,0.02,34.00,0.40,0.02,4.00,0.05,0.02,0.00,0.00,0.00,44.00,0.51,0.02,31.00,0.36,0.02,11.00,0.13,0.03,0.00,0.00,0.00,39.00,0.45,0.02,36.00,0.42,0.02,11.00,0.13,0.03,0.00,0.00,0.00,55.00,0.64,0.02,26.00,0.30,0.02,5.00,0.06,0.02,0.00,0.00,0.00,52.00,0.61,0.02,30.00,0.35,0.02,4.00,0.05,0.02,0.00,0.00,0.00
COLIMA,116.00,0.73,0.05,38.00,0.24,0.03,5.00,0.03,0.02,0.00,0.00,0.00,127.00,0.80,0.04,32.00,0.20,0.03,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.06,0.03,13.00,0.08,0.04,56.00,0.35,0.03,81.00,0.51,0.05,100.00,0.63,0.04,48.00,0.30,0.03,11.00,0.07,0.03,0.00,0.00,0.00,110.00,0.69,0.05,44.00,0.28,0.03,5.00,0.03,0.02,0.00,0.00,0.00,6.00,0.04,0.03,8.00,0.05,0.02,56.00,0.35,0.03,89.00,0.56,0.05,111.00,0.70,0.05,45.00,0.28,0.03,3.00,0.02,0.01,0.00,0.00,0.00,82.00,0.52,0.04,69.00,0.43,0.04,8.00,0.05,0.02,0.00,0.00,0.00,96.00,0.60,0.05,56.00,0.35,0.03,7.00,0.04,0.02,0.00,0.00,0.00,111.00,0.70,0.05,44.00,0.28,0.03,4.00,0.03,0.02,0.00,0.00,0.00,108.00,0.68,0.04,47.00,0.30,0.03,3.00,0.02,0.02,1.00,0.01,0.25
DURANGO,92.00,0.57,0.04,58.00,0.36,0.04,12.00,0.07,0.04,0.00,0.00,0.00,105.00,0.65,0.04,55.00,0.34,0.04,2.00,0.01,0.02,0.00,0.00,0.00,11.00,0.07,0.04,16.00,0.10,0.05,67.00,0.41,0.04,68.00,0.42,0.04,85.00,0.53,0.04,60.00,0.37,0.04,15.00,0.09,0.04,2.00,0.01,0.14,79.00,0.49,0.04,74.00,0.46,0.04,9.00,0.06,0.03,0.00,0.00,0.00,10.00,0.06,0.05,19.00,0.12,0.06,62.00,0.38,0.04,71.00,0.44,0.04,96.00,0.59,0.04,55.00,0.34,0.04,9.00,0.06,0.04,2.00,0.01,0.08,65.00,0.40,0.03,82.00,0.51,0.04,14.00,0.09,0.04,1.00,0.01,0.06,90.00,0.56,0.04,53.00,0.33,0.03,19.00,0.12,0.05,0.00,0.00,0.00,96.00,0.59,0.04,61.00,0.38,0.04,5.00,0.03,0.02,0.00,0.00,0.00,97.00,0.60,0.04,59.00,0.36,0.04,6.00,0.04,0.03,0.00,0.00,0.00
