Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas
AGUASCALIENTES,176.00,0.97,0.04,6.00,0.03,0.05,155.00,0.85,0.04,27.00,0.15,0.04,93.00,0.51,0.04,89.00,0.49,0.05,177.00,0.97,0.05,5.00,0.03,0.01,154.00,0.85,0.06,28.00,0.15,0.02,119.00,0.65,0.06,63.00,0.35,0.03
BAJA CALIFORNIA,41.00,0.93,0.01,3.00,0.07,0.02,40.00,0.91,0.01,4.00,0.09,0.01,21.00,0.48,0.01,23.00,0.52,0.01,39.00,0.89,0.01,5.00,0.11,0.01,37.00,0.84,0.01,7.00,0.16,0.00,20.00,0.46,0.01,24.00,0.55,0.01
BAJA CALIFORNIA SUR,183.00,1.00,0.04,1.00,0.01,0.01,161.00,0.88,0.05,23.00,0.13,0.03,76.00,0.41,0.03,108.00,0.59,0.06,168.00,0.91,0.04,16.00,0.09,0.04,138.00,0.75,0.05,46.00,0.25,0.03,98.00,0.53,0.05,86.00,0.47,0.04
CAMPECHE,113.00,0.97,0.03,3.00,0.03,0.02,102.00,0.88,0.03,14.00,0.12,0.02,64.00,0.55,0.03,52.00,0.45,0.03,106.00,0.91,0.03,10.00,0.09,0.02,48.00,0.41,0.02,68.00,0.59,0.04,27.00,0.23,0.01,89.00,0.77,0.04
CHIAPAS,72.00,0.92,0.02,6.00,0.08,0.05,49.00,0.63,0.01,29.00,0.37,0.04,57.00,0.73,0.02,21.00,0.27,0.01,69.00,0.89,0.02,9.00,0.12,0.02,22.00,0.28,0.01,56.00,0.72,0.03,17.00,0.22,0.01,61.00,0.78,0.03
CHIHUAHUA,175.00,0.97,0.04,5.00,0.03,0.04,162.00,0.90,0.05,18.00,0.10,0.03,119.00,0.66,0.05,61.00,0.34,0.03,164.00,0.91,0.04,16.00,0.09,0.04,107.00,0.59,0.04,73.00,0.41,0.04,78.00,0.43,0.04,102.00,0.57,0.04
CIUDAD DE MÉXICO,168.00,0.99,0.04,2.00,0.01,0.02,133.00,0.78,0.04,37.00,0.22,0.05,72.00,0.42,0.03,98.00,0.58,0.05,151.00,0.89,0.04,19.00,0.11,0.05,129.00,0.76,0.05,41.00,0.24,0.03,99.00,0.58,0.05,71.00,0.42,0.03
COAHUILA,83.00,0.97,0.02,3.00,0.04,0.02,77.00,0.90,0.02,9.00,0.11,0.01,41.00,0.48,0.02,45.00,0.52,0.02,77.00,0.90,0.02,9.00,0.11,0.02,58.00,0.67,0.02,28.00,0.33,0.02,44.00,0.51,0.02,42.00,0.49,0.02
COLIMA,157.00,0.99,0.04,2.00,0.01,0.02,142.00,0.89,0.04,17.00,0.11,0.03,78.00,0.49,0.03,81.00,0.51,0.04,150.00,0.94,0.04,9.00,0.06,0.02,81.00,0.51,0.03,78.00,0.49,0.05,70.00,0.44,0.04,89.00,0.56,0.04
DURANGO,154.00,0.95,0.04,8.00,0.05,0.06,141.00,0.87,0.04,21.00,0.13,0.03,102.00,0.63,0.04,60.00,0.37,0.03,149.00,0.92,0.04,13.00,0.08,0.03,87.00,0.54,0.03,75.00,0.46,0.05,73.00,0.45,0.04,89.00,0.55,0.04
