Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
AGUASCALIENTES,181.000,0.995,0.043,1.000,0.005,0.067,0.000,0.000,0.000,179.000,0.984,0.043,1.000,0.005,0.037,2.000,0.011,0.083,178.000,0.978,0.043,1.000,0.005,0.011,3.000,0.016,0.107,138.000,0.758,0.045,4.000,0.022,0.022,40.000,0.220,0.041,163.000,0.896,0.044,7.000,0.038,0.058,12.000,0.066,0.029,156.000,0.857,0.042,19.000,0.104,0.047,7.000,0.038,0.044,167.000,0.918,0.046,12.000,0.066,0.029,3.000,0.016,0.015,162.000,0.890,0.047,12.000,0.066,0.023,8.000,0.044,0.031,132.000,0.725,0.044,17.000,0.093,0.027,33.000,0.181,0.056
BAJA CALIFORNIA,44.000,1.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,44.000,1.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,41.000,0.932,0.010,3.000,0.068,0.034,0.000,0.000,0.000,27.000,0.614,0.009,1.000,0.023,0.005,16.000,0.364,0.016,40.000,0.909,0.011,2.000,0.045,0.017,2.000,0.045,0.005,38.000,0.864,0.010,4.000,0.091,0.010,2.000,0.045,0.013,40.000,0.909,0.011,4.000,0.091,0.010,0.000,0.000,0.000,41.000,0.932,0.012,3.000,0.068,0.006,0.000,0.000,0.000,29.000,0.659,0.010,5.000,0.114,0.008,10.000,0.227,0.017
BAJA CALIFORNIA SUR,184.000,1.000,0.043,0.000,0.000,0.000,0.000,0.000,0.000,184.000,1.000,0.044,0.000,0.000,0.000,0.000,0.000,0.000,182.000,0.989,0.044,2.000,0.011,0.023,0.000,0.000,0.000,162.000,0.880,0.052,1.000,0.005,0.005,21.000,0.114,0.021,171.000,0.929,0.046,3.000,0.016,0.025,10.000,0.054,0.024,170.000,0.924,0.046,10.000,0.054,0.025,4.000,0.022,0.025,162.000,0.880,0.045,14.000,0.076,0.034,8.000,0.043,0.040,162.000,0.880,0.047,13.000,0.071,0.025,9.000,0.049,0.035,143.000,0.777,0.047,16.000,0.087,0.025,25.000,0.136,0.042
CAMPECHE,116.000,1.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,112.000,0.966,0.027,1.000,0.009,0.037,3.000,0.026,0.125,109.000,0.940,0.026,3.000,0.026,0.034,4.000,0.034,0.143,81.000,0.698,0.026,6.000,0.052,0.032,29.000,0.250,0.030,93.000,0.802,0.025,3.000,0.026,0.025,20.000,0.172,0.049,108.000,0.931,0.029,5.000,0.043,0.012,3.000,0.026,0.019,102.000,0.879,0.028,7.000,0.060,0.017,7.000,0.060,0.035,95.000,0.819,0.027,14.000,0.121,0.027,7.000,0.060,0.027,84.000,0.724,0.028,16.000,0.138,0.025,16.000,0.138,0.027
CHIAPAS,78.000,1.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,77.000,0.987,0.018,1.000,0.013,0.037,0.000,0.000,0.000,73.000,0.936,0.018,4.000,0.051,0.046,1.000,0.013,0.036,59.000,0.756,0.019,4.000,0.051,0.022,15.000,0.192,0.015,68.000,0.872,0.018,3.000,0.038,0.025,7.000,0.090,0.017,63.000,0.808,0.017,11.000,0.141,0.027,4.000,0.051,0.025,60.000,0.769,0.017,14.000,0.179,0.034,4.000,0.051,0.020,55.000,0.705,0.016,17.000,0.218,0.033,6.000,0.077,0.023,46.000,0.590,0.015,21.000,0.269,0.033,11.000,0.141,0.019
CHIHUAHUA,177.000,0.983,0.042,2.000,0.011,0.133,1.000,0.006,0.167,176.000,0.978,0.042,1.000,0.006,0.037,3.000,0.017,0.125,177.000,0.983,0.043,3.000,0.017,0.034,0.000,0.000,0.000,141.000,0.783,0.046,6.000,0.033,0.032,33.000,0.183,0.034,173.000,0.961,0.047,1.000,0.006,0.008,6.000,0.033,0.015,162.000,0.900,0.044,14.000,0.078,0.034,4.000,0.022,0.025,152.000,0.844,0.042,23.000,0.128,0.055,5.000,0.028,0.025,142.000,0.789,0.041,29.000,0.161,0.056,9.000,0.050,0.035,132.000,0.733,0.044,28.000,0.156,0.045,20.000,0.111,0.034
CIUDAD DE MÉXICO,170.000,1.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,170.000,1.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,168.000,0.988,0.041,1.000,0.006,0.011,1.000,0.006,0.036,158.000,0.929,0.051,1.000,0.006,0.005,11.000,0.065,0.011,139.000,0.818,0.037,7.000,0.041,0.058,24.000,0.141,0.058,135.000,0.794,0.037,25.000,0.147,0.062,10.000,0.059,0.063,131.000,0.771,0.036,18.000,0.106,0.043,21.000,0.124,0.105,138.000,0.812,0.040,18.000,0.106,0.035,14.000,0.082,0.055,119.000,0.700,0.039,20.000,0.118,0.032,31.000,0.182,0.052
COAHUILA,86.000,1.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,86.000,1.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,84.000,0.977,0.020,2.000,0.023,0.023,0.000,0.000,0.000,64.000,0.744,0.021,5.000,0.058,0.027,17.000,0.198,0.017,79.000,0.919,0.021,2.000,0.023,0.017,5.000,0.058,0.012,75.000,0.872,0.020,9.000,0.105,0.022,2.000,0.023,0.013,69.000,0.802,0.019,11.000,0.128,0.026,6.000,0.070,0.030,66.000,0.767,0.019,13.000,0.151,0.025,7.000,0.081,0.027,57.000,0.663,0.019,16.000,0.186,0.025,13.000,0.151,0.022
COLIMA,159.000,1.000,0.038,0.000,0.000,0.000,0.000,0.000,0.000,157.000,0.987,0.037,2.000,0.013,0.074,0.000,0.000,0.000,158.000,0.994,0.038,1.000,0.006,0.011,0.000,0.000,0.000,112.000,0.704,0.036,5.000,0.031,0.027,42.000,0.264,0.043,155.000,0.975,0.042,0.000,0.000,0.000,4.000,0.025,0.010,143.000,0.899,0.039,12.000,0.075,0.030,4.000,0.025,0.025,146.000,0.918,0.040,8.000,0.050,0.019,5.000,0.031,0.025,138.000,0.868,0.040,13.000,0.082,0.025,8.000,0.050,0.031,118.000,0.742,0.039,19.000,0.119,0.030,22.000,0.138,0.037
DURANGO,160.000,0.988,0.038,2.000,0.012,0.133,0.000,0.000,0.000,159.000,0.981,0.038,3.000,0.019,0.111,0.000,0.000,0.000,158.000,0.975,0.038,2.000,0.012,0.023,2.000,0.012,0.071,129.000,0.796,0.042,13.000,0.080,0.070,20.000,0.123,0.020,148.000,0.914,0.040,7.000,0.043,0.058,7.000,0.043,0.017,142.000,0.877,0.039,16.000,0.099,0.039,4.000,0.025,0.025,140.000,0.864,0.039,19.000,0.117,0.046,3.000,0.019,0.015,133.000,0.821,0.038,23.000,0.142,0.044,6.000,0.037,0.023,111.000,0.685,0.037,29.000,0.179,0.046,22.000,0.136,0.037
ESTADO DE MÉXICO,160.000,0.994,0.038,1.000,0.006,0.067,0.000,0.000,0.000,160.000,0.994,0.038,1.000,0.006,0.037,0.000,0.000,0.000,156.000,0.969,0.038,5.000,0.031,0.057,0.000,0.000,0.000,128.000,0.795,0.041,6.000,0.037,0.032,27.000,0.168,0.028,152.000,0.944,0.041,3.000,0.019,0.025,6.000,0.037,0.015,139.000,0.863,0.038,13.000,0.081,0.032,9.000,0.056,0.056,123.000,0.764,0.034,24.000,0.149,0.058,14.000,0.087,0.070,118.000,0.733,0.034,27.000,0.168,0.052,16.000,0.099,0.063,108.000,0.671,0.036,27.000,0.168,0.043,26.000,0.161,0.044
GUANAJUATO,168.000,1.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,165.000,0.982,0.039,2.000,0.012,0.074,1.000,0.006,0.042,163.000,0.970,0.039,4.000,0.024,0.046,1.000,0.006,0.036,112.000,0.667,0.036,6.000,0.036,0.032,50.000,0.298,0.051,127.000,0.756,0.034,5.000,0.030,0.041,36.000,0.214,0.087,152.000,0.905,0.041,11.000,0.065,0.027,5.000,0.030,0.031,148.000,0.881,0.041,10.000,0.060,0.024,10.000,0.060,0.050,143.000,0.851,0.041,15.000,0.089,0.029,10.000,0.060,0.039,121.000,0.720,0.040,21.000,0.125,0.033,26.000,0.155,0.044
GUERRERO,42.000,1.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,42.000,1.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,42.000,1.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,31.000,0.738,0.010,3.000,0.071,0.016,8.000,0.190,0.008,38.000,0.905,0.010,1.000,0.024,0.008,3.000,0.071,0.007,34.000,0.810,0.009,6.000,0.143,0.015,2.000,0.048,0.013,34.000,0.810,0.009,7.000,0.167,0.017,1.000,0.024,0.005,31.000,0.738,0.009,10.000,0.238,0.019,1.000,0.024,0.004,26.000,0.619,0.009,9.000,0.214,0.014,7.000,0.167,0.012
HIDALGO,155.000,1.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,154.000,0.994,0.037,0.000,0.000,0.000,1.000,0.006,0.042,150.000,0.968,0.036,3.000,0.019,0.034,2.000,0.013,0.071,115.000,0.742,0.037,11.000,0.071,0.059,29.000,0.187,0.030,148.000,0.955,0.040,3.000,0.019,0.025,4.000,0.026,0.010,128.000,0.826,0.035,19.000,0.123,0.047,8.000,0.052,0.050,127.000,0.819,0.035,20.000,0.129,0.048,8.000,0.052,0.040,118.000,0.761,0.034,26.000,0.168,0.050,11.000,0.071,0.043,106.000,0.684,0.035,29.000,0.187,0.046,20.000,0.129,0.034
