Entidad,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
AGUASCALIENTES,130.00,0.44,0.06,155.00,0.53,0.05,7.00,0.02,0.04,1.00,0.00,0.08,122.00,0.42,0.05,163.00,0.56,0.06,6.00,0.02,0.04,2.00,0.01,0.18,134.00,0.46,0.05,153.00,0.52,0.06,5.00,0.02,0.04,1.00,0.00,0.17,114.00,0.39,0.05,174.00,0.59,0.06,4.00,0.01,0.03,1.00,0.00,0.11,104.00,0.36,0.06,169.00,0.58,0.06,17.00,0.06,0.04,3.00,0.01,0.06
BAJA CALIFORNIA,19.00,0.46,0.01,19.00,0.46,0.01,3.00,0.07,0.02,0.00,0.00,0.00,21.00,0.51,0.01,19.00,0.46,0.01,1.00,0.02,0.01,0.00,0.00,0.00,22.00,0.54,0.01,17.00,0.42,0.01,2.00,0.05,0.02,0.00,0.00,0.00,18.00,0.44,0.01,21.00,0.51,0.01,2.00,0.05,0.01,0.00,0.00,0.00,14.00,0.34,0.01,24.00,0.59,0.01,2.00,0.05,0.01,1.00,0.02,0.02
BAJA CALIFORNIA SUR,85.00,0.40,0.04,122.00,0.58,0.04,5.00,0.02,0.03,0.00,0.00,0.00,95.00,0.45,0.04,109.00,0.51,0.04,7.00,0.03,0.04,1.00,0.01,0.09,108.00,0.51,0.04,102.00,0.48,0.04,2.00,0.01,0.02,0.00,0.00,0.00,91.00,0.43,0.04,116.00,0.55,0.04,5.00,0.02,0.04,0.00,0.00,0.00,68.00,0.32,0.04,124.00,0.59,0.04,19.00,0.09,0.05,1.00,0.01,0.02
CAMPECHE,55.00,0.29,0.03,127.00,0.68,0.04,5.00,0.03,0.03,0.00,0.00,0.00,61.00,0.33,0.03,115.00,0.62,0.04,10.00,0.05,0.06,1.00,0.01,0.09,75.00,0.40,0.03,108.00,0.58,0.04,4.00,0.02,0.04,0.00,0.00,0.00,60.00,0.32,0.03,123.00,0.66,0.04,4.00,0.02,0.03,0.00,0.00,0.00,52.00,0.28,0.03,123.00,0.66,0.04,11.00,0.06,0.03,1.00,0.01,0.02
CHIAPAS,13.00,0.22,0.01,43.00,0.72,0.01,2.00,0.03,0.01,2.00,0.03,0.15,15.00,0.25,0.01,40.00,0.67,0.01,4.00,0.07,0.03,1.00,0.02,0.09,22.00,0.37,0.01,37.00,0.62,0.01,1.00,0.02,0.01,0.00,0.00,0.00,16.00,0.27,0.01,40.00,0.67,0.01,4.00,0.07,0.03,0.00,0.00,0.00,17.00,0.28,0.01,36.00,0.60,0.01,7.00,0.12,0.02,0.00,0.00,0.00
CHIHUAHUA,128.00,0.50,0.06,124.00,0.48,0.04,4.00,0.02,0.02,0.00,0.00,0.00,130.00,0.51,0.06,120.00,0.47,0.04,6.00,0.02,0.04,0.00,0.00,0.00,139.00,0.54,0.06,114.00,0.45,0.04,3.00,0.01,0.03,0.00,0.00,0.00,106.00,0.41,0.05,143.00,0.56,0.05,6.00,0.02,0.04,1.00,0.00,0.11,101.00,0.40,0.05,127.00,0.50,0.04,22.00,0.09,0.06,6.00,0.02,0.12
CIUDAD DE MÉXICO,90.00,0.37,0.04,142.00,0.59,0.05,8.00,0.03,0.05,1.00,0.00,0.08,101.00,0.42,0.05,131.00,0.54,0.05,9.00,0.04,0.06,0.00,0.00,0.00,100.00,0.42,0.04,132.00,0.55,0.05,9.00,0.04,0.08,0.00,0.00,0.00,89.00,0.37,0.04,145.00,0.60,0.05,7.00,0.03,0.05,0.00,0.00,0.00,80.00,0.33,0.04,138.00,0.57,0.05,23.00,0.10,0.06,0.00,0.00,0.00
COAHUILA,38.00,0.46,0.02,44.00,0.53,0.02,1.00,0.01,0.01,0.00,0.00,0.00,35.00,0.42,0.02,46.00,0.55,0.02,2.00,0.02,0.01,0.00,0.00,0.00,40.00,0.48,0.02,41.00,0.49,0.02,2.00,0.02,0.02,0.00,0.00,0.00,33.00,0.40,0.02,48.00,0.58,0.02,2.00,0.02,0.01,0.00,0.00,0.00,23.00,0.28,0.01,51.00,0.61,0.02,7.00,0.08,0.02,2.00,0.02,0.04
COLIMA,95.00,0.48,0.04,103.00,0.52,0.03,1.00,0.01,0.01,0.00,0.00,0.00,85.00,0.43,0.04,108.00,0.54,0.04,6.00,0.03,0.04,0.00,0.00,0.00,97.00,0.49,0.04,97.00,0.49,0.04,4.00,0.02,0.04,1.00,0.01,0.17,85.00,0.43,0.04,110.00,0.55,0.04,4.00,0.02,0.03,0.00,0.00,0.00,79.00,0.40,0.04,106.00,0.53,0.04,13.00,0.07,0.03,1.00,0.01,0.02
DURANGO,106.00,0.40,0.05,154.00,0.58,0.05,7.00,0.03,0.04,0.00,0.00,0.00,118.00,0.44,0.05,146.00,0.55,0.05,3.00,0.01,0.02,0.00,0.00,0.00,130.00,0.49,0.05,132.00,0.49,0.05,5.00,0.02,0.04,0.00,0.00,0.00,110.00,0.41,0.05,152.00,0.57,0.05,5.00,0.02,0.04,0.00,0.00,0.00,99.00,0.37,0.05,151.00,0.57,0.05,17.00,0.06,0.04,0.00,0.00,0.00
