Entidad,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
AGUASCALIENTES,115.00,0.39,0.05,160.00,0.55,0.06,16.00,0.06,0.05,2.00,0.01,0.08,99.00,0.34,0.05,176.00,0.60,0.06,18.00,0.06,0.05,0.00,0.00,0.00,92.00,0.31,0.05,181.00,0.62,0.06,20.00,0.07,0.05,0.00,0.00,0.00,64.00,0.22,0.05,207.00,0.71,0.06,20.00,0.07,0.04,2.00,0.01,0.06,53.00,0.18,0.05,189.00,0.65,0.06,46.00,0.16,0.07,5.00,0.02,0.11,49.00,0.17,0.04,206.00,0.70,0.06,33.00,0.11,0.05,5.00,0.02,0.13,51.00,0.17,0.05,198.00,0.68,0.06,37.00,0.13,0.05,7.00,0.02,0.12
BAJA CALIFORNIA,15.00,0.37,0.01,22.00,0.54,0.01,3.00,0.07,0.01,1.00,0.02,0.04,13.00,0.32,0.01,26.00,0.63,0.01,2.00,0.05,0.01,0.00,0.00,0.00,13.00,0.32,0.01,24.00,0.59,0.01,4.00,0.10,0.01,0.00,0.00,0.00,7.00,0.17,0.01,32.00,0.78,0.01,2.00,0.05,0.00,0.00,0.00,0.00,6.00,0.15,0.01,29.00,0.71,0.01,6.00,0.15,0.01,0.00,0.00,0.00,8.00,0.20,0.01,26.00,0.63,0.01,7.00,0.17,0.01,0.00,0.00,0.00,7.00,0.17,0.01,31.00,0.76,0.01,3.00,0.07,0.00,0.00,0.00,0.00
BAJA CALIFORNIA SUR,87.00,0.41,0.04,105.00,0.50,0.04,18.00,0.09,0.06,2.00,0.01,0.08,78.00,0.37,0.04,117.00,0.55,0.04,16.00,0.08,0.05,1.00,0.01,0.06,70.00,0.33,0.04,123.00,0.58,0.04,19.00,0.09,0.05,0.00,0.00,0.00,43.00,0.20,0.03,147.00,0.69,0.04,20.00,0.09,0.04,2.00,0.01,0.06,30.00,0.14,0.03,147.00,0.69,0.04,33.00,0.16,0.05,2.00,0.01,0.04,34.00,0.16,0.03,147.00,0.69,0.04,29.00,0.14,0.05,2.00,0.01,0.05,29.00,0.14,0.03,155.00,0.73,0.05,26.00,0.12,0.04,2.00,0.01,0.03
CAMPECHE,55.00,0.29,0.03,119.00,0.64,0.04,11.00,0.06,0.04,2.00,0.01,0.08,50.00,0.27,0.03,119.00,0.64,0.04,16.00,0.09,0.05,2.00,0.01,0.13,52.00,0.28,0.03,118.00,0.63,0.04,15.00,0.08,0.04,2.00,0.01,0.07,43.00,0.23,0.03,127.00,0.68,0.04,15.00,0.08,0.03,2.00,0.01,0.06,36.00,0.19,0.03,127.00,0.68,0.04,22.00,0.12,0.03,2.00,0.01,0.04,40.00,0.21,0.03,128.00,0.68,0.04,17.00,0.09,0.03,2.00,0.01,0.05,37.00,0.20,0.03,126.00,0.67,0.04,22.00,0.12,0.03,2.00,0.01,0.03
CHIAPAS,18.00,0.30,0.01,33.00,0.55,0.01,9.00,0.15,0.03,0.00,0.00,0.00,16.00,0.27,0.01,37.00,0.62,0.01,7.00,0.12,0.02,0.00,0.00,0.00,13.00,0.22,0.01,36.00,0.60,0.01,9.00,0.15,0.02,2.00,0.03,0.07,13.00,0.22,0.01,38.00,0.63,0.01,9.00,0.15,0.02,0.00,0.00,0.00,8.00,0.13,0.01,37.00,0.62,0.01,15.00,0.25,0.02,0.00,0.00,0.00,9.00,0.15,0.01,38.00,0.63,0.01,13.00,0.22,0.02,0.00,0.00,0.00,9.00,0.15,0.01,38.00,0.63,0.01,12.00,0.20,0.02,1.00,0.02,0.02
CHIHUAHUA,128.00,0.50,0.06,113.00,0.44,0.04,13.00,0.05,0.04,2.00,0.01,0.08,105.00,0.41,0.06,128.00,0.50,0.04,22.00,0.09,0.06,1.00,0.00,0.06,97.00,0.38,0.05,133.00,0.52,0.04,24.00,0.09,0.06,2.00,0.01,0.07,70.00,0.27,0.05,159.00,0.62,0.05,26.00,0.10,0.06,1.00,0.00,0.03,59.00,0.23,0.05,156.00,0.61,0.05,40.00,0.16,0.06,1.00,0.00,0.02,72.00,0.28,0.06,151.00,0.59,0.04,32.00,0.13,0.05,1.00,0.00,0.03,62.00,0.24,0.06,158.00,0.62,0.05,36.00,0.14,0.05,0.00,0.00,0.00
CIUDAD DE MÉXICO,88.00,0.37,0.04,142.00,0.59,0.05,11.00,0.05,0.04,0.00,0.00,0.00,79.00,0.33,0.04,150.00,0.62,0.05,12.00,0.05,0.04,0.00,0.00,0.00,67.00,0.28,0.04,153.00,0.64,0.05,21.00,0.09,0.05,0.00,0.00,0.00,39.00,0.16,0.03,169.00,0.70,0.05,32.00,0.13,0.07,1.00,0.00,0.03,35.00,0.15,0.03,163.00,0.68,0.05,41.00,0.17,0.06,2.00,0.01,0.04,36.00,0.15,0.03,161.00,0.67,0.05,44.00,0.18,0.07,0.00,0.00,0.00,41.00,0.17,0.04,155.00,0.64,0.05,42.00,0.17,0.06,3.00,0.01,0.05
COAHUILA,32.00,0.39,0.02,45.00,0.54,0.02,6.00,0.07,0.02,0.00,0.00,0.00,32.00,0.39,0.02,47.00,0.57,0.02,4.00,0.05,0.01,0.00,0.00,0.00,26.00,0.31,0.01,46.00,0.55,0.02,10.00,0.12,0.02,1.00,0.01,0.04,24.00,0.29,0.02,53.00,0.64,0.02,6.00,0.07,0.01,0.00,0.00,0.00,24.00,0.29,0.02,43.00,0.52,0.01,16.00,0.19,0.02,0.00,0.00,0.00,24.00,0.29,0.02,48.00,0.58,0.01,11.00,0.13,0.02,0.00,0.00,0.00,25.00,0.30,0.02,47.00,0.57,0.01,11.00,0.13,0.02,0.00,0.00,0.00
COLIMA,83.00,0.42,0.04,106.00,0.53,0.04,10.00,0.05,0.03,0.00,0.00,0.00,77.00,0.39,0.04,112.00,0.56,0.04,10.00,0.05,0.03,0.00,0.00,0.00,73.00,0.37,0.04,115.00,0.58,0.04,11.00,0.06,0.03,0.00,0.00,0.00,47.00,0.24,0.04,137.00,0.69,0.04,15.00,0.08,0.03,0.00,0.00,0.00,53.00,0.27,0.05,119.00,0.60,0.04,26.00,0.13,0.04,1.00,0.01,0.02,51.00,0.26,0.04,129.00,0.65,0.04,19.00,0.10,0.03,0.00,0.00,0.00,51.00,0.26,0.05,124.00,0.62,0.04,23.00,0.12,0.03,1.00,0.01,0.02
DURANGO,116.00,0.43,0.06,138.00,0.52,0.05,13.00,0.05,0.04,0.00,0.00,0.00,114.00,0.43,0.06,142.00,0.53,0.05,11.00,0.04,0.03,0.00,0.00,0.00,95.00,0.36,0.05,162.00,0.61,0.05,10.00,0.04,0.02,0.00,0.00,0.00,62.00,0.23,0.05,185.00,0.69,0.05,19.00,0.07,0.04,1.00,0.00,0.03,59.00,0.22,0.05,181.00,0.68,0.05,24.00,0.09,0.03,3.00,0.01,0.07,61.00,0.23,0.05,183.00,0.69,0.05,22.00,0.08,0.04,1.00,0.00,0.03,55.00,0.21,0.05,176.00,0.66,0.05,32.00,0.12,0.05,4.00,0.02,0.07
