Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
AGUASCALIENTES,122.00,0.42,0.06,155.00,0.53,0.05,12.00,0.04,0.04,3.00,0.01,0.19,114.00,0.39,0.06,163.00,0.56,0.05,14.00,0.05,0.05,1.00,0.00,0.06,123.00,0.42,0.06,148.00,0.51,0.06,19.00,0.07,0.03,2.00,0.01,0.02,120.00,0.41,0.05,163.00,0.56,0.06,8.00,0.03,0.03,1.00,0.00,0.03,113.00,0.39,0.05,155.00,0.53,0.06,23.00,0.08,0.06,1.00,0.00,0.02,133.00,0.46,0.05,147.00,0.50,0.06,10.00,0.03,0.04,2.00,0.01,0.05,118.00,0.40,0.05,161.00,0.55,0.06,12.00,0.04,0.04,1.00,0.00,0.04,90.00,0.31,0.05,162.00,0.56,0.06,36.00,0.12,0.06,4.00,0.01,0.05
BAJA CALIFORNIA,17.00,0.39,0.01,25.00,0.57,0.01,2.00,0.05,0.01,0.00,0.00,0.00,19.00,0.43,0.01,21.00,0.48,0.01,4.00,0.09,0.01,0.00,0.00,0.00,18.00,0.41,0.01,21.00,0.48,0.01,5.00,0.11,0.01,0.00,0.00,0.00,22.00,0.50,0.01,22.00,0.50,0.01,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.48,0.01,20.00,0.46,0.01,3.00,0.07,0.01,0.00,0.00,0.00,24.00,0.55,0.01,16.00,0.36,0.01,4.00,0.09,0.02,0.00,0.00,0.00,20.00,0.46,0.01,23.00,0.52,0.01,1.00,0.02,0.00,0.00,0.00,0.00,19.00,0.43,0.01,21.00,0.48,0.01,4.00,0.09,0.01,0.00,0.00,0.00
BAJA CALIFORNIA SUR,83.00,0.39,0.04,117.00,0.55,0.04,13.00,0.06,0.04,0.00,0.00,0.00,89.00,0.42,0.04,118.00,0.55,0.04,6.00,0.03,0.02,0.00,0.00,0.00,95.00,0.45,0.05,88.00,0.41,0.03,24.00,0.11,0.04,6.00,0.03,0.06,95.00,0.45,0.04,105.00,0.49,0.04,12.00,0.06,0.05,1.00,0.01,0.03,98.00,0.46,0.04,99.00,0.47,0.04,14.00,0.07,0.04,2.00,0.01,0.04,104.00,0.49,0.04,98.00,0.46,0.04,11.00,0.05,0.05,0.00,0.00,0.00,97.00,0.46,0.05,104.00,0.49,0.04,11.00,0.05,0.03,1.00,0.01,0.04,75.00,0.35,0.04,112.00,0.53,0.04,22.00,0.10,0.04,4.00,0.02,0.05
CAMPECHE,68.00,0.37,0.03,104.00,0.56,0.04,13.00,0.07,0.04,1.00,0.01,0.06,61.00,0.33,0.03,113.00,0.61,0.04,12.00,0.07,0.04,0.00,0.00,0.00,62.00,0.33,0.03,103.00,0.55,0.04,16.00,0.09,0.03,5.00,0.03,0.05,69.00,0.37,0.03,108.00,0.58,0.04,7.00,0.04,0.03,2.00,0.01,0.06,67.00,0.36,0.03,109.00,0.59,0.04,6.00,0.03,0.02,4.00,0.02,0.07,86.00,0.46,0.03,91.00,0.49,0.04,8.00,0.04,0.03,1.00,0.01,0.03,70.00,0.38,0.03,105.00,0.57,0.04,10.00,0.05,0.03,1.00,0.01,0.04,58.00,0.31,0.03,103.00,0.55,0.04,22.00,0.12,0.04,3.00,0.02,0.04
CHIAPAS,15.00,0.25,0.01,36.00,0.60,0.01,9.00,0.15,0.03,0.00,0.00,0.00,14.00,0.23,0.01,41.00,0.68,0.01,5.00,0.08,0.02,0.00,0.00,0.00,18.00,0.30,0.01,30.00,0.50,0.01,7.00,0.12,0.01,5.00,0.08,0.05,21.00,0.35,0.01,33.00,0.55,0.01,6.00,0.10,0.02,0.00,0.00,0.00,15.00,0.25,0.01,32.00,0.53,0.01,13.00,0.22,0.04,0.00,0.00,0.00,18.00,0.30,0.01,34.00,0.57,0.01,8.00,0.13,0.03,0.00,0.00,0.00,17.00,0.28,0.01,34.00,0.57,0.01,7.00,0.12,0.02,2.00,0.03,0.07,12.00,0.20,0.01,37.00,0.62,0.01,11.00,0.18,0.02,0.00,0.00,0.00
CHIHUAHUA,129.00,0.50,0.06,112.00,0.44,0.04,15.00,0.06,0.04,0.00,0.00,0.00,121.00,0.47,0.06,126.00,0.49,0.04,9.00,0.04,0.03,0.00,0.00,0.00,107.00,0.42,0.05,115.00,0.45,0.04,31.00,0.12,0.06,3.00,0.01,0.03,127.00,0.50,0.06,120.00,0.47,0.04,8.00,0.03,0.03,1.00,0.00,0.03,115.00,0.45,0.05,120.00,0.47,0.04,19.00,0.07,0.05,2.00,0.01,0.04,137.00,0.54,0.05,112.00,0.44,0.04,7.00,0.03,0.03,0.00,0.00,0.00,109.00,0.43,0.05,132.00,0.52,0.05,14.00,0.06,0.04,1.00,0.00,0.04,97.00,0.38,0.06,130.00,0.51,0.04,27.00,0.11,0.05,2.00,0.01,0.03
CIUDAD DE MÉXICO,72.00,0.30,0.04,149.00,0.62,0.05,20.00,0.08,0.06,0.00,0.00,0.00,70.00,0.29,0.04,150.00,0.62,0.05,18.00,0.08,0.06,3.00,0.01,0.18,95.00,0.39,0.05,109.00,0.45,0.04,33.00,0.14,0.06,4.00,0.02,0.04,91.00,0.38,0.04,130.00,0.54,0.05,19.00,0.08,0.07,1.00,0.00,0.03,99.00,0.41,0.05,118.00,0.49,0.04,24.00,0.10,0.07,0.00,0.00,0.00,103.00,0.43,0.04,115.00,0.48,0.05,21.00,0.09,0.09,2.00,0.01,0.05,88.00,0.37,0.04,130.00,0.54,0.05,22.00,0.09,0.07,1.00,0.00,0.04,68.00,0.28,0.04,138.00,0.57,0.05,30.00,0.12,0.05,5.00,0.02,0.06
COAHUILA,31.00,0.37,0.02,48.00,0.58,0.02,3.00,0.04,0.01,1.00,0.01,0.06,33.00,0.40,0.02,45.00,0.54,0.02,5.00,0.06,0.02,0.00,0.00,0.00,22.00,0.27,0.01,53.00,0.64,0.02,7.00,0.08,0.01,1.00,0.01,0.01,31.00,0.37,0.01,50.00,0.60,0.02,1.00,0.01,0.00,1.00,0.01,0.03,34.00,0.41,0.02,45.00,0.54,0.02,3.00,0.04,0.01,1.00,0.01,0.02,36.00,0.43,0.01,44.00,0.53,0.02,3.00,0.04,0.01,0.00,0.00,0.00,36.00,0.43,0.02,45.00,0.54,0.02,1.00,0.01,0.00,1.00,0.01,0.04,29.00,0.35,0.02,48.00,0.58,0.02,6.00,0.07,0.01,0.00,0.00,0.00
COLIMA,86.00,0.43,0.04,98.00,0.49,0.03,14.00,0.07,0.04,2.00,0.01,0.13,94.00,0.47,0.05,94.00,0.47,0.03,11.00,0.06,0.04,1.00,0.01,0.06,89.00,0.45,0.04,88.00,0.44,0.03,16.00,0.08,0.03,7.00,0.04,0.07,91.00,0.46,0.04,96.00,0.48,0.04,11.00,0.06,0.04,2.00,0.01,0.06,92.00,0.46,0.04,92.00,0.46,0.03,11.00,0.06,0.03,5.00,0.03,0.09,111.00,0.56,0.04,80.00,0.40,0.03,5.00,0.03,0.02,4.00,0.02,0.10,97.00,0.49,0.05,90.00,0.45,0.03,11.00,0.06,0.03,2.00,0.01,0.07,78.00,0.39,0.05,95.00,0.48,0.03,22.00,0.11,0.04,5.00,0.03,0.06
DURANGO,104.00,0.39,0.05,151.00,0.56,0.05,13.00,0.05,0.04,0.00,0.00,0.00,109.00,0.41,0.05,147.00,0.55,0.05,12.00,0.05,0.04,0.00,0.00,0.00,106.00,0.40,0.05,129.00,0.48,0.05,27.00,0.10,0.05,6.00,0.02,0.06,126.00,0.47,0.06,124.00,0.46,0.05,18.00,0.07,0.07,0.00,0.00,0.00,120.00,0.45,0.05,127.00,0.47,0.05,20.00,0.08,0.06,1.00,0.00,0.02,129.00,0.48,0.05,127.00,0.47,0.05,11.00,0.04,0.05,1.00,0.00,0.03,111.00,0.41,0.05,141.00,0.53,0.05,15.00,0.06,0.05,1.00,0.00,0.04,94.00,0.35,0.06,146.00,0.55,0.05,23.00,0.09,0.04,5.00,0.02,0.06
