Entidad,B2-A-Muy Adecuado-Recuento,B2-A-Muy Adecuado-% del N de fila,B2-A-Muy Adecuado-% de N columnas,B2-A-Adecuado-Recuento,B2-A-Adecuado-% del N de fila,B2-A-Adecuado-% de N columnas,B2-A-Poco Adecuado-Recuento,B2-A-Poco Adecuado-% del N de fila,B2-A-Poco Adecuado-% de N columnas,B2-A-Nada Adecuado-Recuento,B2-A-Nada Adecuado-% del N de fila,B2-A-Nada Adecuado-% de N columnas,B2-B-Muy Adecuado-Recuento,B2-B-Muy Adecuado-% del N de fila,B2-B-Muy Adecuado-% de N columnas,B2-B-Adecuado-Recuento,B2-B-Adecuado-% del N de fila,B2-B-Adecuado-% de N columnas,B2-B-Poco Adecuado-Recuento,B2-B-Poco Adecuado-% del N de fila,B2-B-Poco Adecuado-% de N columnas,B2-B-Nada Adecuado-Recuento,B2-B-Nada Adecuado-% del N de fila,B2-B-Nada Adecuado-% de N columnas,B2-C-Muy Adecuado-Recuento,B2-C-Muy Adecuado-% del N de fila,B2-C-Muy Adecuado-% de N columnas,B2-C-Adecuado-Recuento,B2-C-Adecuado-% del N de fila,B2-C-Adecuado-% de N columnas,B2-C-Poco Adecuado-Recuento,B2-C-Poco Adecuado-% del N de fila,B2-C-Poco Adecuado-% de N columnas,B2-C-Nada Adecuado-Recuento,B2-C-Nada Adecuado-% del N de fila,B2-C-Nada Adecuado-% de N columnas,B2-D-Muy Adecuado-Recuento,B2-D-Muy Adecuado-% del N de fila,B2-D-Muy Adecuado-% de N columnas,B2-D-Adecuado-Recuento,B2-D-Adecuado-% del N de fila,B2-D-Adecuado-% de N columnas,B2-D-Poco Adecuado-Recuento,B2-D-Poco Adecuado-% del N de fila,B2-D-Poco Adecuado-% de N columnas,B2-D-Nada Adecuado-Recuento,B2-D-Nada Adecuado-% del N de fila,B2-D-Nada Adecuado-% de N columnas
AGUASCALIENTES,76,0.26,0.051,163,0.558,0.058,49,0.168,0.055,4,0.014,0.033,80,0.274,0.052,176,0.603,0.058,34,0.116,0.049,2,0.007,0.031,72,0.247,0.053,163,0.558,0.055,53,0.182,0.061,4,0.014,0.037,44,0.151,0.05,158,0.541,0.056,75,0.257,0.058,15,0.051,0.044
BAJA CALIFORNIA,10,0.227,0.007,26,0.591,0.009,7,0.159,0.008,1,0.023,0.008,14,0.318,0.009,21,0.477,0.007,9,0.205,0.013,0,0,0,7,0.159,0.005,28,0.636,0.009,7,0.159,0.008,2,0.045,0.019,7,0.159,0.008,20,0.455,0.007,14,0.318,0.011,3,0.068,0.009
BAJA CALIFORNIA SUR,59,0.277,0.039,117,0.549,0.041,33,0.155,0.037,4,0.019,0.033,61,0.286,0.04,114,0.535,0.038,37,0.174,0.053,1,0.005,0.015,59,0.277,0.043,121,0.568,0.04,31,0.146,0.036,2,0.009,0.019,43,0.202,0.049,110,0.516,0.039,48,0.225,0.037,12,0.056,0.036
CAMPECHE,47,0.253,0.031,102,0.548,0.036,30,0.161,0.034,7,0.038,0.058,53,0.285,0.035,100,0.538,0.033,30,0.161,0.043,3,0.016,0.046,46,0.247,0.034,100,0.538,0.033,37,0.199,0.042,3,0.016,0.028,35,0.188,0.04,94,0.505,0.033,50,0.269,0.038,7,0.038,0.021
CHIAPAS,7,0.117,0.005,33,0.55,0.012,19,0.317,0.021,1,0.017,0.008,8,0.133,0.005,39,0.65,0.013,13,0.217,0.019,0,0,0,10,0.167,0.007,34,0.567,0.011,15,0.25,0.017,1,0.017,0.009,4,0.067,0.005,28,0.467,0.01,24,0.4,0.018,4,0.067,0.012
CHIHUAHUA,77,0.301,0.052,136,0.531,0.048,36,0.141,0.04,7,0.027,0.058,96,0.375,0.063,133,0.52,0.044,26,0.102,0.037,1,0.004,0.015,67,0.262,0.049,138,0.539,0.046,41,0.16,0.047,10,0.039,0.093,38,0.148,0.043,127,0.496,0.045,69,0.27,0.053,22,0.086,0.065
CIUDAD DE MÉXICO,42,0.174,0.028,125,0.519,0.044,66,0.274,0.074,8,0.033,0.066,47,0.195,0.031,139,0.577,0.046,50,0.207,0.071,5,0.021,0.077,45,0.187,0.033,130,0.539,0.043,57,0.237,0.065,9,0.037,0.083,22,0.091,0.025,106,0.44,0.038,84,0.349,0.064,29,0.12,0.086
COAHUILA,27,0.325,0.018,42,0.506,0.015,14,0.169,0.016,0,0,0,24,0.289,0.016,52,0.627,0.017,7,0.084,0.01,0,0,0,21,0.253,0.015,52,0.627,0.017,10,0.12,0.011,0,0,0,15,0.181,0.017,47,0.566,0.017,15,0.181,0.012,6,0.072,0.018
COLIMA,68,0.34,0.046,97,0.485,0.034,31,0.155,0.035,4,0.02,0.033,68,0.34,0.044,103,0.515,0.034,24,0.12,0.034,5,0.025,0.077,71,0.355,0.052,100,0.5,0.033,24,0.12,0.028,5,0.025,0.046,49,0.245,0.056,102,0.51,0.036,41,0.205,0.031,8,0.04,0.024
DURANGO,79,0.295,0.053,156,0.582,0.055,27,0.101,0.03,6,0.022,0.05,88,0.328,0.057,152,0.567,0.05,26,0.097,0.037,2,0.007,0.031,68,0.254,0.05,158,0.59,0.053,37,0.138,0.042,5,0.019,0.046,50,0.187,0.057,149,0.556,0.053,57,0.213,0.044,12,0.045,0.036
