Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas
AGUASCALIENTES,177.00,0.61,0.05,115.00,0.39,0.06,197.00,0.68,0.06,95.00,0.33,0.05,216.00,0.74,0.06,76.00,0.26,0.05,229.00,0.78,0.05,63.00,0.22,0.06,229.00,0.78,0.06,63.00,0.22,0.05,226.00,0.77,0.06,66.00,0.23,0.05,222.00,0.76,0.05,70.00,0.24,0.06
BAJA CALIFORNIA,25.00,0.58,0.01,18.00,0.42,0.01,29.00,0.67,0.01,14.00,0.33,0.01,26.00,0.61,0.01,17.00,0.40,0.01,38.00,0.88,0.01,5.00,0.12,0.01,32.00,0.74,0.01,11.00,0.26,0.01,31.00,0.72,0.01,12.00,0.28,0.01,30.00,0.70,0.01,13.00,0.30,0.01
BAJA CALIFORNIA SUR,104.00,0.50,0.03,106.00,0.51,0.05,109.00,0.52,0.03,101.00,0.48,0.06,135.00,0.64,0.04,75.00,0.36,0.05,158.00,0.75,0.04,52.00,0.25,0.05,150.00,0.71,0.04,60.00,0.29,0.05,132.00,0.63,0.03,78.00,0.37,0.06,146.00,0.70,0.04,64.00,0.31,0.05
CAMPECHE,126.00,0.67,0.04,63.00,0.33,0.03,130.00,0.69,0.04,59.00,0.31,0.03,145.00,0.77,0.04,44.00,0.23,0.03,147.00,0.78,0.03,42.00,0.22,0.04,156.00,0.83,0.04,33.00,0.18,0.03,149.00,0.79,0.04,40.00,0.21,0.03,153.00,0.81,0.04,36.00,0.19,0.03
CHIAPAS,38.00,0.63,0.01,22.00,0.37,0.01,38.00,0.63,0.01,22.00,0.37,0.01,43.00,0.72,0.01,17.00,0.28,0.01,46.00,0.77,0.01,14.00,0.23,0.01,45.00,0.75,0.01,15.00,0.25,0.01,46.00,0.77,0.01,14.00,0.23,0.01,51.00,0.85,0.01,9.00,0.15,0.01
CHIHUAHUA,130.00,0.51,0.04,126.00,0.49,0.06,151.00,0.59,0.04,105.00,0.41,0.06,156.00,0.61,0.04,100.00,0.39,0.07,204.00,0.80,0.05,52.00,0.20,0.05,185.00,0.72,0.04,71.00,0.28,0.06,183.00,0.72,0.05,73.00,0.29,0.06,187.00,0.73,0.05,69.00,0.27,0.06
CIUDAD DE MÉXICO,142.00,0.59,0.04,99.00,0.41,0.05,156.00,0.65,0.04,85.00,0.35,0.05,179.00,0.74,0.05,62.00,0.26,0.04,201.00,0.83,0.05,40.00,0.17,0.04,184.00,0.76,0.04,57.00,0.24,0.05,174.00,0.72,0.04,67.00,0.28,0.05,168.00,0.70,0.04,73.00,0.30,0.06
COAHUILA,54.00,0.65,0.02,29.00,0.35,0.01,55.00,0.66,0.02,28.00,0.34,0.02,55.00,0.66,0.01,28.00,0.34,0.02,66.00,0.80,0.02,17.00,0.21,0.02,63.00,0.76,0.02,20.00,0.24,0.02,60.00,0.72,0.02,23.00,0.28,0.02,63.00,0.76,0.02,20.00,0.24,0.02
COLIMA,123.00,0.62,0.04,75.00,0.38,0.04,132.00,0.67,0.04,66.00,0.33,0.04,147.00,0.74,0.04,51.00,0.26,0.03,163.00,0.82,0.04,35.00,0.18,0.04,157.00,0.79,0.04,41.00,0.21,0.04,149.00,0.75,0.04,49.00,0.25,0.04,163.00,0.82,0.04,35.00,0.18,0.03
DURANGO,166.00,0.62,0.05,102.00,0.38,0.05,182.00,0.68,0.05,86.00,0.32,0.05,183.00,0.68,0.05,85.00,0.32,0.06,229.00,0.85,0.05,39.00,0.15,0.04,217.00,0.81,0.05,51.00,0.19,0.04,222.00,0.83,0.06,46.00,0.17,0.04,214.00,0.80,0.05,54.00,0.20,0.04
ESTADO DE MÉXICO,125.00,0.68,0.04,59.00,0.32,0.03,140.00,0.76,0.04,44.00,0.24,0.03,135.00,0.73,0.04,49.00,0.27,0.03,164.00,0.89,0.04,20.00,0.11,0.02,152.00,0.83,0.04,32.00,0.17,0.03,155.00,0.84,0.04,29.00,0.16,0.02,154.00,0.84,0.04,30.00,0.16,0.02
GUANAJUATO,158.00,0.62,0.05,97.00,0.38,0.05,162.00,0.64,0.05,93.00,0.37,0.05,178.00,0.70,0.05,77.00,0.30,0.05,219.00,0.86,0.05,36.00,0.14,0.04,200.00,0.78,0.05,55.00,0.22,0.05,189.00,0.74,0.05,66.00,0.26,0.05,188.00,0.74,0.05,67.00,0.26,0.05
GUERRERO,15.00,0.83,0.01,3.00,0.17,0.00,14.00,0.78,0.00,4.00,0.22,0.00,17.00,0.94,0.00,1.00,0.06,0.00,18.00,1.00,0.00,0.00,0.00,0.00,16.00,0.89,0.00,2.00,0.11,0.00,17.00,0.94,0.00,1.00,0.06,0.00,17.00,0.94,0.00,1.00,0.06,0.00
HIDALGO,106.00,0.61,0.03,69.00,0.39,0.03,118.00,0.67,0.03,57.00,0.33,0.03,124.00,0.71,0.03,51.00,0.29,0.03,140.00,0.80,0.03,35.00,0.20,0.04,135.00,0.77,0.03,40.00,0.23,0.03,141.00,0.81,0.04,34.00,0.19,0.03,139.00,0.79,0.03,36.00,0.21,0.03
JALISCO,114.00,0.63,0.03,68.00,0.37,0.03,118.00,0.65,0.03,64.00,0.35,0.04,129.00,0.71,0.03,53.00,0.29,0.03,139.00,0.76,0.03,43.00,0.24,0.04,136.00,0.75,0.03,46.00,0.25,0.04,129.00,0.71,0.03,53.00,0.29,0.04,137.00,0.75,0.03,45.00,0.25,0.04
MICHOACÁN,31.00,0.67,0.01,15.00,0.33,0.01,36.00,0.78,0.01,10.00,0.22,0.01,37.00,0.80,0.01,9.00,0.20,0.01,40.00,0.87,0.01,6.00,0.13,0.01,38.00,0.83,0.01,8.00,0.17,0.01,35.00,0.76,0.01,11.00,0.24,0.01,34.00,0.74,0.01,12.00,0.26,0.01
MORELOS,103.00,0.62,0.03,63.00,0.38,0.03,109.00,0.66,0.03,57.00,0.34,0.03,120.00,0.72,0.03,46.00,0.28,0.03,131.00,0.79,0.03,35.00,0.21,0.04,131.00,0.79,0.03,35.00,0.21,0.03,128.00,0.77,0.03,38.00,0.23,0.03,119.00,0.72,0.03,47.00,0.28,0.04
NAYARIT,113.00,0.60,0.03,76.00,0.40,0.04,117.00,0.62,0.03,72.00,0.38,0.04,133.00,0.70,0.04,56.00,0.30,0.04,151.00,0.80,0.04,38.00,0.20,0.04,144.00,0.76,0.04,45.00,0.24,0.04,140.00,0.74,0.04,49.00,0.26,0.04,133.00,0.70,0.03,56.00,0.30,0.05
NUEVO LEÓN,20.00,0.61,0.01,13.00,0.39,0.01,23.00,0.70,0.01,10.00,0.30,0.01,22.00,0.67,0.01,11.00,0.33,0.01,28.00,0.85,0.01,5.00,0.15,0.01,25.00,0.76,0.01,8.00,0.24,0.01,22.00,0.67,0.01,11.00,0.33,0.01,28.00,0.85,0.01,5.00,0.15,0.00
