Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-J-Sí-Recuento,B4-J-Sí-% del N de fila,B4-J-Sí-% de N columnas,B4-J-No-Recuento,B4-J-No-% del N de fila,B4-J-No-% de N columnas
AGUASCALIENTES,265.00,0.91,0.06,27.00,0.09,0.05,240.00,0.82,0.05,52.00,0.18,0.06,238.00,0.82,0.06,54.00,0.19,0.05,210.00,0.72,0.06,82.00,0.28,0.05,281.00,0.96,0.06,11.00,0.04,0.04,279.00,0.96,0.06,13.00,0.05,0.05,248.00,0.85,0.06,44.00,0.15,0.04,220.00,0.75,0.06,72.00,0.25,0.04,260.00,0.89,0.06,32.00,0.11,0.05,,,,,,
BAJA CALIFORNIA,41.00,0.95,0.01,2.00,0.05,0.00,35.00,0.81,0.01,8.00,0.19,0.01,30.00,0.70,0.01,13.00,0.30,0.01,30.00,0.70,0.01,13.00,0.30,0.01,43.00,1.00,0.01,0.00,0.00,0.00,40.00,0.93,0.01,3.00,0.07,0.01,28.00,0.65,0.01,15.00,0.35,0.01,28.00,0.65,0.01,15.00,0.35,0.01,37.00,0.86,0.01,6.00,0.14,0.01,,,,,,
BAJA CALIFORNIA SUR,181.00,0.86,0.04,29.00,0.14,0.05,176.00,0.84,0.04,34.00,0.16,0.04,174.00,0.83,0.04,36.00,0.17,0.04,136.00,0.65,0.04,74.00,0.35,0.05,200.00,0.95,0.04,10.00,0.05,0.03,196.00,0.93,0.04,14.00,0.07,0.05,180.00,0.86,0.04,30.00,0.14,0.03,130.00,0.62,0.04,80.00,0.38,0.05,183.00,0.87,0.04,27.00,0.13,0.04,,,,,,
CAMPECHE,166.00,0.88,0.04,23.00,0.12,0.04,159.00,0.84,0.04,30.00,0.16,0.03,154.00,0.82,0.04,35.00,0.19,0.03,137.00,0.73,0.04,52.00,0.28,0.03,175.00,0.93,0.04,14.00,0.07,0.05,181.00,0.96,0.04,8.00,0.04,0.03,139.00,0.74,0.03,50.00,0.27,0.04,123.00,0.65,0.03,66.00,0.35,0.04,165.00,0.87,0.04,24.00,0.13,0.04,,,,,,
CHIAPAS,44.00,0.73,0.01,16.00,0.27,0.03,39.00,0.65,0.01,21.00,0.35,0.02,44.00,0.73,0.01,16.00,0.27,0.02,36.00,0.60,0.01,24.00,0.40,0.02,49.00,0.82,0.01,11.00,0.18,0.04,55.00,0.92,0.01,5.00,0.08,0.02,38.00,0.63,0.01,22.00,0.37,0.02,39.00,0.65,0.01,21.00,0.35,0.01,43.00,0.72,0.01,17.00,0.28,0.03,,,,,,
CHIHUAHUA,228.00,0.89,0.05,28.00,0.11,0.05,202.00,0.79,0.05,54.00,0.21,0.06,196.00,0.77,0.05,60.00,0.23,0.06,190.00,0.74,0.05,66.00,0.26,0.04,245.00,0.96,0.05,11.00,0.04,0.04,249.00,0.97,0.05,7.00,0.03,0.02,208.00,0.81,0.05,48.00,0.19,0.04,180.00,0.70,0.05,76.00,0.30,0.04,230.00,0.90,0.05,26.00,0.10,0.04,,,,,,
CIUDAD DE MÉXICO,221.00,0.92,0.05,20.00,0.08,0.03,202.00,0.84,0.05,39.00,0.16,0.04,197.00,0.82,0.05,44.00,0.18,0.04,154.00,0.64,0.04,87.00,0.36,0.05,222.00,0.92,0.04,19.00,0.08,0.06,230.00,0.95,0.05,11.00,0.05,0.04,178.00,0.74,0.04,63.00,0.26,0.06,151.00,0.63,0.04,90.00,0.37,0.05,204.00,0.85,0.04,37.00,0.15,0.06,,,,,,
COAHUILA,73.00,0.88,0.02,10.00,0.12,0.02,73.00,0.88,0.02,10.00,0.12,0.01,71.00,0.86,0.02,12.00,0.15,0.01,65.00,0.78,0.02,18.00,0.22,0.01,77.00,0.93,0.02,6.00,0.07,0.02,78.00,0.94,0.02,5.00,0.06,0.02,69.00,0.83,0.02,14.00,0.17,0.01,63.00,0.76,0.02,20.00,0.24,0.01,69.00,0.83,0.02,14.00,0.17,0.02,,,,,,
COLIMA,169.00,0.85,0.04,29.00,0.15,0.05,157.00,0.79,0.04,41.00,0.21,0.05,151.00,0.76,0.04,47.00,0.24,0.05,140.00,0.71,0.04,58.00,0.29,0.04,190.00,0.96,0.04,8.00,0.04,0.03,187.00,0.94,0.04,11.00,0.06,0.04,160.00,0.81,0.04,38.00,0.19,0.03,147.00,0.74,0.04,51.00,0.26,0.03,177.00,0.89,0.04,21.00,0.11,0.03,,,,,,
DURANGO,222.00,0.83,0.05,46.00,0.17,0.08,211.00,0.79,0.05,57.00,0.21,0.06,200.00,0.75,0.05,68.00,0.25,0.07,183.00,0.68,0.05,85.00,0.32,0.05,252.00,0.94,0.05,16.00,0.06,0.05,248.00,0.93,0.05,20.00,0.08,0.07,204.00,0.76,0.05,64.00,0.24,0.06,172.00,0.64,0.05,96.00,0.36,0.06,245.00,0.91,0.05,23.00,0.09,0.04,,,,,,
ESTADO DE MÉXICO,165.00,0.90,0.04,19.00,0.10,0.03,170.00,0.92,0.04,14.00,0.08,0.02,162.00,0.88,0.04,22.00,0.12,0.02,147.00,0.80,0.04,37.00,0.20,0.02,179.00,0.97,0.04,5.00,0.03,0.02,180.00,0.98,0.04,4.00,0.02,0.01,149.00,0.81,0.04,35.00,0.19,0.03,127.00,0.69,0.04,57.00,0.31,0.03,164.00,0.89,0.04,20.00,0.11,0.03,,,,,,
GUANAJUATO,223.00,0.88,0.05,32.00,0.13,0.05,217.00,0.85,0.05,38.00,0.15,0.04,215.00,0.84,0.05,40.00,0.16,0.04,173.00,0.68,0.05,82.00,0.32,0.05,244.00,0.96,0.05,11.00,0.04,0.04,244.00,0.96,0.05,11.00,0.04,0.04,194.00,0.76,0.05,61.00,0.24,0.05,171.00,0.67,0.05,84.00,0.33,0.05,225.00,0.88,0.05,30.00,0.12,0.05,,,,,,
GUERRERO,18.00,1.00,0.00,0.00,0.00,0.00,17.00,0.94,0.00,1.00,0.06,0.00,15.00,0.83,0.00,3.00,0.17,0.00,16.00,0.89,0.00,2.00,0.11,0.00,17.00,0.94,0.00,1.00,0.06,0.00,17.00,0.94,0.00,1.00,0.06,0.00,15.00,0.83,0.00,3.00,0.17,0.00,16.00,0.89,0.00,2.00,0.11,0.00,17.00,0.94,0.00,1.00,0.06,0.00,,,,,,
HIDALGO,157.00,0.90,0.03,18.00,0.10,0.03,154.00,0.88,0.04,21.00,0.12,0.02,148.00,0.85,0.03,27.00,0.15,0.03,127.00,0.73,0.03,48.00,0.27,0.03,163.00,0.93,0.03,12.00,0.07,0.04,161.00,0.92,0.03,14.00,0.08,0.05,134.00,0.77,0.03,41.00,0.23,0.04,119.00,0.68,0.03,56.00,0.32,0.03,152.00,0.87,0.03,23.00,0.13,0.04,,,,,,
JALISCO,169.00,0.93,0.04,13.00,0.07,0.02,150.00,0.82,0.03,32.00,0.18,0.04,144.00,0.79,0.03,38.00,0.21,0.04,117.00,0.64,0.03,65.00,0.36,0.04,171.00,0.94,0.03,11.00,0.06,0.04,173.00,0.95,0.03,9.00,0.05,0.03,146.00,0.80,0.04,36.00,0.20,0.03,116.00,0.64,0.03,66.00,0.36,0.04,172.00,0.95,0.04,10.00,0.06,0.02,,,,,,
MICHOACÁN,43.00,0.94,0.01,3.00,0.07,0.01,40.00,0.87,0.01,6.00,0.13,0.01,40.00,0.87,0.01,6.00,0.13,0.01,31.00,0.67,0.01,15.00,0.33,0.01,44.00,0.96,0.01,2.00,0.04,0.01,45.00,0.98,0.01,1.00,0.02,0.00,36.00,0.78,0.01,10.00,0.22,0.01,31.00,0.67,0.01,15.00,0.33,0.01,37.00,0.80,0.01,9.00,0.20,0.01,,,,,,
MORELOS,151.00,0.91,0.03,15.00,0.09,0.03,147.00,0.89,0.03,19.00,0.11,0.02,140.00,0.84,0.03,26.00,0.16,0.03,134.00,0.81,0.04,32.00,0.19,0.02,160.00,0.96,0.03,6.00,0.04,0.02,159.00,0.96,0.03,7.00,0.04,0.02,135.00,0.81,0.03,31.00,0.19,0.03,120.00,0.72,0.03,46.00,0.28,0.03,151.00,0.91,0.03,15.00,0.09,0.02,,,,,,
NAYARIT,163.00,0.86,0.03,26.00,0.14,0.04,157.00,0.83,0.04,32.00,0.17,0.04,153.00,0.81,0.04,36.00,0.19,0.04,120.00,0.64,0.03,69.00,0.37,0.04,179.00,0.95,0.04,10.00,0.05,0.03,184.00,0.97,0.04,5.00,0.03,0.02,140.00,0.74,0.03,49.00,0.26,0.04,121.00,0.64,0.03,68.00,0.36,0.04,170.00,0.90,0.04,19.00,0.10,0.03,,,,,,
NUEVO LEÓN,31.00,0.94,0.01,2.00,0.06,0.00,25.00,0.76,0.01,8.00,0.24,0.01,26.00,0.79,0.01,7.00,0.21,0.01,27.00,0.82,0.01,6.00,0.18,0.00,32.00,0.97,0.01,1.00,0.03,0.00,31.00,0.94,0.01,2.00,0.06,0.01,30.00,0.91,0.01,3.00,0.09,0.00,22.00,0.67,0.01,11.00,0.33,0.01,30.00,0.91,0.01,3.00,0.09,0.01,,,,,,
PUEBLA,181.00,0.95,0.04,10.00,0.05,0.02,180.00,0.94,0.04,11.00,0.06,0.01,170.00,0.89,0.04,21.00,0.11,0.02,152.00,0.80,0.04,39.00,0.20,0.02,181.00,0.95,0.04,10.00,0.05,0.03,184.00,0.96,0.04,7.00,0.04,0.02,148.00,0.78,0.04,43.00,0.23,0.04,116.00,0.61,0.03,75.00,0.39,0.04,171.00,0.90,0.04,20.00,0.11,0.03,,,,,,
