Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas
AGUASCALIENTES,265.00,0.90,0.05,28.00,0.10,0.06,244.00,0.83,0.06,49.00,0.17,0.04,194.00,0.66,0.05,99.00,0.34,0.06,279.00,0.95,0.06,14.00,0.05,0.03,245.00,0.84,0.07,48.00,0.16,0.03,198.00,0.68,0.07,95.00,0.32,0.04
BAJA CALIFORNIA,42.00,0.98,0.01,1.00,0.02,0.00,35.00,0.81,0.01,8.00,0.19,0.01,23.00,0.54,0.01,20.00,0.47,0.01,39.00,0.91,0.01,4.00,0.09,0.01,39.00,0.91,0.01,4.00,0.09,0.00,34.00,0.79,0.01,9.00,0.21,0.00
BAJA CALIFORNIA SUR,204.00,0.96,0.04,8.00,0.04,0.02,146.00,0.69,0.04,66.00,0.31,0.05,131.00,0.62,0.04,81.00,0.38,0.05,199.00,0.94,0.04,13.00,0.06,0.03,179.00,0.84,0.05,33.00,0.16,0.02,126.00,0.59,0.05,86.00,0.41,0.03
CAMPECHE,171.00,0.91,0.04,17.00,0.09,0.04,142.00,0.76,0.04,46.00,0.25,0.04,136.00,0.72,0.04,52.00,0.28,0.03,167.00,0.89,0.03,21.00,0.11,0.05,108.00,0.57,0.03,80.00,0.43,0.05,76.00,0.40,0.03,112.00,0.60,0.04
CHIAPAS,53.00,0.87,0.01,8.00,0.13,0.02,30.00,0.49,0.01,31.00,0.51,0.02,42.00,0.69,0.01,19.00,0.31,0.01,51.00,0.84,0.01,10.00,0.16,0.03,18.00,0.30,0.01,43.00,0.71,0.03,9.00,0.15,0.00,52.00,0.85,0.02
CHIHUAHUA,245.00,0.96,0.05,11.00,0.04,0.02,204.00,0.80,0.05,52.00,0.20,0.04,206.00,0.81,0.06,50.00,0.20,0.03,237.00,0.93,0.05,19.00,0.07,0.05,199.00,0.78,0.05,57.00,0.22,0.04,146.00,0.57,0.05,110.00,0.43,0.04
CIUDAD DE MÉXICO,205.00,0.85,0.04,36.00,0.15,0.08,170.00,0.71,0.04,71.00,0.30,0.06,136.00,0.56,0.04,105.00,0.44,0.06,230.00,0.95,0.05,11.00,0.05,0.03,164.00,0.68,0.04,77.00,0.32,0.05,105.00,0.44,0.04,136.00,0.56,0.05
COAHUILA,81.00,0.98,0.02,2.00,0.02,0.00,67.00,0.81,0.02,16.00,0.19,0.01,58.00,0.70,0.02,25.00,0.30,0.01,79.00,0.95,0.02,4.00,0.05,0.01,71.00,0.86,0.02,12.00,0.15,0.01,53.00,0.64,0.02,30.00,0.36,0.01
COLIMA,187.00,0.94,0.04,12.00,0.06,0.03,168.00,0.84,0.04,31.00,0.16,0.02,107.00,0.54,0.03,92.00,0.46,0.05,188.00,0.95,0.04,11.00,0.06,0.03,106.00,0.53,0.03,93.00,0.47,0.06,93.00,0.47,0.03,106.00,0.53,0.04
DURANGO,238.00,0.89,0.05,30.00,0.11,0.06,204.00,0.76,0.05,64.00,0.24,0.05,171.00,0.64,0.05,97.00,0.36,0.06,239.00,0.89,0.05,29.00,0.11,0.07,156.00,0.58,0.04,112.00,0.42,0.07,124.00,0.46,0.05,144.00,0.54,0.06
ESTADO DE MÉXICO,167.00,0.91,0.03,17.00,0.09,0.04,119.00,0.65,0.03,65.00,0.35,0.05,110.00,0.60,0.03,74.00,0.40,0.04,168.00,0.91,0.03,16.00,0.09,0.04,106.00,0.58,0.03,78.00,0.42,0.05,76.00,0.41,0.03,108.00,0.59,0.04
