Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
AGUASCALIENTES,287.000,0.980,0.054,6.000,0.020,0.118,0.000,0.000,0.000,282.000,0.962,0.054,9.000,0.031,0.125,2.000,0.007,0.050,280.000,0.956,0.057,11.000,0.038,0.035,2.000,0.007,0.024,200.000,0.683,0.059,26.000,0.089,0.047,67.000,0.229,0.049,260.000,0.887,0.057,17.000,0.058,0.052,16.000,0.055,0.033,244.000,0.833,0.056,39.000,0.133,0.054,10.000,0.034,0.034,208.000,0.710,0.055,53.000,0.181,0.052,32.000,0.109,0.056,207.000,0.706,0.056,50.000,0.171,0.047,36.000,0.123,0.063,193.000,0.659,0.055,55.000,0.188,0.052,45.000,0.154,0.059
BAJA CALIFORNIA,41.000,0.976,0.008,0.000,0.000,0.000,1.000,0.024,0.083,41.000,0.976,0.008,0.000,0.000,0.000,1.000,0.024,0.025,40.000,0.952,0.008,0.000,0.000,0.000,2.000,0.048,0.024,25.000,0.595,0.007,2.000,0.048,0.004,15.000,0.357,0.011,39.000,0.929,0.009,1.000,0.024,0.003,2.000,0.048,0.004,34.000,0.810,0.008,4.000,0.095,0.006,4.000,0.095,0.013,30.000,0.714,0.008,6.000,0.143,0.006,6.000,0.143,0.011,29.000,0.690,0.008,7.000,0.167,0.007,6.000,0.143,0.011,24.000,0.571,0.007,9.000,0.214,0.008,9.000,0.214,0.012
BAJA CALIFORNIA SUR,214.000,1.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,212.000,0.991,0.040,1.000,0.005,0.014,1.000,0.005,0.025,202.000,0.944,0.041,10.000,0.047,0.032,2.000,0.009,0.024,157.000,0.734,0.046,12.000,0.056,0.022,45.000,0.210,0.033,181.000,0.846,0.040,8.000,0.037,0.024,25.000,0.117,0.052,185.000,0.864,0.043,21.000,0.098,0.029,8.000,0.037,0.027,161.000,0.752,0.043,40.000,0.187,0.039,13.000,0.061,0.023,164.000,0.766,0.044,35.000,0.164,0.033,15.000,0.070,0.026,155.000,0.724,0.044,38.000,0.178,0.036,21.000,0.098,0.028
CAMPECHE,186.000,0.995,0.035,0.000,0.000,0.000,1.000,0.005,0.083,183.000,0.979,0.035,1.000,0.005,0.014,3.000,0.016,0.075,174.000,0.930,0.035,9.000,0.048,0.028,4.000,0.021,0.048,123.000,0.658,0.036,25.000,0.134,0.045,39.000,0.209,0.028,138.000,0.738,0.030,25.000,0.134,0.076,24.000,0.128,0.050,158.000,0.845,0.036,22.000,0.118,0.031,7.000,0.037,0.024,122.000,0.652,0.032,41.000,0.219,0.040,24.000,0.128,0.042,117.000,0.626,0.031,43.000,0.230,0.040,27.000,0.144,0.047,113.000,0.604,0.032,43.000,0.230,0.040,31.000,0.166,0.041
CHIAPAS,61.000,0.984,0.012,1.000,0.016,0.020,0.000,0.000,0.000,57.000,0.919,0.011,5.000,0.081,0.069,0.000,0.000,0.000,53.000,0.855,0.011,8.000,0.129,0.025,1.000,0.016,0.012,32.000,0.525,0.009,11.000,0.180,0.020,18.000,0.295,0.013,47.000,0.758,0.010,8.000,0.129,0.024,7.000,0.113,0.014,47.000,0.758,0.011,9.000,0.145,0.013,6.000,0.097,0.020,48.000,0.787,0.013,8.000,0.131,0.008,5.000,0.082,0.009,36.000,0.590,0.010,17.000,0.279,0.016,8.000,0.131,0.014,37.000,0.607,0.010,19.000,0.311,0.018,5.000,0.082,0.007
CHIHUAHUA,254.000,0.992,0.048,1.000,0.004,0.020,1.000,0.004,0.083,248.000,0.969,0.047,1.000,0.004,0.014,7.000,0.027,0.175,240.000,0.938,0.048,11.000,0.043,0.035,5.000,0.020,0.060,161.000,0.629,0.047,14.000,0.055,0.025,81.000,0.316,0.059,229.000,0.895,0.050,14.000,0.055,0.043,13.000,0.051,0.027,218.000,0.852,0.050,25.000,0.098,0.035,13.000,0.051,0.044,190.000,0.742,0.051,44.000,0.172,0.043,22.000,0.086,0.039,189.000,0.738,0.051,43.000,0.168,0.040,24.000,0.094,0.042,178.000,0.695,0.050,44.000,0.172,0.041,34.000,0.133,0.045
CIUDAD DE MÉXICO,236.000,0.992,0.045,1.000,0.004,0.020,1.000,0.004,0.083,238.000,1.000,0.045,0.000,0.000,0.000,0.000,0.000,0.000,227.000,0.954,0.046,8.000,0.034,0.025,3.000,0.013,0.036,218.000,0.916,0.064,6.000,0.025,0.011,14.000,0.059,0.010,201.000,0.845,0.044,5.000,0.021,0.015,32.000,0.134,0.066,196.000,0.824,0.045,33.000,0.139,0.046,9.000,0.038,0.030,157.000,0.660,0.042,34.000,0.143,0.033,47.000,0.197,0.082,173.000,0.727,0.047,34.000,0.143,0.032,31.000,0.130,0.054,157.000,0.660,0.044,33.000,0.139,0.031,48.000,0.202,0.063
COAHUILA,83.000,1.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,80.000,0.964,0.015,2.000,0.024,0.028,1.000,0.012,0.025,71.000,0.855,0.014,10.000,0.120,0.032,2.000,0.024,0.024,58.000,0.699,0.017,5.000,0.060,0.009,20.000,0.241,0.014,75.000,0.904,0.017,5.000,0.060,0.015,3.000,0.036,0.006,67.000,0.807,0.015,12.000,0.145,0.017,4.000,0.048,0.013,54.000,0.651,0.014,23.000,0.277,0.022,6.000,0.072,0.011,53.000,0.639,0.014,20.000,0.241,0.019,10.000,0.120,0.018,49.000,0.590,0.014,21.000,0.253,0.020,13.000,0.157,0.017
COLIMA,197.000,0.995,0.037,1.000,0.005,0.020,0.000,0.000,0.000,197.000,0.995,0.038,1.000,0.005,0.014,0.000,0.000,0.000,190.000,0.960,0.038,7.000,0.035,0.022,1.000,0.005,0.012,153.000,0.773,0.045,15.000,0.076,0.027,30.000,0.152,0.022,187.000,0.944,0.041,8.000,0.040,0.024,3.000,0.015,0.006,164.000,0.828,0.038,22.000,0.111,0.031,12.000,0.061,0.040,150.000,0.758,0.040,31.000,0.157,0.030,17.000,0.086,0.030,152.000,0.768,0.041,27.000,0.136,0.025,19.000,0.096,0.033,139.000,0.702,0.039,32.000,0.162,0.030,27.000,0.136,0.036
DURANGO,265.000,0.989,0.050,3.000,0.011,0.059,0.000,0.000,0.000,266.000,0.993,0.051,2.000,0.007,0.028,0.000,0.000,0.000,242.000,0.903,0.049,25.000,0.093,0.079,1.000,0.004,0.012,197.000,0.735,0.058,29.000,0.108,0.052,42.000,0.157,0.030,223.000,0.832,0.049,24.000,0.090,0.073,21.000,0.078,0.043,230.000,0.858,0.053,28.000,0.104,0.039,10.000,0.037,0.034,190.000,0.709,0.051,51.000,0.190,0.050,27.000,0.101,0.047,181.000,0.675,0.049,56.000,0.209,0.053,31.000,0.116,0.054,175.000,0.653,0.050,56.000,0.209,0.053,37.000,0.138,0.049
