Entidad,B4-A-Muy difícil-Recuento,B4-A-Muy difícil-% del N de fila,B4-A-Muy difícil-% de N columnas,B4-A-Difícil-Recuento,B4-A-Difícil-% del N de fila,B4-A-Difícil-% de N columnas,B4-A-Poco difícil-Recuento,B4-A-Poco difícil-% del N de fila,B4-A-Poco difícil-% de N columnas,B4-A-Nada difícil-Recuento,B4-A-Nada difícil-% del N de fila,B4-A-Nada difícil-% de N columnas,B4-B-Muy difícil-Recuento,B4-B-Muy difícil-% del N de fila,B4-B-Muy difícil-% de N columnas,B4-B-Difícil-Recuento,B4-B-Difícil-% del N de fila,B4-B-Difícil-% de N columnas,B4-B-Poco difícil-Recuento,B4-B-Poco difícil-% del N de fila,B4-B-Poco difícil-% de N columnas,B4-B-Nada difícil-Recuento,B4-B-Nada difícil-% del N de fila,B4-B-Nada difícil-% de N columnas,B4-C-Muy difícil-Recuento,B4-C-Muy difícil-% del N de fila,B4-C-Muy difícil-% de N columnas,B4-C-Difícil-Recuento,B4-C-Difícil-% del N de fila,B4-C-Difícil-% de N columnas,B4-C-Poco difícil-Recuento,B4-C-Poco difícil-% del N de fila,B4-C-Poco difícil-% de N columnas,B4-C-Nada difícil-Recuento,B4-C-Nada difícil-% del N de fila,B4-C-Nada difícil-% de N columnas,B4-D-Muy difícil-Recuento,B4-D-Muy difícil-% del N de fila,B4-D-Muy difícil-% de N columnas,B4-D-Difícil-Recuento,B4-D-Difícil-% del N de fila,B4-D-Difícil-% de N columnas,B4-D-Poco difícil-Recuento,B4-D-Poco difícil-% del N de fila,B4-D-Poco difícil-% de N columnas,B4-D-Nada difícil-Recuento,B4-D-Nada difícil-% del N de fila,B4-D-Nada difícil-% de N columnas,B4-E-Muy difícil-Recuento,B4-E-Muy difícil-% del N de fila,B4-E-Muy difícil-% de N columnas,B4-E-Difícil-Recuento,B4-E-Difícil-% del N de fila,B4-E-Difícil-% de N columnas,B4-E-Poco difícil-Recuento,B4-E-Poco difícil-% del N de fila,B4-E-Poco difícil-% de N columnas,B4-E-Nada difícil-Recuento,B4-E-Nada difícil-% del N de fila,B4-E-Nada difícil-% de N columnas,B4-F-Muy difícil-Recuento,B4-F-Muy difícil-% del N de fila,B4-F-Muy difícil-% de N columnas,B4-F-Difícil-Recuento,B4-F-Difícil-% del N de fila,B4-F-Difícil-% de N columnas,B4-F-Poco difícil-Recuento,B4-F-Poco difícil-% del N de fila,B4-F-Poco difícil-% de N columnas,B4-F-Nada difícil-Recuento,B4-F-Nada difícil-% del N de fila,B4-F-Nada difícil-% de N columnas,B4-G-Muy difícil-Recuento,B4-G-Muy difícil-% del N de fila,B4-G-Muy difícil-% de N columnas,B4-G-Difícil-Recuento,B4-G-Difícil-% del N de fila,B4-G-Difícil-% de N columnas,B4-G-Poco difícil-Recuento,B4-G-Poco difícil-% del N de fila,B4-G-Poco difícil-% de N columnas,B4-G-Nada difícil-Recuento,B4-G-Nada difícil-% del N de fila,B4-G-Nada difícil-% de N columnas,B4-H-Muy difícil-Recuento,B4-H-Muy difícil-% del N de fila,B4-H-Muy difícil-% de N columnas,B4-H-Difícil-Recuento,B4-H-Difícil-% del N de fila,B4-H-Difícil-% de N columnas,B4-H-Poco difícil-Recuento,B4-H-Poco difícil-% del N de fila,B4-H-Poco difícil-% de N columnas,B4-H-Nada difícil-Recuento,B4-H-Nada difícil-% del N de fila,B4-H-Nada difícil-% de N columnas,B4-I-Muy difícil-Recuento,B4-I-Muy difícil-% del N de fila,B4-I-Muy difícil-% de N columnas,B4-I-Difícil-Recuento,B4-I-Difícil-% del N de fila,B4-I-Difícil-% de N columnas,B4-I-Poco difícil-Recuento,B4-I-Poco difícil-% del N de fila,B4-I-Poco difícil-% de N columnas,B4-I-Nada difícil-Recuento,B4-I-Nada difícil-% del N de fila,B4-I-Nada difícil-% de N columnas,B4-J-Muy difícil-Recuento,B4-J-Muy difícil-% del N de fila,B4-J-Muy difícil-% de N columnas,B4-J-Difícil-Recuento,B4-J-Difícil-% del N de fila,B4-J-Difícil-% de N columnas,B4-J-Poco difícil-Recuento,B4-J-Poco difícil-% del N de fila,B4-J-Poco difícil-% de N columnas,B4-J-Nada difícil-Recuento,B4-J-Nada difícil-% del N de fila,B4-J-Nada difícil-% de N columnas,B4-K-Muy difícil-Recuento,B4-K-Muy difícil-% del N de fila,B4-K-Muy difícil-% de N columnas,B4-K-Difícil-Recuento,B4-K-Difícil-% del N de fila,B4-K-Difícil-% de N columnas,B4-K-Poco difícil-Recuento,B4-K-Poco difícil-% del N de fila,B4-K-Poco difícil-% de N columnas,B4-K-Nada difícil-Recuento,B4-K-Nada difícil-% del N de fila,B4-K-Nada difícil-% de N columnas
AGUASCALIENTES,14.000,0.048,0.048,128.000,0.437,0.071,127.000,0.433,0.047,24.000,0.082,0.041,25.000,0.085,0.087,75.000,0.256,0.061,152.000,0.519,0.055,41.000,0.140,0.039,39.000,0.133,0.055,126.000,0.430,0.062,110.000,0.375,0.050,18.000,0.061,0.041,6.000,0.020,0.059,52.000,0.177,0.071,167.000,0.570,0.055,68.000,0.232,0.046,29.000,0.099,0.041,111.000,0.379,0.057,126.000,0.430,0.055,27.000,0.092,0.065,13.000,0.044,0.061,70.000,0.239,0.058,164.000,0.560,0.055,46.000,0.157,0.049,9.000,0.031,0.043,118.000,0.403,0.069,147.000,0.502,0.049,19.000,0.065,0.045,17.000,0.058,0.053,76.000,0.259,0.055,161.000,0.549,0.057,39.000,0.133,0.046,11.000,0.038,0.047,96.000,0.328,0.073,143.000,0.488,0.050,43.000,0.147,0.046,24.000,0.082,0.072,107.000,0.365,0.065,145.000,0.495,0.051,17.000,0.058,0.033,22.000,0.075,0.065,119.000,0.406,0.068,137.000,0.468,0.049,15.000,0.051,0.031
BAJA CALIFORNIA,3.000,0.071,0.010,16.000,0.381,0.009,22.000,0.524,0.008,1.000,0.024,0.002,1.000,0.024,0.003,6.000,0.143,0.005,26.000,0.619,0.009,9.000,0.214,0.009,5.000,0.119,0.007,15.000,0.357,0.007,18.000,0.429,0.008,4.000,0.095,0.009,0.000,0.000,0.000,3.000,0.071,0.004,26.000,0.619,0.009,13.000,0.310,0.009,1.000,0.024,0.001,21.000,0.500,0.011,18.000,0.429,0.008,2.000,0.048,0.005,0.000,0.000,0.000,11.000,0.262,0.009,22.000,0.524,0.007,9.000,0.214,0.010,1.000,0.024,0.005,17.000,0.405,0.010,22.000,0.524,0.007,2.000,0.048,0.005,3.000,0.071,0.009,8.000,0.190,0.006,24.000,0.571,0.009,7.000,0.167,0.008,1.000,0.024,0.004,9.000,0.214,0.007,25.000,0.595,0.009,7.000,0.167,0.007,2.000,0.048,0.006,12.000,0.286,0.007,25.000,0.595,0.009,3.000,0.071,0.006,3.000,0.071,0.009,13.000,0.310,0.007,25.000,0.595,0.009,1.000,0.024,0.002
BAJA CALIFORNIA SUR,6.000,0.028,0.021,51.000,0.238,0.028,113.000,0.528,0.042,44.000,0.206,0.074,12.000,0.056,0.042,43.000,0.201,0.035,105.000,0.491,0.038,54.000,0.252,0.051,17.000,0.079,0.024,91.000,0.425,0.045,90.000,0.421,0.041,16.000,0.075,0.037,2.000,0.009,0.020,26.000,0.121,0.036,117.000,0.547,0.038,69.000,0.322,0.047,33.000,0.154,0.046,68.000,0.318,0.035,100.000,0.467,0.044,13.000,0.061,0.031,10.000,0.047,0.047,47.000,0.220,0.039,114.000,0.533,0.038,43.000,0.201,0.046,7.000,0.033,0.034,53.000,0.248,0.031,135.000,0.631,0.045,19.000,0.089,0.045,10.000,0.047,0.031,55.000,0.257,0.040,112.000,0.523,0.040,37.000,0.173,0.044,3.000,0.014,0.013,39.000,0.182,0.030,121.000,0.565,0.042,51.000,0.238,0.054,11.000,0.051,0.033,69.000,0.322,0.042,119.000,0.556,0.041,15.000,0.070,0.029,15.000,0.070,0.045,67.000,0.313,0.038,117.000,0.547,0.042,15.000,0.070,0.031
CAMPECHE,8.000,0.043,0.028,59.000,0.316,0.033,101.000,0.540,0.038,19.000,0.102,0.032,13.000,0.070,0.045,37.000,0.198,0.030,102.000,0.545,0.037,35.000,0.187,0.033,27.000,0.144,0.038,83.000,0.444,0.041,66.000,0.353,0.030,11.000,0.059,0.025,9.000,0.048,0.089,22.000,0.118,0.030,112.000,0.599,0.037,44.000,0.235,0.030,23.000,0.123,0.032,76.000,0.406,0.039,74.000,0.396,0.032,14.000,0.075,0.034,7.000,0.037,0.033,35.000,0.187,0.029,105.000,0.561,0.035,40.000,0.214,0.042,8.000,0.043,0.038,51.000,0.273,0.030,118.000,0.631,0.039,10.000,0.053,0.024,11.000,0.059,0.034,47.000,0.251,0.034,95.000,0.508,0.034,34.000,0.182,0.040,9.000,0.048,0.039,39.000,0.209,0.030,105.000,0.561,0.037,34.000,0.182,0.036,11.000,0.059,0.033,45.000,0.241,0.027,116.000,0.620,0.040,15.000,0.080,0.029,10.000,0.053,0.030,55.000,0.294,0.032,107.000,0.572,0.038,15.000,0.080,0.031
CHIAPAS,2.000,0.033,0.007,24.000,0.393,0.013,30.000,0.492,0.011,5.000,0.082,0.008,7.000,0.115,0.024,24.000,0.393,0.019,27.000,0.443,0.010,3.000,0.049,0.003,10.000,0.164,0.014,28.000,0.459,0.014,18.000,0.295,0.008,5.000,0.082,0.011,1.000,0.016,0.010,12.000,0.197,0.016,34.000,0.557,0.011,14.000,0.230,0.009,12.000,0.197,0.017,24.000,0.393,0.012,19.000,0.311,0.008,6.000,0.098,0.015,2.000,0.033,0.009,14.000,0.230,0.012,34.000,0.557,0.011,11.000,0.180,0.012,3.000,0.049,0.014,21.000,0.344,0.012,33.000,0.541,0.011,4.000,0.066,0.010,4.000,0.066,0.013,18.000,0.295,0.013,36.000,0.590,0.013,3.000,0.049,0.004,4.000,0.066,0.017,14.000,0.230,0.011,34.000,0.557,0.012,9.000,0.148,0.010,8.000,0.131,0.024,22.000,0.361,0.013,28.000,0.459,0.010,3.000,0.049,0.006,7.000,0.115,0.021,25.000,0.410,0.014,26.000,0.426,0.009,3.000,0.049,0.006
CHIHUAHUA,29.000,0.113,0.100,71.000,0.277,0.040,128.000,0.500,0.048,28.000,0.109,0.047,20.000,0.078,0.070,50.000,0.195,0.040,114.000,0.445,0.041,72.000,0.281,0.069,45.000,0.176,0.064,96.000,0.375,0.048,102.000,0.398,0.047,13.000,0.051,0.030,7.000,0.027,0.069,29.000,0.113,0.040,122.000,0.477,0.040,98.000,0.383,0.066,39.000,0.152,0.055,84.000,0.328,0.043,121.000,0.473,0.053,12.000,0.047,0.029,18.000,0.070,0.085,58.000,0.227,0.048,127.000,0.496,0.043,53.000,0.207,0.056,16.000,0.063,0.077,75.000,0.293,0.044,147.000,0.574,0.049,18.000,0.070,0.043,14.000,0.055,0.044,57.000,0.223,0.041,144.000,0.563,0.051,41.000,0.160,0.048,18.000,0.070,0.078,58.000,0.227,0.044,130.000,0.508,0.045,50.000,0.195,0.053,24.000,0.094,0.072,72.000,0.281,0.044,137.000,0.535,0.048,23.000,0.090,0.045,21.000,0.082,0.063,78.000,0.305,0.045,133.000,0.520,0.048,24.000,0.094,0.050
CIUDAD DE MÉXICO,13.000,0.055,0.045,77.000,0.324,0.043,118.000,0.496,0.044,30.000,0.126,0.051,23.000,0.097,0.080,59.000,0.248,0.048,122.000,0.513,0.044,34.000,0.143,0.032,52.000,0.218,0.074,84.000,0.353,0.042,90.000,0.378,0.041,12.000,0.050,0.027,5.000,0.021,0.050,41.000,0.172,0.056,133.000,0.559,0.044,59.000,0.248,0.040,38.000,0.160,0.053,87.000,0.366,0.045,101.000,0.424,0.044,12.000,0.050,0.029,15.000,0.063,0.071,81.000,0.340,0.067,117.000,0.492,0.039,25.000,0.105,0.026,15.000,0.063,0.072,84.000,0.353,0.049,126.000,0.529,0.042,13.000,0.055,0.031,19.000,0.080,0.060,74.000,0.311,0.054,117.000,0.492,0.042,28.000,0.118,0.033,11.000,0.046,0.047,64.000,0.269,0.048,132.000,0.555,0.046,31.000,0.130,0.033,13.000,0.055,0.039,86.000,0.361,0.053,117.000,0.492,0.041,22.000,0.092,0.043,18.000,0.076,0.054,92.000,0.387,0.053,108.000,0.454,0.039,20.000,0.084,0.042
COAHUILA,3.000,0.036,0.010,28.000,0.337,0.016,43.000,0.518,0.016,9.000,0.108,0.015,4.000,0.048,0.014,15.000,0.181,0.012,46.000,0.554,0.017,18.000,0.217,0.017,7.000,0.084,0.010,35.000,0.422,0.017,32.000,0.386,0.015,9.000,0.108,0.021,0.000,0.000,0.000,12.000,0.145,0.016,49.000,0.590,0.016,22.000,0.265,0.015,8.000,0.096,0.011,27.000,0.325,0.014,40.000,0.482,0.017,8.000,0.096,0.019,0.000,0.000,0.000,20.000,0.241,0.017,48.000,0.578,0.016,15.000,0.181,0.016,0.000,0.000,0.000,30.000,0.361,0.018,47.000,0.566,0.016,6.000,0.072,0.014,1.000,0.012,0.003,25.000,0.301,0.018,45.000,0.542,0.016,12.000,0.145,0.014,2.000,0.024,0.009,19.000,0.229,0.014,47.000,0.566,0.016,15.000,0.181,0.016,2.000,0.024,0.006,32.000,0.386,0.020,37.000,0.446,0.013,12.000,0.145,0.024,3.000,0.036,0.009,30.000,0.361,0.017,44.000,0.530,0.016,6.000,0.072,0.013
COLIMA,14.000,0.071,0.048,67.000,0.338,0.037,96.000,0.485,0.036,21.000,0.106,0.036,9.000,0.045,0.031,32.000,0.162,0.026,96.000,0.485,0.035,61.000,0.308,0.058,26.000,0.131,0.037,70.000,0.354,0.035,83.000,0.419,0.038,19.000,0.096,0.043,3.000,0.015,0.030,19.000,0.096,0.026,108.000,0.545,0.036,68.000,0.343,0.046,39.000,0.197,0.055,84.000,0.424,0.043,68.000,0.343,0.030,7.000,0.035,0.017,10.000,0.051,0.047,47.000,0.237,0.039,110.000,0.556,0.037,31.000,0.157,0.033,13.000,0.066,0.063,59.000,0.298,0.035,116.000,0.586,0.038,10.000,0.051,0.024,18.000,0.091,0.056,61.000,0.308,0.044,86.000,0.434,0.031,33.000,0.167,0.039,8.000,0.040,0.034,49.000,0.247,0.037,103.000,0.520,0.036,38.000,0.192,0.041,17.000,0.086,0.051,47.000,0.237,0.029,109.000,0.551,0.038,25.000,0.126,0.049,15.000,0.076,0.045,50.000,0.253,0.029,108.000,0.545,0.039,25.000,0.126,0.052
DURANGO,20.000,0.075,0.069,98.000,0.366,0.055,126.000,0.470,0.047,24.000,0.090,0.041,12.000,0.045,0.042,73.000,0.272,0.059,141.000,0.526,0.051,42.000,0.157,0.040,41.000,0.153,0.058,115.000,0.429,0.057,101.000,0.377,0.046,11.000,0.041,0.025,9.000,0.034,0.089,36.000,0.134,0.049,160.000,0.597,0.053,63.000,0.235,0.043,52.000,0.194,0.073,89.000,0.332,0.046,112.000,0.418,0.049,15.000,0.056,0.036,18.000,0.067,0.085,65.000,0.243,0.054,147.000,0.549,0.049,38.000,0.142,0.040,10.000,0.037,0.048,93.000,0.347,0.055,148.000,0.552,0.049,17.000,0.063,0.040,16.000,0.060,0.050,82.000,0.306,0.059,134.000,0.500,0.048,36.000,0.134,0.043,10.000,0.037,0.043,72.000,0.269,0.055,148.000,0.552,0.052,38.000,0.142,0.041,14.000,0.052,0.042,86.000,0.321,0.053,144.000,0.537,0.050,24.000,0.090,0.047,16.000,0.060,0.048,89.000,0.332,0.051,144.000,0.537,0.052,19.000,0.071,0.040
