Entidad,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
AGUASCALIENTES,203.00,0.36,0.05,353.00,0.62,0.05,14.00,0.03,0.05,0.00,0.00,0.00,208.00,0.37,0.05,345.00,0.61,0.05,17.00,0.03,0.06,0.00,0.00,0.00,227.00,0.40,0.05,324.00,0.57,0.05,19.00,0.03,0.07,0.00,0.00,0.00,194.00,0.34,0.05,357.00,0.63,0.05,19.00,0.03,0.06,0.00,0.00,0.00,180.00,0.32,0.05,351.00,0.62,0.05,38.00,0.07,0.05,1.00,0.00,0.01
BAJA CALIFORNIA,36.00,0.37,0.01,61.00,0.62,0.01,1.00,0.01,0.00,0.00,0.00,0.00,43.00,0.44,0.01,53.00,0.54,0.01,1.00,0.01,0.00,1.00,0.01,0.06,44.00,0.45,0.01,53.00,0.54,0.01,1.00,0.01,0.00,0.00,0.00,0.00,41.00,0.42,0.01,57.00,0.58,0.01,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.34,0.01,60.00,0.61,0.01,5.00,0.05,0.01,0.00,0.00,0.00
BAJA CALIFORNIA SUR,243.00,0.35,0.06,431.00,0.62,0.06,16.00,0.02,0.06,1.00,0.00,0.05,272.00,0.39,0.06,409.00,0.59,0.06,10.00,0.01,0.04,0.00,0.00,0.00,276.00,0.40,0.06,397.00,0.58,0.06,16.00,0.02,0.06,2.00,0.00,0.11,264.00,0.38,0.06,410.00,0.59,0.06,17.00,0.03,0.06,0.00,0.00,0.00,217.00,0.31,0.06,422.00,0.61,0.06,47.00,0.07,0.06,5.00,0.01,0.07
CAMPECHE,84.00,0.27,0.02,222.00,0.71,0.03,7.00,0.02,0.03,0.00,0.00,0.00,89.00,0.29,0.02,218.00,0.70,0.03,5.00,0.02,0.02,0.00,0.00,0.00,96.00,0.31,0.02,210.00,0.67,0.03,6.00,0.02,0.02,0.00,0.00,0.00,94.00,0.30,0.02,213.00,0.68,0.03,5.00,0.02,0.02,0.00,0.00,0.00,79.00,0.25,0.02,215.00,0.69,0.03,14.00,0.05,0.02,4.00,0.01,0.06
CHIAPAS,26.00,0.26,0.01,72.00,0.71,0.01,3.00,0.03,0.01,0.00,0.00,0.00,26.00,0.26,0.01,69.00,0.68,0.01,6.00,0.06,0.02,0.00,0.00,0.00,31.00,0.31,0.01,65.00,0.64,0.01,5.00,0.05,0.02,0.00,0.00,0.00,26.00,0.26,0.01,72.00,0.71,0.01,3.00,0.03,0.01,0.00,0.00,0.00,22.00,0.22,0.01,70.00,0.69,0.01,8.00,0.08,0.01,1.00,0.01,0.01
CHIHUAHUA,157.00,0.30,0.04,354.00,0.68,0.05,12.00,0.02,0.04,1.00,0.00,0.05,160.00,0.31,0.04,347.00,0.66,0.05,17.00,0.03,0.06,0.00,0.00,0.00,168.00,0.32,0.04,341.00,0.65,0.05,15.00,0.03,0.05,0.00,0.00,0.00,150.00,0.29,0.04,355.00,0.68,0.05,19.00,0.04,0.06,0.00,0.00,0.00,122.00,0.23,0.03,357.00,0.68,0.05,43.00,0.08,0.06,2.00,0.00,0.03
CIUDAD DE MÉXICO,285.00,0.34,0.07,543.00,0.64,0.08,21.00,0.03,0.08,1.00,0.00,0.05,322.00,0.38,0.08,505.00,0.59,0.07,22.00,0.03,0.08,1.00,0.00,0.06,331.00,0.39,0.07,487.00,0.57,0.08,30.00,0.04,0.11,2.00,0.00,0.11,292.00,0.34,0.07,526.00,0.62,0.08,32.00,0.04,0.11,0.00,0.00,0.00,249.00,0.29,0.07,522.00,0.61,0.08,74.00,0.09,0.10,5.00,0.01,0.07
COAHUILA,82.00,0.41,0.02,110.00,0.55,0.02,7.00,0.04,0.03,0.00,0.00,0.00,86.00,0.43,0.02,107.00,0.54,0.02,6.00,0.03,0.02,0.00,0.00,0.00,89.00,0.45,0.02,102.00,0.51,0.02,8.00,0.04,0.03,0.00,0.00,0.00,90.00,0.45,0.02,104.00,0.52,0.02,4.00,0.02,0.01,1.00,0.01,0.07,74.00,0.37,0.02,114.00,0.57,0.02,10.00,0.05,0.01,1.00,0.01,0.01
COLIMA,207.00,0.41,0.05,287.00,0.57,0.04,6.00,0.01,0.02,2.00,0.00,0.11,208.00,0.41,0.05,280.00,0.56,0.04,12.00,0.02,0.05,2.00,0.00,0.13,218.00,0.43,0.05,269.00,0.54,0.04,13.00,0.03,0.05,2.00,0.00,0.11,209.00,0.42,0.05,280.00,0.56,0.04,10.00,0.02,0.03,3.00,0.01,0.21,187.00,0.37,0.05,289.00,0.58,0.04,22.00,0.04,0.03,4.00,0.01,0.06
DURANGO,120.00,0.32,0.03,245.00,0.66,0.04,6.00,0.02,0.02,0.00,0.00,0.00,132.00,0.36,0.03,236.00,0.64,0.04,3.00,0.01,0.01,0.00,0.00,0.00,148.00,0.40,0.03,213.00,0.57,0.03,10.00,0.03,0.04,0.00,0.00,0.00,132.00,0.36,0.03,231.00,0.62,0.03,7.00,0.02,0.02,1.00,0.00,0.07,116.00,0.31,0.03,222.00,0.60,0.03,29.00,0.08,0.04,4.00,0.01,0.06
