Entidad,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
AGUASCALIENTES,183.000,0.321,0.050,356.000,0.625,0.049,27.000,0.047,0.056,4.000,0.007,0.121,172.000,0.302,0.050,359.000,0.630,0.049,36.000,0.063,0.062,3.000,0.005,0.111,156.000,0.274,0.051,377.000,0.661,0.050,34.000,0.060,0.045,3.000,0.005,0.086,116.000,0.204,0.046,395.000,0.693,0.050,55.000,0.096,0.053,4.000,0.007,0.085,92.000,0.161,0.041,366.000,0.642,0.050,97.000,0.170,0.056,15.000,0.026,0.105,107.000,0.188,0.046,370.000,0.649,0.049,82.000,0.144,0.059,11.000,0.019,0.093,95.000,0.167,0.041,379.000,0.665,0.051,86.000,0.151,0.053,10.000,0.018,0.081
BAJA CALIFORNIA,33.000,0.337,0.009,60.000,0.612,0.008,4.000,0.041,0.008,1.000,0.010,0.030,35.000,0.357,0.010,57.000,0.582,0.008,6.000,0.061,0.010,0.000,0.000,0.000,32.000,0.327,0.010,58.000,0.592,0.008,8.000,0.082,0.011,0.000,0.000,0.000,22.000,0.224,0.009,70.000,0.714,0.009,6.000,0.061,0.006,0.000,0.000,0.000,25.000,0.255,0.011,55.000,0.561,0.008,18.000,0.184,0.010,0.000,0.000,0.000,20.000,0.204,0.009,67.000,0.684,0.009,11.000,0.112,0.008,0.000,0.000,0.000,24.000,0.245,0.010,59.000,0.602,0.008,15.000,0.153,0.009,0.000,0.000,0.000
BAJA CALIFORNIA SUR,218.000,0.315,0.060,446.000,0.645,0.061,27.000,0.039,0.056,0.000,0.000,0.000,210.000,0.304,0.061,455.000,0.658,0.062,26.000,0.038,0.045,0.000,0.000,0.000,195.000,0.282,0.063,455.000,0.658,0.060,41.000,0.059,0.055,0.000,0.000,0.000,154.000,0.223,0.061,472.000,0.683,0.060,65.000,0.094,0.063,0.000,0.000,0.000,131.000,0.190,0.058,452.000,0.654,0.062,100.000,0.145,0.058,8.000,0.012,0.056,143.000,0.207,0.061,457.000,0.661,0.060,86.000,0.124,0.062,5.000,0.007,0.042,142.000,0.205,0.062,450.000,0.651,0.061,96.000,0.139,0.059,3.000,0.004,0.024
CAMPECHE,79.000,0.253,0.022,222.000,0.712,0.030,10.000,0.032,0.021,1.000,0.003,0.030,65.000,0.208,0.019,232.000,0.744,0.032,15.000,0.048,0.026,0.000,0.000,0.000,68.000,0.218,0.022,229.000,0.734,0.030,15.000,0.048,0.020,0.000,0.000,0.000,48.000,0.154,0.019,242.000,0.776,0.031,21.000,0.067,0.020,1.000,0.003,0.021,41.000,0.131,0.018,216.000,0.692,0.030,53.000,0.170,0.031,2.000,0.006,0.014,40.000,0.128,0.017,240.000,0.769,0.032,31.000,0.099,0.022,1.000,0.003,0.008,45.000,0.144,0.020,217.000,0.696,0.029,47.000,0.151,0.029,3.000,0.010,0.024
CHIAPAS,26.000,0.257,0.007,70.000,0.693,0.010,5.000,0.050,0.010,0.000,0.000,0.000,19.000,0.188,0.005,78.000,0.772,0.011,4.000,0.040,0.007,0.000,0.000,0.000,18.000,0.178,0.006,72.000,0.713,0.010,11.000,0.109,0.015,0.000,0.000,0.000,12.000,0.119,0.005,69.000,0.683,0.009,20.000,0.198,0.019,0.000,0.000,0.000,11.000,0.109,0.005,68.000,0.673,0.009,21.000,0.208,0.012,1.000,0.010,0.007,9.000,0.089,0.004,70.000,0.693,0.009,22.000,0.218,0.016,0.000,0.000,0.000,14.000,0.139,0.006,59.000,0.584,0.008,26.000,0.257,0.016,2.000,0.020,0.016
CHIHUAHUA,128.000,0.244,0.035,366.000,0.698,0.050,25.000,0.048,0.052,5.000,0.010,0.152,113.000,0.216,0.033,376.000,0.718,0.051,32.000,0.061,0.055,3.000,0.006,0.111,113.000,0.216,0.037,368.000,0.702,0.049,39.000,0.074,0.052,4.000,0.008,0.114,95.000,0.181,0.038,370.000,0.706,0.047,56.000,0.107,0.054,3.000,0.006,0.064,80.000,0.153,0.035,364.000,0.695,0.050,73.000,0.139,0.042,7.000,0.013,0.049,87.000,0.166,0.037,360.000,0.687,0.047,72.000,0.137,0.052,5.000,0.010,0.042,85.000,0.162,0.037,355.000,0.677,0.048,79.000,0.151,0.049,5.000,0.010,0.040
CIUDAD DE MÉXICO,225.000,0.265,0.062,576.000,0.678,0.079,46.000,0.054,0.096,3.000,0.004,0.091,230.000,0.271,0.066,574.000,0.675,0.078,44.000,0.052,0.076,2.000,0.002,0.074,203.000,0.239,0.066,574.000,0.675,0.076,70.000,0.082,0.093,3.000,0.004,0.086,149.000,0.175,0.059,592.000,0.696,0.076,104.000,0.122,0.100,5.000,0.006,0.106,136.000,0.160,0.060,522.000,0.614,0.072,182.000,0.214,0.105,10.000,0.012,0.070,142.000,0.167,0.061,540.000,0.635,0.071,158.000,0.186,0.114,10.000,0.012,0.085,139.000,0.164,0.061,569.000,0.669,0.077,136.000,0.160,0.084,6.000,0.007,0.048
COAHUILA,76.000,0.382,0.021,112.000,0.563,0.015,11.000,0.055,0.023,0.000,0.000,0.000,75.000,0.377,0.022,114.000,0.573,0.015,10.000,0.050,0.017,0.000,0.000,0.000,76.000,0.382,0.025,115.000,0.578,0.015,8.000,0.040,0.011,0.000,0.000,0.000,62.000,0.312,0.025,123.000,0.618,0.016,14.000,0.070,0.013,0.000,0.000,0.000,51.000,0.256,0.023,123.000,0.618,0.017,23.000,0.116,0.013,2.000,0.010,0.014,51.000,0.256,0.022,129.000,0.648,0.017,17.000,0.085,0.012,2.000,0.010,0.017,53.000,0.266,0.023,125.000,0.628,0.017,20.000,0.101,0.012,1.000,0.005,0.008
COLIMA,165.000,0.329,0.045,319.000,0.637,0.044,15.000,0.030,0.031,2.000,0.004,0.061,167.000,0.333,0.048,312.000,0.623,0.042,21.000,0.042,0.036,1.000,0.002,0.037,149.000,0.297,0.048,328.000,0.655,0.043,21.000,0.042,0.028,3.000,0.006,0.086,130.000,0.259,0.052,329.000,0.657,0.042,39.000,0.078,0.038,3.000,0.006,0.064,119.000,0.238,0.053,299.000,0.597,0.041,74.000,0.148,0.043,9.000,0.018,0.063,121.000,0.242,0.052,308.000,0.615,0.041,61.000,0.122,0.044,11.000,0.022,0.093,114.000,0.228,0.050,314.000,0.627,0.042,66.000,0.132,0.041,7.000,0.014,0.056
DURANGO,126.000,0.340,0.035,237.000,0.639,0.033,8.000,0.022,0.017,0.000,0.000,0.000,127.000,0.342,0.037,235.000,0.633,0.032,8.000,0.022,0.014,1.000,0.003,0.037,99.000,0.267,0.032,247.000,0.666,0.033,24.000,0.065,0.032,1.000,0.003,0.029,81.000,0.218,0.032,259.000,0.698,0.033,30.000,0.081,0.029,1.000,0.003,0.021,87.000,0.235,0.038,236.000,0.636,0.032,43.000,0.116,0.025,5.000,0.013,0.035,86.000,0.232,0.037,248.000,0.668,0.033,33.000,0.089,0.024,4.000,0.011,0.034,85.000,0.229,0.037,238.000,0.642,0.032,43.000,0.116,0.026,5.000,0.013,0.040
