Entidad,B6-A-Totalmente de acuerdo-Recuento,B6-A-Totalmente de acuerdo-% del N de fila,B6-A-Totalmente de acuerdo-% de N columnas,B6-A-De acuerdo-Recuento,B6-A-De acuerdo-% del N de fila,B6-A-De acuerdo-% de N columnas,B6-A-En desacuerdo-Recuento,B6-A-En desacuerdo-% del N de fila,B6-A-En desacuerdo-% de N columnas,B6-A-Totalmente en desacuerdo-Recuento,B6-A-Totalmente en desacuerdo-% del N de fila,B6-A-Totalmente en desacuerdo-% de N columnas,B6-A-No sé o no estoy seguro-Recuento,B6-A-No sé o no estoy seguro-% del N de fila,B6-A-No sé o no estoy seguro-% de N columnas,B6-B-Totalmente de acuerdo-Recuento,B6-B-Totalmente de acuerdo-% del N de fila,B6-B-Totalmente de acuerdo-% de N columnas,B6-B-De acuerdo-Recuento,B6-B-De acuerdo-% del N de fila,B6-B-De acuerdo-% de N columnas,B6-B-En desacuerdo-Recuento,B6-B-En desacuerdo-% del N de fila,B6-B-En desacuerdo-% de N columnas,B6-B-Totalmente en desacuerdo-Recuento,B6-B-Totalmente en desacuerdo-% del N de fila,B6-B-Totalmente en desacuerdo-% de N columnas,B6-B-No sé o no estoy seguro-Recuento,B6-B-No sé o no estoy seguro-% del N de fila,B6-B-No sé o no estoy seguro-% de N columnas,B6-C-Totalmente de acuerdo-Recuento,B6-C-Totalmente de acuerdo-% del N de fila,B6-C-Totalmente de acuerdo-% de N columnas,B6-C-De acuerdo-Recuento,B6-C-De acuerdo-% del N de fila,B6-C-De acuerdo-% de N columnas,B6-C-En desacuerdo-Recuento,B6-C-En desacuerdo-% del N de fila,B6-C-En desacuerdo-% de N columnas,B6-C-Totalmente en desacuerdo-Recuento,B6-C-Totalmente en desacuerdo-% del N de fila,B6-C-Totalmente en desacuerdo-% de N columnas,B6-C-No sé o no estoy seguro-Recuento,B6-C-No sé o no estoy seguro-% del N de fila,B6-C-No sé o no estoy seguro-% de N columnas,B6-D-Totalmente de acuerdo-Recuento,B6-D-Totalmente de acuerdo-% del N de fila,B6-D-Totalmente de acuerdo-% de N columnas,B6-D-De acuerdo-Recuento,B6-D-De acuerdo-% del N de fila,B6-D-De acuerdo-% de N columnas,B6-D-En desacuerdo-Recuento,B6-D-En desacuerdo-% del N de fila,B6-D-En desacuerdo-% de N columnas,B6-D-Totalmente en desacuerdo-Recuento,B6-D-Totalmente en desacuerdo-% del N de fila,B6-D-Totalmente en desacuerdo-% de N columnas,B6-D-No sé o no estoy seguro-Recuento,B6-D-No sé o no estoy seguro-% del N de fila,B6-D-No sé o no estoy seguro-% de N columnas,B6-E-Totalmente de acuerdo-Recuento,B6-E-Totalmente de acuerdo-% del N de fila,B6-E-Totalmente de acuerdo-% de N columnas,B6-E-De acuerdo-Recuento,B6-E-De acuerdo-% del N de fila,B6-E-De acuerdo-% de N columnas,B6-E-En desacuerdo-Recuento,B6-E-En desacuerdo-% del N de fila,B6-E-En desacuerdo-% de N columnas,B6-E-Totalmente en desacuerdo-Recuento,B6-E-Totalmente en desacuerdo-% del N de fila,B6-E-Totalmente en desacuerdo-% de N columnas,B6-E-No sé o no estoy seguro-Recuento,B6-E-No sé o no estoy seguro-% del N de fila,B6-E-No sé o no estoy seguro-% de N columnas,B6-F-Totalmente de acuerdo-Recuento,B6-F-Totalmente de acuerdo-% del N de fila,B6-F-Totalmente de acuerdo-% de N columnas,B6-F-De acuerdo-Recuento,B6-F-De acuerdo-% del N de fila,B6-F-De acuerdo-% de N columnas,B6-F-En desacuerdo-Recuento,B6-F-En desacuerdo-% del N de fila,B6-F-En desacuerdo-% de N columnas,B6-F-Totalmente en desacuerdo-Recuento,B6-F-Totalmente en desacuerdo-% del N de fila,B6-F-Totalmente en desacuerdo-% de N columnas,B6-F-No sé o no estoy seguro-Recuento,B6-F-No sé o no estoy seguro-% del N de fila,B6-F-No sé o no estoy seguro-% de N columnas,B6-G-Totalmente de acuerdo-Recuento,B6-G-Totalmente de acuerdo-% del N de fila,B6-G-Totalmente de acuerdo-% de N columnas,B6-G-De acuerdo-Recuento,B6-G-De acuerdo-% del N de fila,B6-G-De acuerdo-% de N columnas,B6-G-En desacuerdo-Recuento,B6-G-En desacuerdo-% del N de fila,B6-G-En desacuerdo-% de N columnas,B6-G-Totalmente en desacuerdo-Recuento,B6-G-Totalmente en desacuerdo-% del N de fila,B6-G-Totalmente en desacuerdo-% de N columnas,B6-G-No sé o no estoy seguro-Recuento,B6-G-No sé o no estoy seguro-% del N de fila,B6-G-No sé o no estoy seguro-% de N columnas,B6-H-Totalmente de acuerdo-Recuento,B6-H-Totalmente de acuerdo-% del N de fila,B6-H-Totalmente de acuerdo-% de N columnas,B6-H-De acuerdo-Recuento,B6-H-De acuerdo-% del N de fila,B6-H-De acuerdo-% de N columnas,B6-H-En desacuerdo-Recuento,B6-H-En desacuerdo-% del N de fila,B6-H-En desacuerdo-% de N columnas,B6-H-Totalmente en desacuerdo-Recuento,B6-H-Totalmente en desacuerdo-% del N de fila,B6-H-Totalmente en desacuerdo-% de N columnas,B6-H-No sé o no estoy seguro-Recuento,B6-H-No sé o no estoy seguro-% del N de fila,B6-H-No sé o no estoy seguro-% de N columnas,B6-I-Totalmente de acuerdo-Recuento,B6-I-Totalmente de acuerdo-% del N de fila,B6-I-Totalmente de acuerdo-% de N columnas,B6-I-De acuerdo-Recuento,B6-I-De acuerdo-% del N de fila,B6-I-De acuerdo-% de N columnas,B6-I-En desacuerdo-Recuento,B6-I-En desacuerdo-% del N de fila,B6-I-En desacuerdo-% de N columnas,B6-I-Totalmente en desacuerdo-Recuento,B6-I-Totalmente en desacuerdo-% del N de fila,B6-I-Totalmente en desacuerdo-% de N columnas,B6-I-No sé o no estoy seguro-Recuento,B6-I-No sé o no estoy seguro-% del N de fila,B6-I-No sé o no estoy seguro-% de N columnas
AGUASCALIENTES,104.000,0.182,0.050,390.000,0.684,0.050,43.000,0.075,0.044,5.000,0.009,0.049,28.000,0.049,0.053,131.000,0.230,0.049,381.000,0.668,0.050,39.000,0.068,0.050,6.000,0.011,0.076,13.000,0.023,0.049,156.000,0.274,0.050,360.000,0.632,0.049,37.000,0.065,0.059,5.000,0.009,0.056,12.000,0.021,0.060,183.000,0.321,0.052,348.000,0.611,0.048,28.000,0.049,0.058,5.000,0.009,0.077,6.000,0.011,0.042,124.000,0.218,0.049,381.000,0.668,0.049,30.000,0.053,0.049,6.000,0.011,0.103,29.000,0.051,0.069,181.000,0.318,0.045,347.000,0.609,0.052,29.000,0.051,0.058,8.000,0.014,0.107,5.000,0.009,0.036,225.000,0.395,0.047,328.000,0.575,0.051,12.000,0.021,0.059,4.000,0.007,0.118,1.000,0.002,0.022,147.000,0.258,0.044,361.000,0.633,0.051,39.000,0.068,0.064,4.000,0.007,0.063,19.000,0.033,0.053,118.000,0.207,0.046,381.000,0.668,0.051,46.000,0.081,0.058,3.000,0.005,0.033,22.000,0.039,0.045
BAJA CALIFORNIA,16.000,0.163,0.008,68.000,0.694,0.009,6.000,0.061,0.006,2.000,0.020,0.019,6.000,0.061,0.011,25.000,0.255,0.009,69.000,0.704,0.009,2.000,0.020,0.003,0.000,0.000,0.000,2.000,0.020,0.008,28.000,0.286,0.009,63.000,0.643,0.009,5.000,0.051,0.008,0.000,0.000,0.000,2.000,0.020,0.010,32.000,0.327,0.009,62.000,0.633,0.009,0.000,0.000,0.000,1.000,0.010,0.015,3.000,0.031,0.021,20.000,0.204,0.008,70.000,0.714,0.009,2.000,0.020,0.003,0.000,0.000,0.000,6.000,0.061,0.014,31.000,0.316,0.008,59.000,0.602,0.009,5.000,0.051,0.010,1.000,0.010,0.013,2.000,0.020,0.014,38.000,0.388,0.008,58.000,0.592,0.009,1.000,0.010,0.005,0.000,0.000,0.000,1.000,0.010,0.022,23.000,0.235,0.007,71.000,0.724,0.010,1.000,0.010,0.002,1.000,0.010,0.016,2.000,0.020,0.006,21.000,0.214,0.008,64.000,0.653,0.009,5.000,0.051,0.006,1.000,0.010,0.011,7.000,0.071,0.014
BAJA CALIFORNIA SUR,123.000,0.178,0.059,469.000,0.679,0.061,47.000,0.068,0.048,7.000,0.010,0.068,45.000,0.065,0.085,164.000,0.237,0.061,479.000,0.693,0.063,30.000,0.043,0.039,4.000,0.006,0.051,14.000,0.020,0.053,202.000,0.292,0.065,453.000,0.656,0.061,23.000,0.033,0.036,5.000,0.007,0.056,8.000,0.012,0.040,217.000,0.314,0.062,450.000,0.651,0.062,12.000,0.017,0.025,4.000,0.006,0.062,8.000,0.012,0.056,158.000,0.229,0.062,476.000,0.689,0.061,27.000,0.039,0.044,0.000,0.000,0.000,30.000,0.043,0.071,237.000,0.343,0.059,412.000,0.596,0.062,29.000,0.042,0.058,4.000,0.006,0.053,9.000,0.013,0.065,294.000,0.425,0.062,382.000,0.553,0.060,12.000,0.017,0.059,1.000,0.001,0.029,2.000,0.003,0.043,239.000,0.346,0.072,406.000,0.588,0.057,23.000,0.033,0.038,2.000,0.003,0.032,21.000,0.030,0.059,168.000,0.243,0.065,442.000,0.640,0.059,45.000,0.065,0.057,4.000,0.006,0.044,32.000,0.046,0.065
CAMPECHE,36.000,0.115,0.017,231.000,0.740,0.030,33.000,0.106,0.034,2.000,0.006,0.019,10.000,0.032,0.019,46.000,0.147,0.017,244.000,0.782,0.032,12.000,0.038,0.015,0.000,0.000,0.000,10.000,0.032,0.038,50.000,0.160,0.016,243.000,0.779,0.033,14.000,0.045,0.022,0.000,0.000,0.000,5.000,0.016,0.025,59.000,0.189,0.017,238.000,0.763,0.033,9.000,0.029,0.019,1.000,0.003,0.015,5.000,0.016,0.035,40.000,0.128,0.016,241.000,0.772,0.031,21.000,0.067,0.034,1.000,0.003,0.017,9.000,0.029,0.021,83.000,0.266,0.021,216.000,0.692,0.032,9.000,0.029,0.018,1.000,0.003,0.013,3.000,0.010,0.022,97.000,0.311,0.020,209.000,0.670,0.033,4.000,0.013,0.020,1.000,0.003,0.029,1.000,0.003,0.022,71.000,0.228,0.021,216.000,0.692,0.031,17.000,0.054,0.028,0.000,0.000,0.000,8.000,0.026,0.022,51.000,0.163,0.020,225.000,0.721,0.030,24.000,0.077,0.030,0.000,0.000,0.000,12.000,0.038,0.024
CHIAPAS,12.000,0.119,0.006,68.000,0.673,0.009,13.000,0.129,0.013,1.000,0.010,0.010,7.000,0.069,0.013,18.000,0.178,0.007,73.000,0.723,0.010,6.000,0.059,0.008,1.000,0.010,0.013,3.000,0.030,0.011,24.000,0.238,0.008,71.000,0.703,0.010,2.000,0.020,0.003,1.000,0.010,0.011,3.000,0.030,0.015,23.000,0.228,0.007,72.000,0.713,0.010,4.000,0.040,0.008,1.000,0.010,0.015,1.000,0.010,0.007,14.000,0.139,0.006,76.000,0.752,0.010,9.000,0.089,0.015,0.000,0.000,0.000,2.000,0.020,0.005,37.000,0.366,0.009,56.000,0.554,0.008,4.000,0.040,0.008,1.000,0.010,0.013,3.000,0.030,0.022,42.000,0.416,0.009,54.000,0.535,0.008,3.000,0.030,0.015,1.000,0.010,0.029,1.000,0.010,0.022,30.000,0.297,0.009,65.000,0.644,0.009,1.000,0.010,0.002,1.000,0.010,0.016,4.000,0.040,0.011,14.000,0.139,0.005,71.000,0.703,0.010,9.000,0.089,0.011,1.000,0.010,0.011,6.000,0.059,0.012
CHIHUAHUA,78.000,0.149,0.037,365.000,0.697,0.047,47.000,0.090,0.048,4.000,0.008,0.039,30.000,0.057,0.057,109.000,0.208,0.040,357.000,0.681,0.047,39.000,0.074,0.050,1.000,0.002,0.013,18.000,0.034,0.068,124.000,0.237,0.040,344.000,0.656,0.047,40.000,0.076,0.063,5.000,0.010,0.056,11.000,0.021,0.055,129.000,0.246,0.037,358.000,0.683,0.050,24.000,0.046,0.050,4.000,0.008,0.062,9.000,0.017,0.063,92.000,0.176,0.036,372.000,0.710,0.048,31.000,0.059,0.050,3.000,0.006,0.052,26.000,0.050,0.062,171.000,0.326,0.042,303.000,0.578,0.045,35.000,0.067,0.070,4.000,0.008,0.053,11.000,0.021,0.079,198.000,0.378,0.041,311.000,0.594,0.049,9.000,0.017,0.044,3.000,0.006,0.088,3.000,0.006,0.065,137.000,0.261,0.041,326.000,0.622,0.046,37.000,0.071,0.060,1.000,0.002,0.016,23.000,0.044,0.065,108.000,0.206,0.042,334.000,0.637,0.045,43.000,0.082,0.054,4.000,0.008,0.044,35.000,0.067,0.071
CIUDAD DE MÉXICO,129.000,0.152,0.062,561.000,0.660,0.072,101.000,0.119,0.104,17.000,0.020,0.165,42.000,0.049,0.080,167.000,0.196,0.062,557.000,0.655,0.073,96.000,0.113,0.124,7.000,0.008,0.089,23.000,0.027,0.087,190.000,0.224,0.061,560.000,0.659,0.076,72.000,0.085,0.114,8.000,0.009,0.089,20.000,0.024,0.100,242.000,0.285,0.069,528.000,0.621,0.073,63.000,0.074,0.130,6.000,0.007,0.092,11.000,0.013,0.077,169.000,0.199,0.067,569.000,0.669,0.073,72.000,0.085,0.117,6.000,0.007,0.103,34.000,0.040,0.081,298.000,0.351,0.074,495.000,0.582,0.074,40.000,0.047,0.080,5.000,0.006,0.067,12.000,0.014,0.086,338.000,0.398,0.071,489.000,0.575,0.077,18.000,0.021,0.089,1.000,0.001,0.029,4.000,0.005,0.087,201.000,0.236,0.060,535.000,0.629,0.076,70.000,0.082,0.114,9.000,0.011,0.143,35.000,0.041,0.098,158.000,0.186,0.061,537.000,0.632,0.072,91.000,0.107,0.114,15.000,0.018,0.165,49.000,0.058,0.099
COAHUILA,51.000,0.256,0.024,130.000,0.653,0.017,12.000,0.060,0.012,1.000,0.005,0.010,5.000,0.025,0.009,55.000,0.276,0.020,125.000,0.628,0.016,14.000,0.070,0.018,2.000,0.010,0.025,3.000,0.015,0.011,63.000,0.317,0.020,117.000,0.588,0.016,13.000,0.065,0.021,1.000,0.005,0.011,5.000,0.025,0.025,71.000,0.357,0.020,111.000,0.558,0.015,13.000,0.065,0.027,0.000,0.000,0.000,4.000,0.020,0.028,56.000,0.281,0.022,128.000,0.643,0.016,10.000,0.050,0.016,0.000,0.000,0.000,5.000,0.025,0.012,69.000,0.347,0.017,116.000,0.583,0.017,10.000,0.050,0.020,4.000,0.020,0.053,0.000,0.000,0.000,76.000,0.382,0.016,116.000,0.583,0.018,7.000,0.035,0.034,0.000,0.000,0.000,0.000,0.000,0.000,62.000,0.312,0.019,120.000,0.603,0.017,11.000,0.055,0.018,2.000,0.010,0.032,4.000,0.020,0.011,52.000,0.261,0.020,123.000,0.618,0.016,14.000,0.070,0.018,4.000,0.020,0.044,6.000,0.030,0.012
COLIMA,108.000,0.216,0.052,324.000,0.647,0.042,36.000,0.072,0.037,8.000,0.016,0.078,25.000,0.050,0.047,132.000,0.263,0.049,327.000,0.653,0.043,27.000,0.054,0.035,5.000,0.010,0.063,10.000,0.020,0.038,143.000,0.285,0.046,328.000,0.655,0.044,19.000,0.038,0.030,5.000,0.010,0.056,6.000,0.012,0.030,177.000,0.353,0.050,300.000,0.599,0.042,15.000,0.030,0.031,3.000,0.006,0.046,6.000,0.012,0.042,134.000,0.267,0.053,321.000,0.641,0.041,26.000,0.052,0.042,5.000,0.010,0.086,15.000,0.030,0.036,184.000,0.367,0.046,289.000,0.577,0.043,17.000,0.034,0.034,5.000,0.010,0.067,6.000,0.012,0.043,227.000,0.453,0.048,263.000,0.525,0.041,6.000,0.012,0.030,3.000,0.006,0.088,2.000,0.004,0.043,168.000,0.335,0.050,290.000,0.579,0.041,22.000,0.044,0.036,5.000,0.010,0.079,16.000,0.032,0.045,135.000,0.269,0.052,310.000,0.619,0.042,26.000,0.052,0.033,5.000,0.010,0.055,25.000,0.050,0.051
DURANGO,75.000,0.202,0.036,241.000,0.650,0.031,38.000,0.102,0.039,4.000,0.011,0.039,13.000,0.035,0.025,98.000,0.264,0.036,251.000,0.677,0.033,17.000,0.046,0.022,3.000,0.008,0.038,2.000,0.005,0.008,112.000,0.302,0.036,236.000,0.636,0.032,15.000,0.040,0.024,4.000,0.011,0.044,4.000,0.011,0.020,126.000,0.340,0.036,232.000,0.625,0.032,11.000,0.030,0.023,0.000,0.000,0.000,2.000,0.005,0.014,85.000,0.229,0.033,255.000,0.687,0.033,20.000,0.054,0.032,0.000,0.000,0.000,11.000,0.030,0.026,139.000,0.375,0.034,209.000,0.563,0.031,16.000,0.043,0.032,1.000,0.003,0.013,6.000,0.016,0.043,163.000,0.439,0.034,201.000,0.542,0.032,6.000,0.016,0.030,0.000,0.000,0.000,1.000,0.003,0.022,108.000,0.291,0.032,237.000,0.639,0.034,17.000,0.046,0.028,1.000,0.003,0.016,8.000,0.022,0.022,95.000,0.256,0.037,232.000,0.625,0.031,29.000,0.078,0.036,3.000,0.008,0.033,12.000,0.032,0.024
