Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
AGUASCALIENTES,207.00,0.36,0.06,321.00,0.56,0.05,41.00,0.07,0.05,1.00,0.00,0.02,205.00,0.36,0.06,322.00,0.57,0.05,41.00,0.07,0.06,2.00,0.00,0.05,215.00,0.38,0.05,288.00,0.51,0.05,58.00,0.10,0.05,9.00,0.02,0.04,231.00,0.41,0.05,306.00,0.54,0.05,32.00,0.06,0.05,1.00,0.00,0.02,222.00,0.39,0.05,299.00,0.53,0.05,43.00,0.08,0.05,6.00,0.01,0.06,248.00,0.44,0.05,291.00,0.51,0.05,30.00,0.05,0.05,1.00,0.00,0.01,219.00,0.38,0.05,305.00,0.54,0.05,44.00,0.08,0.06,2.00,0.00,0.03,188.00,0.33,0.05,322.00,0.57,0.05,54.00,0.10,0.05,6.00,0.01,0.06
BAJA CALIFORNIA,26.00,0.27,0.01,64.00,0.67,0.01,5.00,0.05,0.01,1.00,0.01,0.02,33.00,0.34,0.01,57.00,0.59,0.01,5.00,0.05,0.01,1.00,0.01,0.03,35.00,0.37,0.01,50.00,0.52,0.01,8.00,0.08,0.01,3.00,0.03,0.01,41.00,0.43,0.01,49.00,0.51,0.01,5.00,0.05,0.01,1.00,0.01,0.02,37.00,0.39,0.01,54.00,0.56,0.01,4.00,0.04,0.01,1.00,0.01,0.01,38.00,0.40,0.01,52.00,0.54,0.01,5.00,0.05,0.01,1.00,0.01,0.01,39.00,0.41,0.01,54.00,0.56,0.01,2.00,0.02,0.00,1.00,0.01,0.02,30.00,0.31,0.01,58.00,0.60,0.01,7.00,0.07,0.01,1.00,0.01,0.01
BAJA CALIFORNIA SUR,253.00,0.37,0.07,384.00,0.56,0.06,51.00,0.07,0.06,3.00,0.00,0.07,264.00,0.38,0.07,390.00,0.56,0.06,37.00,0.05,0.05,0.00,0.00,0.00,278.00,0.40,0.07,333.00,0.48,0.06,68.00,0.10,0.05,12.00,0.02,0.05,293.00,0.42,0.06,354.00,0.51,0.06,43.00,0.06,0.06,1.00,0.00,0.02,279.00,0.40,0.06,361.00,0.52,0.06,48.00,0.07,0.06,3.00,0.00,0.03,298.00,0.43,0.06,354.00,0.51,0.06,38.00,0.06,0.07,1.00,0.00,0.01,281.00,0.41,0.07,369.00,0.53,0.06,39.00,0.06,0.06,2.00,0.00,0.03,257.00,0.37,0.07,380.00,0.55,0.06,52.00,0.08,0.05,2.00,0.00,0.02
CAMPECHE,80.00,0.26,0.02,204.00,0.66,0.03,24.00,0.08,0.03,3.00,0.01,0.07,80.00,0.26,0.02,211.00,0.68,0.03,20.00,0.06,0.03,0.00,0.00,0.00,81.00,0.26,0.02,195.00,0.63,0.03,33.00,0.11,0.03,2.00,0.01,0.01,91.00,0.29,0.02,205.00,0.66,0.03,14.00,0.05,0.02,1.00,0.00,0.02,83.00,0.27,0.02,210.00,0.68,0.03,16.00,0.05,0.02,2.00,0.01,0.02,97.00,0.31,0.02,199.00,0.64,0.03,13.00,0.04,0.02,2.00,0.01,0.02,82.00,0.26,0.02,212.00,0.68,0.03,17.00,0.06,0.02,0.00,0.00,0.00,67.00,0.22,0.02,216.00,0.70,0.03,27.00,0.09,0.03,1.00,0.00,0.01
CHIAPAS,17.00,0.17,0.00,67.00,0.67,0.01,16.00,0.16,0.02,0.00,0.00,0.00,18.00,0.18,0.01,70.00,0.70,0.01,12.00,0.12,0.02,0.00,0.00,0.00,20.00,0.20,0.01,49.00,0.49,0.01,23.00,0.23,0.02,8.00,0.08,0.03,25.00,0.25,0.01,64.00,0.64,0.01,9.00,0.09,0.01,2.00,0.02,0.03,23.00,0.23,0.01,60.00,0.60,0.01,14.00,0.14,0.02,3.00,0.03,0.03,27.00,0.27,0.01,62.00,0.62,0.01,10.00,0.10,0.02,1.00,0.01,0.01,16.00,0.16,0.00,69.00,0.69,0.01,15.00,0.15,0.02,0.00,0.00,0.00,15.00,0.15,0.00,73.00,0.73,0.01,11.00,0.11,0.01,1.00,0.01,0.01
CHIHUAHUA,148.00,0.28,0.04,328.00,0.62,0.05,47.00,0.09,0.06,3.00,0.01,0.07,159.00,0.30,0.04,333.00,0.63,0.05,30.00,0.06,0.04,4.00,0.01,0.10,171.00,0.33,0.04,285.00,0.54,0.05,56.00,0.11,0.05,14.00,0.03,0.06,192.00,0.37,0.04,303.00,0.58,0.05,25.00,0.05,0.04,6.00,0.01,0.09,172.00,0.33,0.04,311.00,0.59,0.05,34.00,0.07,0.04,9.00,0.02,0.09,198.00,0.38,0.04,294.00,0.56,0.05,28.00,0.05,0.05,6.00,0.01,0.07,184.00,0.35,0.04,312.00,0.59,0.05,27.00,0.05,0.04,3.00,0.01,0.05,155.00,0.30,0.04,322.00,0.61,0.05,45.00,0.09,0.05,4.00,0.01,0.04
CIUDAD DE MÉXICO,223.00,0.26,0.06,555.00,0.65,0.08,74.00,0.09,0.09,3.00,0.00,0.07,221.00,0.26,0.06,549.00,0.64,0.08,84.00,0.10,0.12,1.00,0.00,0.03,245.00,0.29,0.06,464.00,0.54,0.08,119.00,0.14,0.10,27.00,0.03,0.12,290.00,0.34,0.06,472.00,0.55,0.08,83.00,0.10,0.12,10.00,0.01,0.15,271.00,0.32,0.06,471.00,0.55,0.08,104.00,0.12,0.12,9.00,0.01,0.09,280.00,0.33,0.06,497.00,0.58,0.08,67.00,0.08,0.12,11.00,0.01,0.13,240.00,0.28,0.06,541.00,0.63,0.08,68.00,0.08,0.10,6.00,0.01,0.10,211.00,0.25,0.06,538.00,0.63,0.08,94.00,0.11,0.09,12.00,0.01,0.12
COAHUILA,84.00,0.43,0.02,104.00,0.53,0.02,8.00,0.04,0.01,1.00,0.01,0.02,79.00,0.40,0.02,109.00,0.55,0.02,7.00,0.04,0.01,2.00,0.01,0.05,82.00,0.42,0.02,97.00,0.49,0.02,16.00,0.08,0.01,2.00,0.01,0.01,84.00,0.43,0.02,105.00,0.53,0.02,7.00,0.04,0.01,1.00,0.01,0.02,91.00,0.46,0.02,98.00,0.50,0.02,7.00,0.04,0.01,1.00,0.01,0.01,91.00,0.46,0.02,101.00,0.51,0.02,3.00,0.02,0.01,2.00,0.01,0.02,80.00,0.41,0.02,109.00,0.55,0.02,7.00,0.04,0.01,1.00,0.01,0.02,78.00,0.40,0.02,109.00,0.55,0.02,9.00,0.05,0.01,1.00,0.01,0.01
COLIMA,214.00,0.43,0.06,257.00,0.51,0.04,28.00,0.06,0.03,1.00,0.00,0.02,219.00,0.44,0.06,266.00,0.53,0.04,14.00,0.03,0.02,1.00,0.00,0.03,224.00,0.45,0.06,225.00,0.45,0.04,45.00,0.09,0.04,6.00,0.01,0.03,233.00,0.47,0.05,237.00,0.47,0.04,29.00,0.06,0.04,1.00,0.00,0.02,227.00,0.45,0.05,240.00,0.48,0.04,28.00,0.06,0.03,5.00,0.01,0.05,243.00,0.49,0.05,235.00,0.47,0.04,19.00,0.04,0.03,3.00,0.01,0.04,223.00,0.45,0.05,256.00,0.51,0.04,20.00,0.04,0.03,1.00,0.00,0.02,193.00,0.39,0.05,265.00,0.53,0.04,36.00,0.07,0.04,6.00,0.01,0.06
DURANGO,104.00,0.28,0.03,239.00,0.64,0.04,26.00,0.07,0.03,2.00,0.01,0.05,99.00,0.27,0.03,243.00,0.66,0.04,27.00,0.07,0.04,2.00,0.01,0.05,139.00,0.38,0.03,183.00,0.49,0.03,38.00,0.10,0.03,11.00,0.03,0.05,146.00,0.39,0.03,199.00,0.54,0.03,23.00,0.06,0.03,3.00,0.01,0.05,140.00,0.38,0.03,198.00,0.53,0.03,29.00,0.08,0.03,4.00,0.01,0.04,160.00,0.43,0.03,185.00,0.50,0.03,23.00,0.06,0.04,3.00,0.01,0.04,133.00,0.36,0.03,208.00,0.56,0.03,29.00,0.08,0.04,1.00,0.00,0.02,120.00,0.32,0.03,210.00,0.57,0.03,39.00,0.11,0.04,2.00,0.01,0.02
ESTADO DE MÉXICO,170.00,0.34,0.05,290.00,0.58,0.04,35.00,0.07,0.04,2.00,0.00,0.05,150.00,0.30,0.04,312.00,0.63,0.05,34.00,0.07,0.05,1.00,0.00,0.03,180.00,0.36,0.04,252.00,0.51,0.04,54.00,0.11,0.04,11.00,0.02,0.05,193.00,0.39,0.04,281.00,0.57,0.05,21.00,0.04,0.03,2.00,0.00,0.03,189.00,0.38,0.04,269.00,0.54,0.04,33.00,0.07,0.04,6.00,0.01,0.06,188.00,0.38,0.04,282.00,0.57,0.05,21.00,0.04,0.04,6.00,0.01,0.07,176.00,0.35,0.04,290.00,0.58,0.05,27.00,0.05,0.04,4.00,0.01,0.06,159.00,0.32,0.05,290.00,0.58,0.04,45.00,0.09,0.05,3.00,0.01,0.03
GUANAJUATO,150.00,0.40,0.04,206.00,0.56,0.03,15.00,0.04,0.02,0.00,0.00,0.00,145.00,0.39,0.04,215.00,0.58,0.03,11.00,0.03,0.02,0.00,0.00,0.00,160.00,0.43,0.04,170.00,0.46,0.03,36.00,0.10,0.03,5.00,0.01,0.02,163.00,0.44,0.04,192.00,0.52,0.03,16.00,0.04,0.02,0.00,0.00,0.00,162.00,0.44,0.04,188.00,0.51,0.03,20.00,0.05,0.02,1.00,0.00,0.01,167.00,0.45,0.04,194.00,0.52,0.03,9.00,0.02,0.02,1.00,0.00,0.01,155.00,0.42,0.04,204.00,0.55,0.03,12.00,0.03,0.02,0.00,0.00,0.00,130.00,0.35,0.04,215.00,0.58,0.03,24.00,0.07,0.02,2.00,0.01,0.02
