Entidad,B3-A-Formar parte de alguna red de docentes/directores-Recuento,B3-A-Formar parte de alguna red de docentes/directores-% del N de fila,B3-A-Formar parte de alguna red de docentes/directores-% de N columnas,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-B-Formar parte de alguna red de docentes/directores-Recuento,B3-B-Formar parte de alguna red de docentes/directores-% del N de fila,B3-B-Formar parte de alguna red de docentes/directores-% de N columnas,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-C-Formar parte de alguna red de docentes/directores-Recuento,B3-C-Formar parte de alguna red de docentes/directores-% del N de fila,B3-C-Formar parte de alguna red de docentes/directores-% de N columnas,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-D-Formar parte de alguna red de docentes/directores-Recuento,B3-D-Formar parte de alguna red de docentes/directores-% del N de fila,B3-D-Formar parte de alguna red de docentes/directores-% de N columnas,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-E-Formar parte de alguna red de docentes/directores-Recuento,B3-E-Formar parte de alguna red de docentes/directores-% del N de fila,B3-E-Formar parte de alguna red de docentes/directores-% de N columnas,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-F-Formar parte de alguna red de docentes/directores-Recuento,B3-F-Formar parte de alguna red de docentes/directores-% del N de fila,B3-F-Formar parte de alguna red de docentes/directores-% de N columnas,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas
BAJA CALIFORNIA SUR,126.00,0.18,0.07,156.00,0.23,0.05,99.00,0.14,0.05,102.00,0.15,0.07,34.00,0.05,0.04,174.00,0.25,0.07,78.00,0.11,0.07,143.00,0.21,0.06,145.00,0.21,0.06,121.00,0.18,0.07,101.00,0.15,0.06,103.00,0.15,0.05,103.00,0.15,0.07,94.00,0.14,0.06,118.00,0.17,0.06,137.00,0.20,0.06,116.00,0.17,0.06,123.00,0.18,0.06,114.00,0.17,0.06,106.00,0.15,0.07,104.00,0.15,0.06,118.00,0.17,0.05,134.00,0.19,0.06,115.00,0.17,0.07,99.00,0.14,0.05,103.00,0.15,0.07,121.00,0.18,0.07,118.00,0.17,0.05,163.00,0.24,0.07,87.00,0.13,0.06,170.00,0.25,0.05,89.00,0.13,0.07,104.00,0.15,0.06,95.00,0.14,0.06,143.00,0.21,0.07,89.00,0.13,0.06
CAMPECHE,50.00,0.16,0.03,87.00,0.28,0.03,51.00,0.16,0.03,41.00,0.13,0.03,19.00,0.06,0.02,63.00,0.20,0.02,45.00,0.15,0.04,70.00,0.23,0.03,59.00,0.19,0.02,53.00,0.17,0.03,41.00,0.13,0.03,43.00,0.14,0.02,36.00,0.12,0.02,35.00,0.11,0.02,54.00,0.17,0.03,55.00,0.18,0.03,64.00,0.21,0.03,67.00,0.22,0.03,47.00,0.15,0.03,41.00,0.13,0.03,44.00,0.14,0.03,59.00,0.19,0.03,61.00,0.20,0.03,59.00,0.19,0.03,46.00,0.15,0.03,39.00,0.13,0.02,54.00,0.17,0.03,63.00,0.20,0.03,68.00,0.22,0.03,41.00,0.13,0.03,87.00,0.28,0.03,39.00,0.13,0.03,49.00,0.16,0.03,40.00,0.13,0.03,58.00,0.19,0.03,38.00,0.12,0.03
CHIAPAS,17.00,0.17,0.01,26.00,0.26,0.01,21.00,0.21,0.01,11.00,0.11,0.01,6.00,0.06,0.01,19.00,0.19,0.01,7.00,0.07,0.01,17.00,0.17,0.01,22.00,0.22,0.01,17.00,0.17,0.01,15.00,0.15,0.01,22.00,0.22,0.01,6.00,0.06,0.00,17.00,0.17,0.01,19.00,0.19,0.01,16.00,0.16,0.01,18.00,0.18,0.01,24.00,0.24,0.01,18.00,0.18,0.01,17.00,0.17,0.01,9.00,0.09,0.01,24.00,0.24,0.01,23.00,0.23,0.01,9.00,0.09,0.01,17.00,0.17,0.01,14.00,0.14,0.01,14.00,0.14,0.01,21.00,0.21,0.01,22.00,0.22,0.01,12.00,0.12,0.01,35.00,0.35,0.01,9.00,0.09,0.01,15.00,0.15,0.01,11.00,0.11,0.01,16.00,0.16,0.01,14.00,0.14,0.01
CHIHUAHUA,95.00,0.18,0.06,134.00,0.26,0.05,88.00,0.17,0.05,71.00,0.14,0.05,39.00,0.07,0.05,98.00,0.19,0.04,65.00,0.12,0.06,121.00,0.23,0.05,102.00,0.19,0.04,65.00,0.12,0.04,74.00,0.14,0.05,98.00,0.19,0.05,66.00,0.13,0.04,73.00,0.14,0.05,84.00,0.16,0.05,117.00,0.22,0.05,78.00,0.15,0.04,107.00,0.20,0.05,95.00,0.18,0.05,69.00,0.13,0.05,64.00,0.12,0.04,107.00,0.20,0.05,110.00,0.21,0.05,80.00,0.15,0.05,79.00,0.15,0.04,77.00,0.15,0.05,87.00,0.17,0.05,93.00,0.18,0.04,112.00,0.21,0.05,77.00,0.15,0.05,125.00,0.24,0.04,51.00,0.10,0.04,100.00,0.19,0.06,72.00,0.14,0.05,112.00,0.21,0.05,65.00,0.12,0.05
CIUDAD DE MÉXICO,141.00,0.17,0.08,240.00,0.28,0.08,129.00,0.15,0.07,79.00,0.09,0.06,61.00,0.07,0.08,205.00,0.24,0.08,82.00,0.10,0.07,207.00,0.24,0.08,191.00,0.22,0.08,112.00,0.13,0.06,113.00,0.13,0.07,150.00,0.18,0.08,94.00,0.11,0.06,119.00,0.14,0.07,147.00,0.17,0.08,175.00,0.21,0.08,148.00,0.17,0.07,172.00,0.20,0.08,130.00,0.15,0.07,101.00,0.12,0.07,145.00,0.17,0.09,178.00,0.21,0.08,194.00,0.23,0.08,106.00,0.12,0.06,121.00,0.14,0.07,118.00,0.14,0.07,130.00,0.15,0.07,178.00,0.21,0.08,192.00,0.23,0.08,114.00,0.13,0.08,286.00,0.34,0.09,69.00,0.08,0.06,113.00,0.13,0.07,133.00,0.16,0.08,145.00,0.17,0.07,107.00,0.13,0.08
COAHUILA,42.00,0.21,0.02,36.00,0.18,0.01,29.00,0.15,0.02,26.00,0.13,0.02,18.00,0.09,0.02,46.00,0.23,0.02,21.00,0.11,0.02,43.00,0.22,0.02,40.00,0.20,0.02,30.00,0.15,0.02,31.00,0.16,0.02,32.00,0.16,0.02,23.00,0.12,0.02,29.00,0.15,0.02,32.00,0.16,0.02,37.00,0.19,0.02,41.00,0.21,0.02,35.00,0.18,0.02,27.00,0.14,0.01,32.00,0.16,0.02,26.00,0.13,0.02,38.00,0.19,0.02,36.00,0.18,0.02,37.00,0.19,0.02,37.00,0.19,0.02,36.00,0.18,0.02,31.00,0.16,0.02,40.00,0.20,0.02,36.00,0.18,0.01,16.00,0.08,0.01,47.00,0.24,0.01,21.00,0.11,0.02,38.00,0.19,0.02,25.00,0.13,0.02,35.00,0.18,0.02,30.00,0.15,0.02
COLIMA,68.00,0.14,0.04,133.00,0.27,0.04,57.00,0.11,0.03,74.00,0.15,0.05,35.00,0.07,0.04,133.00,0.27,0.05,44.00,0.09,0.04,97.00,0.19,0.04,111.00,0.22,0.05,75.00,0.15,0.04,92.00,0.18,0.06,81.00,0.16,0.04,59.00,0.12,0.04,73.00,0.15,0.05,98.00,0.20,0.05,92.00,0.18,0.04,103.00,0.21,0.05,75.00,0.15,0.03,89.00,0.18,0.05,66.00,0.13,0.05,69.00,0.14,0.04,96.00,0.19,0.04,99.00,0.20,0.04,81.00,0.16,0.05,89.00,0.18,0.05,69.00,0.14,0.04,93.00,0.19,0.05,97.00,0.19,0.04,92.00,0.18,0.04,60.00,0.12,0.04,151.00,0.30,0.05,62.00,0.12,0.05,72.00,0.14,0.04,66.00,0.13,0.04,79.00,0.16,0.04,70.00,0.14,0.05
DURANGO,48.00,0.13,0.03,95.00,0.26,0.03,68.00,0.18,0.04,33.00,0.09,0.02,26.00,0.07,0.03,101.00,0.27,0.04,43.00,0.12,0.04,70.00,0.19,0.03,88.00,0.24,0.04,65.00,0.18,0.04,46.00,0.12,0.03,59.00,0.16,0.03,39.00,0.11,0.03,61.00,0.16,0.04,54.00,0.15,0.03,61.00,0.16,0.03,79.00,0.21,0.04,77.00,0.21,0.04,57.00,0.15,0.03,46.00,0.12,0.03,55.00,0.15,0.03,78.00,0.21,0.03,82.00,0.22,0.04,53.00,0.14,0.03,63.00,0.17,0.03,56.00,0.15,0.04,54.00,0.15,0.03,80.00,0.22,0.04,65.00,0.18,0.03,53.00,0.14,0.04,121.00,0.33,0.04,43.00,0.12,0.04,52.00,0.14,0.03,54.00,0.15,0.03,73.00,0.20,0.04,28.00,0.08,0.02
ESTADO DE MÉXICO,75.00,0.15,0.04,127.00,0.26,0.04,102.00,0.21,0.05,63.00,0.13,0.05,38.00,0.08,0.05,92.00,0.19,0.04,48.00,0.10,0.04,120.00,0.24,0.05,96.00,0.19,0.04,90.00,0.18,0.05,72.00,0.15,0.05,71.00,0.14,0.04,68.00,0.14,0.05,68.00,0.14,0.04,78.00,0.16,0.04,88.00,0.18,0.04,88.00,0.18,0.04,107.00,0.22,0.05,91.00,0.18,0.05,65.00,0.13,0.04,70.00,0.14,0.04,88.00,0.18,0.04,111.00,0.22,0.05,72.00,0.15,0.04,88.00,0.18,0.05,70.00,0.14,0.04,74.00,0.15,0.04,94.00,0.19,0.04,103.00,0.21,0.04,68.00,0.14,0.05,127.00,0.26,0.04,47.00,0.10,0.04,77.00,0.16,0.04,74.00,0.15,0.05,85.00,0.17,0.04,87.00,0.18,0.06
GUANAJUATO,48.00,0.13,0.03,111.00,0.30,0.04,64.00,0.17,0.03,41.00,0.11,0.03,22.00,0.06,0.03,85.00,0.23,0.03,31.00,0.08,0.03,72.00,0.19,0.03,89.00,0.24,0.04,65.00,0.18,0.04,52.00,0.14,0.03,62.00,0.17,0.03,43.00,0.12,0.03,59.00,0.16,0.04,54.00,0.15,0.03,64.00,0.17,0.03,75.00,0.20,0.04,76.00,0.21,0.04,62.00,0.17,0.03,43.00,0.12,0.03,49.00,0.13,0.03,81.00,0.22,0.04,83.00,0.22,0.04,53.00,0.14,0.03,72.00,0.19,0.04,43.00,0.12,0.03,66.00,0.18,0.04,63.00,0.17,0.03,75.00,0.20,0.03,52.00,0.14,0.04,115.00,0.31,0.04,43.00,0.12,0.04,49.00,0.13,0.03,57.00,0.15,0.04,64.00,0.17,0.03,43.00,0.12,0.03
