Entidad,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
AGUASCALIENTES,312.00,0.55,0.05,197.00,0.34,0.06,62.00,0.11,0.04,2.00,0.00,0.03,340.00,0.59,0.05,199.00,0.35,0.05,34.00,0.06,0.04,0.00,0.00,0.00,70.00,0.12,0.05,77.00,0.13,0.05,241.00,0.42,0.05,185.00,0.32,0.05,265.00,0.46,0.05,221.00,0.39,0.05,81.00,0.14,0.05,6.00,0.01,0.06,279.00,0.49,0.05,219.00,0.38,0.05,71.00,0.12,0.05,4.00,0.01,0.04,62.00,0.11,0.05,94.00,0.16,0.05,190.00,0.33,0.04,227.00,0.40,0.06,262.00,0.46,0.05,221.00,0.39,0.05,81.00,0.14,0.05,9.00,0.02,0.04,241.00,0.42,0.05,235.00,0.41,0.05,93.00,0.16,0.06,4.00,0.01,0.03,264.00,0.46,0.05,251.00,0.44,0.05,55.00,0.10,0.05,3.00,0.01,0.04,289.00,0.50,0.05,222.00,0.39,0.05,61.00,0.11,0.05,1.00,0.00,0.01,278.00,0.49,0.05,226.00,0.39,0.05,65.00,0.11,0.05,4.00,0.01,0.03
BAJA CALIFORNIA,65.00,0.64,0.01,28.00,0.28,0.01,8.00,0.08,0.01,0.00,0.00,0.00,71.00,0.70,0.01,29.00,0.29,0.01,1.00,0.01,0.00,0.00,0.00,0.00,11.00,0.11,0.01,7.00,0.07,0.00,42.00,0.42,0.01,41.00,0.41,0.01,57.00,0.56,0.01,34.00,0.34,0.01,10.00,0.10,0.01,0.00,0.00,0.00,55.00,0.55,0.01,39.00,0.39,0.01,7.00,0.07,0.01,0.00,0.00,0.00,9.00,0.09,0.01,14.00,0.14,0.01,39.00,0.39,0.01,39.00,0.39,0.01,51.00,0.51,0.01,39.00,0.39,0.01,11.00,0.11,0.01,0.00,0.00,0.00,55.00,0.55,0.01,37.00,0.37,0.01,9.00,0.09,0.01,0.00,0.00,0.00,51.00,0.51,0.01,42.00,0.42,0.01,6.00,0.06,0.01,2.00,0.02,0.03,60.00,0.59,0.01,37.00,0.37,0.01,4.00,0.04,0.00,0.00,0.00,0.00,55.00,0.55,0.01,39.00,0.39,0.01,7.00,0.07,0.01,0.00,0.00,0.00
BAJA CALIFORNIA SUR,409.00,0.59,0.06,222.00,0.32,0.06,58.00,0.08,0.04,2.00,0.00,0.03,449.00,0.65,0.07,220.00,0.32,0.06,21.00,0.03,0.03,1.00,0.00,0.03,82.00,0.12,0.05,76.00,0.11,0.05,328.00,0.48,0.07,205.00,0.30,0.06,347.00,0.50,0.06,276.00,0.40,0.07,66.00,0.10,0.04,2.00,0.00,0.02,302.00,0.44,0.06,314.00,0.45,0.07,73.00,0.11,0.05,2.00,0.00,0.02,62.00,0.09,0.05,108.00,0.16,0.06,269.00,0.39,0.06,252.00,0.37,0.06,312.00,0.45,0.06,307.00,0.44,0.07,68.00,0.10,0.04,4.00,0.01,0.02,277.00,0.40,0.06,337.00,0.49,0.07,73.00,0.11,0.04,4.00,0.01,0.03,300.00,0.43,0.05,332.00,0.48,0.07,58.00,0.08,0.05,1.00,0.00,0.01,348.00,0.50,0.06,299.00,0.43,0.07,42.00,0.06,0.04,2.00,0.00,0.02,339.00,0.49,0.06,297.00,0.43,0.07,52.00,0.08,0.04,3.00,0.00,0.02
CAMPECHE,155.00,0.50,0.02,106.00,0.34,0.03,51.00,0.16,0.04,0.00,0.00,0.00,177.00,0.57,0.03,112.00,0.36,0.03,23.00,0.07,0.03,0.00,0.00,0.00,47.00,0.15,0.03,44.00,0.14,0.03,136.00,0.44,0.03,85.00,0.27,0.03,139.00,0.45,0.03,114.00,0.37,0.03,55.00,0.18,0.03,4.00,0.01,0.04,121.00,0.39,0.02,147.00,0.47,0.03,42.00,0.14,0.03,2.00,0.01,0.02,33.00,0.11,0.03,53.00,0.17,0.03,118.00,0.38,0.03,108.00,0.35,0.03,121.00,0.39,0.02,132.00,0.42,0.03,51.00,0.16,0.03,8.00,0.03,0.04,115.00,0.37,0.02,143.00,0.46,0.03,49.00,0.16,0.03,5.00,0.02,0.04,143.00,0.46,0.03,138.00,0.44,0.03,30.00,0.10,0.03,1.00,0.00,0.01,145.00,0.47,0.03,133.00,0.43,0.03,32.00,0.10,0.03,2.00,0.01,0.02,138.00,0.44,0.03,140.00,0.45,0.03,30.00,0.10,0.02,4.00,0.01,0.03
CHIAPAS,43.00,0.43,0.01,36.00,0.36,0.01,22.00,0.22,0.02,0.00,0.00,0.00,49.00,0.49,0.01,39.00,0.39,0.01,13.00,0.13,0.02,0.00,0.00,0.00,10.00,0.10,0.01,12.00,0.12,0.01,53.00,0.53,0.01,26.00,0.26,0.01,36.00,0.36,0.01,32.00,0.32,0.01,33.00,0.33,0.02,0.00,0.00,0.00,30.00,0.30,0.01,46.00,0.46,0.01,24.00,0.24,0.02,1.00,0.01,0.01,3.00,0.03,0.00,11.00,0.11,0.01,50.00,0.50,0.01,37.00,0.37,0.01,33.00,0.33,0.01,47.00,0.47,0.01,19.00,0.19,0.01,2.00,0.02,0.01,37.00,0.37,0.01,46.00,0.46,0.01,18.00,0.18,0.01,0.00,0.00,0.00,46.00,0.46,0.01,40.00,0.40,0.01,15.00,0.15,0.01,0.00,0.00,0.00,48.00,0.48,0.01,36.00,0.36,0.01,16.00,0.16,0.01,1.00,0.01,0.01,40.00,0.40,0.01,46.00,0.46,0.01,14.00,0.14,0.01,1.00,0.01,0.01
CHIHUAHUA,303.00,0.58,0.05,151.00,0.29,0.04,70.00,0.13,0.05,2.00,0.00,0.03,285.00,0.54,0.04,198.00,0.38,0.05,42.00,0.08,0.05,1.00,0.00,0.03,98.00,0.19,0.06,100.00,0.19,0.06,200.00,0.38,0.04,128.00,0.24,0.04,268.00,0.51,0.05,180.00,0.34,0.04,73.00,0.14,0.04,5.00,0.01,0.05,243.00,0.46,0.05,212.00,0.40,0.05,68.00,0.13,0.05,3.00,0.01,0.03,71.00,0.14,0.06,103.00,0.20,0.06,200.00,0.38,0.05,152.00,0.29,0.04,231.00,0.44,0.05,218.00,0.41,0.05,66.00,0.13,0.04,11.00,0.02,0.05,211.00,0.40,0.04,233.00,0.44,0.05,76.00,0.14,0.05,6.00,0.01,0.04,246.00,0.47,0.04,221.00,0.42,0.05,55.00,0.11,0.05,4.00,0.01,0.06,266.00,0.51,0.05,203.00,0.39,0.05,53.00,0.10,0.05,4.00,0.01,0.05,262.00,0.50,0.05,195.00,0.37,0.04,64.00,0.12,0.05,5.00,0.01,0.04
CIUDAD DE MÉXICO,354.00,0.41,0.06,319.00,0.37,0.09,168.00,0.20,0.12,14.00,0.02,0.21,395.00,0.46,0.06,361.00,0.42,0.10,93.00,0.11,0.12,6.00,0.01,0.17,129.00,0.15,0.08,190.00,0.22,0.11,404.00,0.47,0.08,132.00,0.15,0.04,254.00,0.30,0.05,348.00,0.41,0.08,238.00,0.28,0.14,15.00,0.02,0.14,286.00,0.34,0.05,387.00,0.45,0.09,168.00,0.20,0.12,14.00,0.02,0.14,78.00,0.09,0.06,181.00,0.21,0.10,383.00,0.45,0.09,213.00,0.25,0.05,267.00,0.31,0.05,355.00,0.42,0.08,214.00,0.25,0.13,19.00,0.02,0.09,239.00,0.28,0.05,392.00,0.46,0.08,207.00,0.24,0.13,17.00,0.02,0.12,298.00,0.35,0.05,414.00,0.48,0.09,135.00,0.16,0.12,8.00,0.01,0.11,315.00,0.37,0.05,388.00,0.45,0.09,140.00,0.16,0.12,12.00,0.01,0.15,283.00,0.33,0.05,350.00,0.41,0.08,202.00,0.24,0.15,20.00,0.02,0.16
COAHUILA,131.00,0.66,0.02,58.00,0.29,0.02,8.00,0.04,0.01,1.00,0.01,0.02,138.00,0.70,0.02,50.00,0.25,0.01,9.00,0.05,0.01,1.00,0.01,0.03,31.00,0.16,0.02,23.00,0.12,0.01,63.00,0.32,0.01,81.00,0.41,0.02,119.00,0.60,0.02,67.00,0.34,0.02,10.00,0.05,0.01,2.00,0.01,0.02,127.00,0.64,0.02,61.00,0.31,0.01,9.00,0.05,0.01,1.00,0.01,0.01,30.00,0.15,0.02,32.00,0.16,0.02,59.00,0.30,0.01,77.00,0.39,0.02,114.00,0.58,0.02,58.00,0.29,0.01,23.00,0.12,0.01,3.00,0.02,0.01,106.00,0.54,0.02,78.00,0.39,0.02,12.00,0.06,0.01,2.00,0.01,0.01,114.00,0.58,0.02,76.00,0.38,0.02,7.00,0.04,0.01,1.00,0.01,0.01,118.00,0.60,0.02,68.00,0.34,0.02,10.00,0.05,0.01,2.00,0.01,0.02,115.00,0.58,0.02,70.00,0.35,0.02,10.00,0.05,0.01,3.00,0.02,0.02
COLIMA,363.00,0.73,0.06,105.00,0.21,0.03,30.00,0.06,0.02,2.00,0.00,0.03,380.00,0.76,0.06,97.00,0.19,0.03,22.00,0.04,0.03,1.00,0.00,0.03,83.00,0.17,0.05,57.00,0.11,0.03,159.00,0.32,0.03,201.00,0.40,0.06,298.00,0.60,0.06,163.00,0.33,0.04,36.00,0.07,0.02,3.00,0.01,0.03,316.00,0.63,0.06,154.00,0.31,0.03,28.00,0.06,0.02,2.00,0.00,0.02,76.00,0.15,0.06,63.00,0.13,0.04,148.00,0.30,0.03,213.00,0.43,0.05,303.00,0.61,0.06,153.00,0.31,0.04,38.00,0.08,0.02,6.00,0.01,0.03,281.00,0.56,0.06,174.00,0.35,0.04,42.00,0.08,0.03,3.00,0.01,0.02,283.00,0.57,0.05,182.00,0.36,0.04,32.00,0.06,0.03,3.00,0.01,0.04,322.00,0.64,0.06,150.00,0.30,0.03,27.00,0.05,0.02,1.00,0.00,0.01,322.00,0.64,0.06,148.00,0.30,0.03,29.00,0.06,0.02,1.00,0.00,0.01
DURANGO,207.00,0.56,0.03,108.00,0.29,0.03,55.00,0.15,0.04,1.00,0.00,0.02,197.00,0.53,0.03,138.00,0.37,0.04,34.00,0.09,0.04,2.00,0.01,0.06,67.00,0.18,0.04,47.00,0.13,0.03,152.00,0.41,0.03,105.00,0.28,0.03,162.00,0.44,0.03,137.00,0.37,0.03,67.00,0.18,0.04,5.00,0.01,0.05,169.00,0.46,0.03,148.00,0.40,0.03,50.00,0.14,0.04,4.00,0.01,0.04,56.00,0.15,0.05,67.00,0.18,0.04,140.00,0.38,0.03,108.00,0.29,0.03,147.00,0.40,0.03,137.00,0.37,0.03,76.00,0.21,0.05,11.00,0.03,0.05,136.00,0.37,0.03,162.00,0.44,0.03,65.00,0.18,0.04,8.00,0.02,0.06,173.00,0.47,0.03,151.00,0.41,0.03,45.00,0.12,0.04,2.00,0.01,0.03,172.00,0.46,0.03,142.00,0.38,0.03,54.00,0.15,0.05,3.00,0.01,0.04,159.00,0.43,0.03,151.00,0.41,0.03,54.00,0.15,0.04,7.00,0.02,0.06
