Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas
AGUASCALIENTES,519.00,0.91,0.05,54.00,0.09,0.04,396.00,0.69,0.05,177.00,0.31,0.04,266.00,0.46,0.04,307.00,0.54,0.06,516.00,0.90,0.05,57.00,0.10,0.04,399.00,0.70,0.06,174.00,0.30,0.04,310.00,0.54,0.06,263.00,0.46,0.04
BAJA CALIFORNIA,92.00,0.91,0.01,9.00,0.09,0.01,61.00,0.60,0.01,40.00,0.40,0.01,68.00,0.67,0.01,33.00,0.33,0.01,92.00,0.91,0.01,9.00,0.09,0.01,82.00,0.81,0.01,19.00,0.19,0.00,52.00,0.52,0.01,49.00,0.49,0.01
BAJA CALIFORNIA SUR,641.00,0.93,0.06,50.00,0.07,0.04,512.00,0.74,0.07,179.00,0.26,0.05,422.00,0.61,0.06,269.00,0.39,0.06,636.00,0.92,0.06,55.00,0.08,0.04,541.00,0.78,0.08,150.00,0.22,0.03,431.00,0.62,0.09,260.00,0.38,0.04
CAMPECHE,253.00,0.81,0.03,59.00,0.19,0.05,207.00,0.66,0.03,105.00,0.34,0.03,149.00,0.48,0.02,163.00,0.52,0.03,259.00,0.83,0.03,53.00,0.17,0.04,144.00,0.46,0.02,168.00,0.54,0.04,81.00,0.26,0.02,231.00,0.74,0.04
CHIAPAS,73.00,0.72,0.01,28.00,0.28,0.02,52.00,0.52,0.01,49.00,0.49,0.01,66.00,0.65,0.01,35.00,0.35,0.01,82.00,0.81,0.01,19.00,0.19,0.01,17.00,0.17,0.00,84.00,0.83,0.02,5.00,0.05,0.00,96.00,0.95,0.02
CHIHUAHUA,477.00,0.91,0.05,49.00,0.09,0.04,366.00,0.70,0.05,160.00,0.30,0.04,343.00,0.65,0.05,183.00,0.35,0.04,471.00,0.90,0.05,55.00,0.11,0.04,341.00,0.65,0.05,185.00,0.35,0.04,280.00,0.53,0.06,246.00,0.47,0.04
CIUDAD DE MÉXICO,728.00,0.85,0.07,127.00,0.15,0.10,492.00,0.58,0.07,363.00,0.43,0.09,334.00,0.39,0.05,521.00,0.61,0.11,702.00,0.82,0.07,153.00,0.18,0.11,399.00,0.47,0.06,456.00,0.53,0.10,252.00,0.30,0.05,603.00,0.71,0.09
COAHUILA,183.00,0.92,0.02,15.00,0.08,0.01,159.00,0.80,0.02,39.00,0.20,0.01,127.00,0.64,0.02,71.00,0.36,0.02,177.00,0.89,0.02,21.00,0.11,0.02,134.00,0.68,0.02,64.00,0.32,0.01,87.00,0.44,0.02,111.00,0.56,0.02
COLIMA,485.00,0.97,0.05,15.00,0.03,0.01,393.00,0.79,0.05,107.00,0.21,0.03,299.00,0.60,0.05,201.00,0.40,0.04,451.00,0.90,0.05,49.00,0.10,0.04,327.00,0.65,0.05,173.00,0.35,0.04,268.00,0.54,0.06,232.00,0.46,0.04
DURANGO,326.00,0.88,0.03,45.00,0.12,0.03,236.00,0.64,0.03,135.00,0.36,0.03,269.00,0.73,0.04,102.00,0.28,0.02,339.00,0.91,0.03,32.00,0.09,0.02,215.00,0.58,0.03,156.00,0.42,0.04,159.00,0.43,0.03,212.00,0.57,0.03
