Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
AGUASCALIENTES,562.000,0.981,0.050,10.000,0.017,0.079,1.000,0.002,0.030,565.000,0.986,0.050,6.000,0.010,0.042,2.000,0.003,0.050,532.000,0.928,0.051,30.000,0.052,0.039,11.000,0.019,0.060,387.000,0.675,0.044,63.000,0.110,0.058,123.000,0.215,0.080,504.000,0.880,0.050,39.000,0.068,0.051,30.000,0.052,0.046,456.000,0.796,0.051,86.000,0.150,0.045,31.000,0.054,0.045,429.000,0.749,0.052,101.000,0.176,0.046,43.000,0.075,0.043,428.000,0.747,0.053,106.000,0.185,0.045,39.000,0.068,0.037,390.000,0.681,0.052,114.000,0.199,0.046,69.000,0.120,0.047
BAJA CALIFORNIA,102.000,1.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,102.000,1.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,96.000,0.941,0.009,5.000,0.049,0.006,1.000,0.010,0.005,76.000,0.745,0.009,11.000,0.108,0.010,15.000,0.147,0.010,96.000,0.941,0.010,3.000,0.029,0.004,3.000,0.029,0.005,67.000,0.657,0.008,25.000,0.245,0.013,10.000,0.098,0.014,72.000,0.706,0.009,20.000,0.196,0.009,10.000,0.098,0.010,74.000,0.725,0.009,17.000,0.167,0.007,11.000,0.108,0.010,58.000,0.569,0.008,26.000,0.255,0.010,18.000,0.176,0.012
BAJA CALIFORNIA SUR,685.000,0.993,0.061,5.000,0.007,0.040,0.000,0.000,0.000,685.000,0.993,0.061,4.000,0.006,0.028,1.000,0.001,0.025,640.000,0.928,0.061,37.000,0.054,0.048,13.000,0.019,0.071,662.000,0.959,0.075,14.000,0.020,0.013,14.000,0.020,0.009,596.000,0.864,0.059,59.000,0.086,0.078,35.000,0.051,0.054,545.000,0.790,0.062,104.000,0.151,0.055,41.000,0.059,0.059,483.000,0.700,0.059,134.000,0.194,0.060,73.000,0.106,0.072,508.000,0.736,0.063,113.000,0.164,0.048,69.000,0.100,0.065,461.000,0.668,0.062,137.000,0.199,0.055,92.000,0.133,0.062
CAMPECHE,309.000,0.990,0.027,3.000,0.010,0.024,0.000,0.000,0.000,306.000,0.981,0.027,6.000,0.019,0.042,0.000,0.000,0.000,279.000,0.894,0.027,28.000,0.090,0.036,5.000,0.016,0.027,224.000,0.718,0.025,47.000,0.151,0.043,41.000,0.131,0.027,274.000,0.878,0.027,25.000,0.080,0.033,13.000,0.042,0.020,229.000,0.734,0.026,53.000,0.170,0.028,30.000,0.096,0.043,209.000,0.670,0.025,72.000,0.231,0.032,31.000,0.099,0.031,197.000,0.631,0.024,83.000,0.266,0.036,32.000,0.103,0.030,181.000,0.580,0.024,86.000,0.276,0.034,45.000,0.144,0.030
CHIAPAS,97.000,0.980,0.009,1.000,0.010,0.008,1.000,0.010,0.030,97.000,0.980,0.009,1.000,0.010,0.007,1.000,0.010,0.025,88.000,0.889,0.008,8.000,0.081,0.010,3.000,0.030,0.016,79.000,0.798,0.009,11.000,0.111,0.010,9.000,0.091,0.006,91.000,0.919,0.009,5.000,0.051,0.007,3.000,0.030,0.005,79.000,0.798,0.009,15.000,0.152,0.008,5.000,0.051,0.007,68.000,0.687,0.008,17.000,0.172,0.008,14.000,0.141,0.014,65.000,0.657,0.008,24.000,0.242,0.010,10.000,0.101,0.009,62.000,0.626,0.008,23.000,0.232,0.009,14.000,0.141,0.009
CHIHUAHUA,519.000,0.987,0.046,6.000,0.011,0.048,1.000,0.002,0.030,516.000,0.981,0.046,8.000,0.015,0.056,2.000,0.004,0.050,465.000,0.884,0.044,50.000,0.095,0.065,11.000,0.021,0.060,401.000,0.762,0.045,42.000,0.080,0.039,83.000,0.158,0.054,481.000,0.914,0.048,21.000,0.040,0.028,24.000,0.046,0.037,427.000,0.812,0.048,69.000,0.131,0.036,30.000,0.057,0.043,361.000,0.686,0.044,116.000,0.221,0.052,49.000,0.093,0.049,383.000,0.728,0.048,101.000,0.192,0.043,42.000,0.080,0.040,363.000,0.690,0.049,109.000,0.207,0.044,54.000,0.103,0.036
CIUDAD DE MÉXICO,840.000,0.984,0.074,10.000,0.012,0.079,4.000,0.005,0.121,837.000,0.980,0.074,12.000,0.014,0.085,5.000,0.006,0.125,771.000,0.903,0.074,67.000,0.078,0.087,16.000,0.019,0.087,820.000,0.960,0.093,27.000,0.032,0.025,7.000,0.008,0.005,766.000,0.897,0.076,46.000,0.054,0.061,42.000,0.049,0.064,615.000,0.720,0.069,183.000,0.214,0.097,56.000,0.066,0.081,533.000,0.624,0.065,198.000,0.232,0.089,123.000,0.144,0.122,600.000,0.703,0.075,166.000,0.194,0.071,88.000,0.103,0.083,519.000,0.608,0.070,202.000,0.237,0.081,133.000,0.156,0.090
COAHUILA,199.000,0.995,0.018,0.000,0.000,0.000,1.000,0.005,0.030,198.000,0.990,0.018,1.000,0.005,0.007,1.000,0.005,0.025,189.000,0.945,0.018,7.000,0.035,0.009,4.000,0.020,0.022,173.000,0.869,0.020,13.000,0.065,0.012,13.000,0.065,0.009,183.000,0.915,0.018,10.000,0.050,0.013,7.000,0.035,0.011,160.000,0.800,0.018,31.000,0.155,0.016,9.000,0.045,0.013,138.000,0.690,0.017,37.000,0.185,0.017,25.000,0.125,0.025,135.000,0.675,0.017,37.000,0.185,0.016,28.000,0.140,0.026,135.000,0.675,0.018,40.000,0.200,0.016,25.000,0.125,0.017
COLIMA,497.000,0.990,0.044,5.000,0.010,0.040,0.000,0.000,0.000,495.000,0.986,0.044,7.000,0.014,0.049,0.000,0.000,0.000,474.000,0.944,0.045,21.000,0.042,0.027,7.000,0.014,0.038,345.000,0.687,0.039,57.000,0.114,0.053,100.000,0.199,0.065,454.000,0.904,0.045,35.000,0.070,0.046,13.000,0.026,0.020,390.000,0.777,0.044,91.000,0.181,0.048,21.000,0.042,0.030,356.000,0.709,0.043,115.000,0.229,0.052,31.000,0.062,0.031,358.000,0.713,0.044,110.000,0.219,0.047,34.000,0.068,0.032,309.000,0.616,0.041,122.000,0.243,0.049,71.000,0.141,0.048
DURANGO,364.000,0.981,0.032,4.000,0.011,0.032,3.000,0.008,0.091,360.000,0.970,0.032,10.000,0.027,0.070,1.000,0.003,0.025,343.000,0.925,0.033,23.000,0.062,0.030,5.000,0.013,0.027,286.000,0.771,0.032,46.000,0.124,0.043,39.000,0.105,0.026,319.000,0.860,0.032,30.000,0.081,0.040,22.000,0.059,0.034,286.000,0.771,0.032,59.000,0.159,0.031,26.000,0.070,0.037,295.000,0.795,0.036,53.000,0.143,0.024,23.000,0.062,0.023,272.000,0.733,0.034,69.000,0.186,0.030,30.000,0.081,0.028,254.000,0.685,0.034,77.000,0.208,0.031,40.000,0.108,0.027
ESTADO DE MÉXICO,490.000,0.986,0.043,4.000,0.008,0.032,3.000,0.006,0.091,491.000,0.988,0.044,6.000,0.012,0.042,0.000,0.000,0.000,465.000,0.936,0.044,29.000,0.058,0.038,3.000,0.006,0.016,439.000,0.883,0.050,31.000,0.062,0.029,27.000,0.054,0.018,447.000,0.899,0.045,35.000,0.070,0.046,15.000,0.030,0.023,390.000,0.785,0.044,85.000,0.171,0.045,22.000,0.044,0.032,357.000,0.718,0.043,103.000,0.207,0.046,37.000,0.074,0.037,349.000,0.702,0.043,105.000,0.211,0.045,43.000,0.087,0.041,328.000,0.660,0.044,112.000,0.225,0.045,57.000,0.115,0.038
