Entidad,B4-A-Muy difícil-Recuento,B4-A-Muy difícil-% del N de fila,B4-A-Muy difícil-% de N columnas,B4-A-Difícil-Recuento,B4-A-Difícil-% del N de fila,B4-A-Difícil-% de N columnas,B4-A-Poco difícil-Recuento,B4-A-Poco difícil-% del N de fila,B4-A-Poco difícil-% de N columnas,B4-A-Nada difícil-Recuento,B4-A-Nada difícil-% del N de fila,B4-A-Nada difícil-% de N columnas,B4-B-Muy difícil-Recuento,B4-B-Muy difícil-% del N de fila,B4-B-Muy difícil-% de N columnas,B4-B-Difícil-Recuento,B4-B-Difícil-% del N de fila,B4-B-Difícil-% de N columnas,B4-B-Poco difícil-Recuento,B4-B-Poco difícil-% del N de fila,B4-B-Poco difícil-% de N columnas,B4-B-Nada difícil-Recuento,B4-B-Nada difícil-% del N de fila,B4-B-Nada difícil-% de N columnas,B4-C-Muy difícil-Recuento,B4-C-Muy difícil-% del N de fila,B4-C-Muy difícil-% de N columnas,B4-C-Difícil-Recuento,B4-C-Difícil-% del N de fila,B4-C-Difícil-% de N columnas,B4-C-Poco difícil-Recuento,B4-C-Poco difícil-% del N de fila,B4-C-Poco difícil-% de N columnas,B4-C-Nada difícil-Recuento,B4-C-Nada difícil-% del N de fila,B4-C-Nada difícil-% de N columnas,B4-D-Muy difícil-Recuento,B4-D-Muy difícil-% del N de fila,B4-D-Muy difícil-% de N columnas,B4-D-Difícil-Recuento,B4-D-Difícil-% del N de fila,B4-D-Difícil-% de N columnas,B4-D-Poco difícil-Recuento,B4-D-Poco difícil-% del N de fila,B4-D-Poco difícil-% de N columnas,B4-D-Nada difícil-Recuento,B4-D-Nada difícil-% del N de fila,B4-D-Nada difícil-% de N columnas,B4-E-Muy difícil-Recuento,B4-E-Muy difícil-% del N de fila,B4-E-Muy difícil-% de N columnas,B4-E-Difícil-Recuento,B4-E-Difícil-% del N de fila,B4-E-Difícil-% de N columnas,B4-E-Poco difícil-Recuento,B4-E-Poco difícil-% del N de fila,B4-E-Poco difícil-% de N columnas,B4-E-Nada difícil-Recuento,B4-E-Nada difícil-% del N de fila,B4-E-Nada difícil-% de N columnas,B4-F-Muy difícil-Recuento,B4-F-Muy difícil-% del N de fila,B4-F-Muy difícil-% de N columnas,B4-F-Difícil-Recuento,B4-F-Difícil-% del N de fila,B4-F-Difícil-% de N columnas,B4-F-Poco difícil-Recuento,B4-F-Poco difícil-% del N de fila,B4-F-Poco difícil-% de N columnas,B4-F-Nada difícil-Recuento,B4-F-Nada difícil-% del N de fila,B4-F-Nada difícil-% de N columnas,B4-G-Muy difícil-Recuento,B4-G-Muy difícil-% del N de fila,B4-G-Muy difícil-% de N columnas,B4-G-Difícil-Recuento,B4-G-Difícil-% del N de fila,B4-G-Difícil-% de N columnas,B4-G-Poco difícil-Recuento,B4-G-Poco difícil-% del N de fila,B4-G-Poco difícil-% de N columnas,B4-G-Nada difícil-Recuento,B4-G-Nada difícil-% del N de fila,B4-G-Nada difícil-% de N columnas,B4-H-Muy difícil-Recuento,B4-H-Muy difícil-% del N de fila,B4-H-Muy difícil-% de N columnas,B4-H-Difícil-Recuento,B4-H-Difícil-% del N de fila,B4-H-Difícil-% de N columnas,B4-H-Poco difícil-Recuento,B4-H-Poco difícil-% del N de fila,B4-H-Poco difícil-% de N columnas,B4-H-Nada difícil-Recuento,B4-H-Nada difícil-% del N de fila,B4-H-Nada difícil-% de N columnas,B4-I-Muy difícil-Recuento,B4-I-Muy difícil-% del N de fila,B4-I-Muy difícil-% de N columnas,B4-I-Difícil-Recuento,B4-I-Difícil-% del N de fila,B4-I-Difícil-% de N columnas,B4-I-Poco difícil-Recuento,B4-I-Poco difícil-% del N de fila,B4-I-Poco difícil-% de N columnas,B4-I-Nada difícil-Recuento,B4-I-Nada difícil-% del N de fila,B4-I-Nada difícil-% de N columnas,B4-J-Muy difícil-Recuento,B4-J-Muy difícil-% del N de fila,B4-J-Muy difícil-% de N columnas,B4-J-Difícil-Recuento,B4-J-Difícil-% del N de fila,B4-J-Difícil-% de N columnas,B4-J-Poco difícil-Recuento,B4-J-Poco difícil-% del N de fila,B4-J-Poco difícil-% de N columnas,B4-J-Nada difícil-Recuento,B4-J-Nada difícil-% del N de fila,B4-J-Nada difícil-% de N columnas,B4-K-Muy difícil-Recuento,B4-K-Muy difícil-% del N de fila,B4-K-Muy difícil-% de N columnas,B4-K-Difícil-Recuento,B4-K-Difícil-% del N de fila,B4-K-Difícil-% de N columnas,B4-K-Poco difícil-Recuento,B4-K-Poco difícil-% del N de fila,B4-K-Poco difícil-% de N columnas,B4-K-Nada difícil-Recuento,B4-K-Nada difícil-% del N de fila,B4-K-Nada difícil-% de N columnas
AGUASCALIENTES,58.000,0.101,0.072,251.000,0.438,0.055,231.000,0.403,0.043,33.000,0.058,0.041,37.000,0.065,0.046,228.000,0.398,0.062,240.000,0.419,0.043,68.000,0.119,0.048,150.000,0.262,0.062,267.000,0.466,0.054,131.000,0.229,0.037,25.000,0.044,0.047,19.000,0.033,0.043,172.000,0.300,0.063,297.000,0.518,0.046,85.000,0.148,0.048,103.000,0.180,0.050,241.000,0.421,0.053,195.000,0.340,0.046,34.000,0.059,0.055,32.000,0.056,0.054,188.000,0.328,0.062,282.000,0.492,0.045,71.000,0.124,0.044,36.000,0.063,0.064,246.000,0.429,0.060,259.000,0.452,0.043,32.000,0.056,0.042,88.000,0.154,0.067,218.000,0.380,0.051,229.000,0.400,0.047,38.000,0.066,0.038,53.000,0.092,0.080,221.000,0.386,0.063,249.000,0.435,0.042,50.000,0.087,0.037,33.000,0.058,0.063,175.000,0.305,0.057,307.000,0.536,0.047,58.000,0.101,0.041,31.000,0.054,0.052,207.000,0.361,0.061,289.000,0.504,0.046,46.000,0.080,0.037
BAJA CALIFORNIA,4.000,0.039,0.005,39.000,0.382,0.009,51.000,0.500,0.010,8.000,0.078,0.010,3.000,0.029,0.004,34.000,0.333,0.009,51.000,0.500,0.009,14.000,0.137,0.010,18.000,0.176,0.007,43.000,0.422,0.009,38.000,0.373,0.011,3.000,0.029,0.006,4.000,0.039,0.009,23.000,0.225,0.008,62.000,0.608,0.010,13.000,0.127,0.007,19.000,0.186,0.009,37.000,0.363,0.008,41.000,0.402,0.010,5.000,0.049,0.008,7.000,0.069,0.012,26.000,0.255,0.009,59.000,0.578,0.009,10.000,0.098,0.006,4.000,0.039,0.007,36.000,0.353,0.009,59.000,0.578,0.010,3.000,0.029,0.004,10.000,0.098,0.008,40.000,0.392,0.009,45.000,0.441,0.009,7.000,0.069,0.007,5.000,0.049,0.008,28.000,0.275,0.008,57.000,0.559,0.010,12.000,0.118,0.009,4.000,0.039,0.008,18.000,0.176,0.006,65.000,0.637,0.010,15.000,0.147,0.011,6.000,0.059,0.010,17.000,0.167,0.005,65.000,0.637,0.010,14.000,0.137,0.011
BAJA CALIFORNIA SUR,38.000,0.055,0.047,249.000,0.361,0.055,338.000,0.490,0.064,65.000,0.094,0.081,45.000,0.065,0.056,201.000,0.291,0.055,352.000,0.510,0.063,92.000,0.133,0.065,147.000,0.213,0.060,316.000,0.458,0.064,204.000,0.296,0.058,23.000,0.033,0.043,28.000,0.041,0.063,157.000,0.228,0.057,407.000,0.590,0.063,98.000,0.142,0.055,111.000,0.161,0.054,277.000,0.401,0.061,258.000,0.374,0.061,44.000,0.064,0.072,46.000,0.067,0.077,183.000,0.266,0.061,372.000,0.540,0.060,88.000,0.128,0.054,33.000,0.048,0.059,219.000,0.317,0.053,401.000,0.581,0.067,37.000,0.054,0.048,73.000,0.106,0.056,251.000,0.364,0.058,311.000,0.451,0.064,55.000,0.080,0.055,34.000,0.049,0.051,190.000,0.275,0.054,381.000,0.552,0.064,85.000,0.123,0.063,32.000,0.046,0.061,168.000,0.243,0.055,415.000,0.601,0.064,75.000,0.109,0.053,37.000,0.054,0.063,193.000,0.280,0.057,398.000,0.577,0.064,62.000,0.090,0.050
CAMPECHE,14.000,0.045,0.017,130.000,0.417,0.029,152.000,0.487,0.029,16.000,0.051,0.020,12.000,0.038,0.015,108.000,0.346,0.029,157.000,0.503,0.028,35.000,0.112,0.025,45.000,0.144,0.018,149.000,0.478,0.030,101.000,0.324,0.029,17.000,0.054,0.032,3.000,0.010,0.007,84.000,0.269,0.031,173.000,0.554,0.027,52.000,0.167,0.029,53.000,0.170,0.026,124.000,0.397,0.027,121.000,0.388,0.029,14.000,0.045,0.023,12.000,0.038,0.020,75.000,0.240,0.025,185.000,0.593,0.030,40.000,0.128,0.025,11.000,0.035,0.020,110.000,0.353,0.027,170.000,0.545,0.028,21.000,0.067,0.027,28.000,0.090,0.021,110.000,0.353,0.026,146.000,0.468,0.030,28.000,0.090,0.028,14.000,0.045,0.021,93.000,0.298,0.026,168.000,0.538,0.028,37.000,0.119,0.028,10.000,0.032,0.019,80.000,0.256,0.026,179.000,0.574,0.028,43.000,0.138,0.031,12.000,0.038,0.020,89.000,0.285,0.026,169.000,0.542,0.027,42.000,0.135,0.034
CHIAPAS,1.000,0.010,0.001,44.000,0.444,0.010,50.000,0.505,0.009,4.000,0.040,0.005,4.000,0.040,0.005,30.000,0.303,0.008,55.000,0.556,0.010,10.000,0.101,0.007,19.000,0.192,0.008,39.000,0.394,0.008,37.000,0.374,0.011,4.000,0.040,0.007,0.000,0.000,0.000,27.000,0.273,0.010,54.000,0.545,0.008,18.000,0.182,0.010,24.000,0.242,0.012,32.000,0.323,0.007,38.000,0.384,0.009,5.000,0.051,0.008,3.000,0.030,0.005,23.000,0.232,0.008,53.000,0.535,0.009,20.000,0.202,0.012,2.000,0.020,0.004,36.000,0.364,0.009,48.000,0.485,0.008,13.000,0.131,0.017,9.000,0.091,0.007,32.000,0.323,0.007,46.000,0.465,0.010,12.000,0.121,0.012,2.000,0.020,0.003,28.000,0.283,0.008,56.000,0.566,0.009,13.000,0.131,0.010,4.000,0.040,0.008,28.000,0.283,0.009,60.000,0.606,0.009,7.000,0.071,0.005,4.000,0.040,0.007,36.000,0.364,0.011,52.000,0.525,0.008,7.000,0.071,0.006
CHIHUAHUA,38.000,0.072,0.047,215.000,0.409,0.047,238.000,0.452,0.045,35.000,0.067,0.044,39.000,0.074,0.048,174.000,0.331,0.047,246.000,0.468,0.044,67.000,0.127,0.048,147.000,0.279,0.060,213.000,0.405,0.043,150.000,0.285,0.043,16.000,0.030,0.030,27.000,0.051,0.061,126.000,0.240,0.046,289.000,0.549,0.044,84.000,0.160,0.047,117.000,0.222,0.057,179.000,0.340,0.039,203.000,0.386,0.048,27.000,0.051,0.044,30.000,0.057,0.050,133.000,0.253,0.044,281.000,0.534,0.045,82.000,0.156,0.051,37.000,0.070,0.066,166.000,0.316,0.040,277.000,0.527,0.046,46.000,0.087,0.060,51.000,0.097,0.039,192.000,0.365,0.045,234.000,0.445,0.048,49.000,0.093,0.049,32.000,0.061,0.048,150.000,0.285,0.042,282.000,0.536,0.048,62.000,0.118,0.046,21.000,0.040,0.040,142.000,0.270,0.047,301.000,0.572,0.047,62.000,0.118,0.044,27.000,0.051,0.046,162.000,0.308,0.048,273.000,0.519,0.044,64.000,0.122,0.051
CIUDAD DE MÉXICO,83.000,0.097,0.103,398.000,0.466,0.088,333.000,0.390,0.063,40.000,0.047,0.050,100.000,0.117,0.124,353.000,0.413,0.096,343.000,0.402,0.062,58.000,0.068,0.041,260.000,0.304,0.107,391.000,0.458,0.079,187.000,0.219,0.053,16.000,0.019,0.030,54.000,0.063,0.122,237.000,0.278,0.087,458.000,0.536,0.071,105.000,0.123,0.059,169.000,0.198,0.083,370.000,0.433,0.081,281.000,0.329,0.067,34.000,0.040,0.055,81.000,0.095,0.136,284.000,0.333,0.094,406.000,0.475,0.065,83.000,0.097,0.051,53.000,0.062,0.094,397.000,0.465,0.096,374.000,0.438,0.062,30.000,0.035,0.039,176.000,0.206,0.135,381.000,0.446,0.089,259.000,0.303,0.054,38.000,0.044,0.038,70.000,0.082,0.106,325.000,0.381,0.092,386.000,0.452,0.065,73.000,0.085,0.054,54.000,0.063,0.103,274.000,0.321,0.090,447.000,0.523,0.069,79.000,0.093,0.056,54.000,0.063,0.091,304.000,0.356,0.090,425.000,0.498,0.068,71.000,0.083,0.057
COAHUILA,17.000,0.085,0.021,75.000,0.375,0.017,94.000,0.470,0.018,14.000,0.070,0.017,14.000,0.070,0.017,68.000,0.340,0.019,93.000,0.465,0.017,25.000,0.125,0.018,45.000,0.225,0.018,86.000,0.430,0.017,61.000,0.305,0.017,8.000,0.040,0.015,9.000,0.045,0.020,45.000,0.225,0.016,121.000,0.605,0.019,25.000,0.125,0.014,32.000,0.160,0.016,84.000,0.420,0.018,74.000,0.370,0.018,10.000,0.050,0.016,7.000,0.035,0.012,50.000,0.250,0.017,113.000,0.565,0.018,30.000,0.150,0.018,10.000,0.050,0.018,68.000,0.340,0.017,110.000,0.550,0.018,12.000,0.060,0.016,19.000,0.095,0.015,75.000,0.375,0.017,88.000,0.440,0.018,18.000,0.090,0.018,12.000,0.060,0.018,67.000,0.335,0.019,99.000,0.495,0.017,22.000,0.110,0.016,11.000,0.055,0.021,56.000,0.280,0.018,107.000,0.535,0.017,26.000,0.130,0.018,12.000,0.060,0.020,58.000,0.290,0.017,109.000,0.545,0.018,21.000,0.105,0.017
COLIMA,34.000,0.068,0.042,201.000,0.400,0.044,220.000,0.438,0.041,47.000,0.094,0.059,33.000,0.066,0.041,149.000,0.297,0.041,240.000,0.478,0.043,80.000,0.159,0.057,127.000,0.253,0.052,232.000,0.462,0.047,121.000,0.241,0.034,22.000,0.044,0.041,23.000,0.046,0.052,123.000,0.245,0.045,271.000,0.540,0.042,85.000,0.169,0.048,111.000,0.221,0.054,185.000,0.369,0.040,180.000,0.359,0.043,26.000,0.052,0.042,34.000,0.068,0.057,141.000,0.281,0.047,250.000,0.498,0.040,77.000,0.153,0.047,34.000,0.068,0.060,186.000,0.371,0.045,238.000,0.474,0.040,44.000,0.088,0.058,74.000,0.147,0.057,206.000,0.410,0.048,188.000,0.375,0.039,34.000,0.068,0.034,32.000,0.064,0.048,173.000,0.345,0.049,240.000,0.478,0.041,57.000,0.114,0.043,20.000,0.040,0.038,121.000,0.241,0.040,275.000,0.548,0.043,86.000,0.171,0.061,28.000,0.056,0.047,135.000,0.269,0.040,263.000,0.524,0.042,76.000,0.151,0.061
DURANGO,28.000,0.075,0.035,138.000,0.372,0.030,172.000,0.464,0.032,33.000,0.089,0.041,36.000,0.097,0.045,120.000,0.323,0.033,160.000,0.431,0.029,55.000,0.148,0.039,73.000,0.197,0.030,165.000,0.445,0.033,118.000,0.318,0.034,15.000,0.040,0.028,13.000,0.035,0.029,90.000,0.243,0.033,201.000,0.542,0.031,67.000,0.181,0.038,71.000,0.191,0.035,144.000,0.388,0.032,129.000,0.348,0.031,27.000,0.073,0.044,19.000,0.051,0.032,101.000,0.272,0.034,187.000,0.504,0.030,64.000,0.173,0.039,19.000,0.051,0.034,135.000,0.364,0.033,195.000,0.526,0.032,22.000,0.059,0.029,31.000,0.084,0.024,132.000,0.356,0.031,164.000,0.442,0.034,44.000,0.119,0.044,20.000,0.054,0.030,120.000,0.323,0.034,182.000,0.491,0.031,49.000,0.132,0.037,20.000,0.054,0.038,115.000,0.310,0.038,189.000,0.509,0.029,47.000,0.127,0.033,22.000,0.059,0.037,127.000,0.342,0.038,177.000,0.477,0.028,45.000,0.121,0.036
