Entidad,B3-A-Totalmente de acuerdo-Recuento,B3-A-Totalmente de acuerdo-% del N de fila,B3-A-Totalmente de acuerdo-% de N columnas,B3-A-De acuerdo-Recuento,B3-A-De acuerdo-% del N de fila,B3-A-De acuerdo-% de N columnas,B3-A-En desacuerdo-Recuento,B3-A-En desacuerdo-% del N de fila,B3-A-En desacuerdo-% de N columnas,B3-A-Totalmente en desacuerdo-Recuento,B3-A-Totalmente en desacuerdo-% del N de fila,B3-A-Totalmente en desacuerdo-% de N columnas,B3-B-Totalmente de acuerdo-Recuento,B3-B-Totalmente de acuerdo-% del N de fila,B3-B-Totalmente de acuerdo-% de N columnas,B3-B-De acuerdo-Recuento,B3-B-De acuerdo-% del N de fila,B3-B-De acuerdo-% de N columnas,B3-B-En desacuerdo-Recuento,B3-B-En desacuerdo-% del N de fila,B3-B-En desacuerdo-% de N columnas,B3-B-Totalmente en desacuerdo-Recuento,B3-B-Totalmente en desacuerdo-% del N de fila,B3-B-Totalmente en desacuerdo-% de N columnas,B3-C-Totalmente de acuerdo-Recuento,B3-C-Totalmente de acuerdo-% del N de fila,B3-C-Totalmente de acuerdo-% de N columnas,B3-C-De acuerdo-Recuento,B3-C-De acuerdo-% del N de fila,B3-C-De acuerdo-% de N columnas,B3-C-En desacuerdo-Recuento,B3-C-En desacuerdo-% del N de fila,B3-C-En desacuerdo-% de N columnas,B3-C-Totalmente en desacuerdo-Recuento,B3-C-Totalmente en desacuerdo-% del N de fila,B3-C-Totalmente en desacuerdo-% de N columnas,B3-D-Totalmente de acuerdo-Recuento,B3-D-Totalmente de acuerdo-% del N de fila,B3-D-Totalmente de acuerdo-% de N columnas,B3-D-De acuerdo-Recuento,B3-D-De acuerdo-% del N de fila,B3-D-De acuerdo-% de N columnas,B3-D-En desacuerdo-Recuento,B3-D-En desacuerdo-% del N de fila,B3-D-En desacuerdo-% de N columnas,B3-D-Totalmente en desacuerdo-Recuento,B3-D-Totalmente en desacuerdo-% del N de fila,B3-D-Totalmente en desacuerdo-% de N columnas,B3-E-Totalmente de acuerdo-Recuento,B3-E-Totalmente de acuerdo-% del N de fila,B3-E-Totalmente de acuerdo-% de N columnas,B3-E-De acuerdo-Recuento,B3-E-De acuerdo-% del N de fila,B3-E-De acuerdo-% de N columnas,B3-E-En desacuerdo-Recuento,B3-E-En desacuerdo-% del N de fila,B3-E-En desacuerdo-% de N columnas,B3-E-Totalmente en desacuerdo-Recuento,B3-E-Totalmente en desacuerdo-% del N de fila,B3-E-Totalmente en desacuerdo-% de N columnas
AGUASCALIENTES,564.000,0.386,0.050,842.000,0.577,0.049,47.000,0.032,0.050,7.000,0.005,0.101,576.000,0.395,0.047,839.000,0.575,0.052,39.000,0.027,0.042,6.000,0.004,0.072,591.000,0.405,0.047,824.000,0.564,0.052,40.000,0.027,0.040,5.000,0.003,0.063,527.000,0.361,0.046,866.000,0.593,0.051,61.000,0.042,0.061,6.000,0.004,0.078,480.000,0.329,0.046,871.000,0.597,0.051,98.000,0.067,0.053,11.000,0.008,0.051
BAJA CALIFORNIA,52.000,0.464,0.005,53.000,0.473,0.003,7.000,0.063,0.007,0.000,0.000,0.000,57.000,0.509,0.005,50.000,0.446,0.003,5.000,0.045,0.005,0.000,0.000,0.000,50.000,0.446,0.004,56.000,0.500,0.004,6.000,0.054,0.006,0.000,0.000,0.000,48.000,0.429,0.004,60.000,0.536,0.004,4.000,0.036,0.004,0.000,0.000,0.000,50.000,0.446,0.005,57.000,0.509,0.003,5.000,0.045,0.003,0.000,0.000,0.000
BAJA CALIFORNIA SUR,474.000,0.379,0.042,732.000,0.586,0.043,43.000,0.034,0.046,1.000,0.001,0.014,544.000,0.435,0.044,668.000,0.534,0.041,37.000,0.030,0.040,1.000,0.001,0.012,554.000,0.443,0.044,648.000,0.518,0.041,46.000,0.037,0.046,2.000,0.002,0.025,510.000,0.408,0.045,700.000,0.560,0.041,39.000,0.031,0.039,1.000,0.001,0.013,465.000,0.372,0.044,709.000,0.567,0.042,75.000,0.060,0.041,1.000,0.001,0.005
CAMPECHE,187.000,0.348,0.016,331.000,0.616,0.019,18.000,0.034,0.019,1.000,0.002,0.014,213.000,0.397,0.017,309.000,0.575,0.019,15.000,0.028,0.016,0.000,0.000,0.000,220.000,0.410,0.017,294.000,0.547,0.019,22.000,0.041,0.022,1.000,0.002,0.013,201.000,0.374,0.018,320.000,0.596,0.019,15.000,0.028,0.015,1.000,0.002,0.013,196.000,0.365,0.019,310.000,0.577,0.018,29.000,0.054,0.016,2.000,0.004,0.009
CHIAPAS,85.000,0.348,0.007,146.000,0.598,0.009,13.000,0.053,0.014,0.000,0.000,0.000,107.000,0.439,0.009,130.000,0.533,0.008,7.000,0.029,0.008,0.000,0.000,0.000,101.000,0.414,0.008,128.000,0.525,0.008,15.000,0.061,0.015,0.000,0.000,0.000,93.000,0.381,0.008,140.000,0.574,0.008,11.000,0.045,0.011,0.000,0.000,0.000,83.000,0.340,0.008,134.000,0.549,0.008,26.000,0.107,0.014,1.000,0.004,0.005
CHIHUAHUA,559.000,0.383,0.049,858.000,0.588,0.050,38.000,0.026,0.041,4.000,0.003,0.058,584.000,0.400,0.047,819.000,0.561,0.051,50.000,0.034,0.054,6.000,0.004,0.072,579.000,0.397,0.046,821.000,0.563,0.052,53.000,0.036,0.053,6.000,0.004,0.075,546.000,0.374,0.048,863.000,0.592,0.051,46.000,0.032,0.046,4.000,0.003,0.052,506.000,0.347,0.048,863.000,0.592,0.051,83.000,0.057,0.045,7.000,0.005,0.032
CIUDAD DE MÉXICO,662.000,0.380,0.058,1012.000,0.581,0.059,61.000,0.035,0.065,7.000,0.004,0.101,736.000,0.423,0.059,936.000,0.537,0.058,64.000,0.037,0.070,6.000,0.003,0.072,710.000,0.408,0.056,936.000,0.537,0.059,86.000,0.049,0.086,10.000,0.006,0.125,668.000,0.383,0.058,991.000,0.569,0.058,76.000,0.044,0.076,7.000,0.004,0.091,643.000,0.369,0.061,986.000,0.566,0.058,94.000,0.054,0.051,19.000,0.011,0.088
COAHUILA,140.000,0.383,0.012,213.000,0.582,0.012,11.000,0.030,0.012,2.000,0.005,0.029,147.000,0.402,0.012,206.000,0.563,0.013,11.000,0.030,0.012,2.000,0.005,0.024,154.000,0.421,0.012,201.000,0.549,0.013,8.000,0.022,0.008,3.000,0.008,0.038,139.000,0.380,0.012,214.000,0.585,0.013,10.000,0.027,0.010,3.000,0.008,0.039,132.000,0.361,0.013,214.000,0.585,0.013,17.000,0.046,0.009,3.000,0.008,0.014
COLIMA,382.000,0.377,0.034,594.000,0.586,0.035,35.000,0.035,0.037,3.000,0.003,0.043,409.000,0.403,0.033,561.000,0.553,0.035,40.000,0.039,0.044,4.000,0.004,0.048,416.000,0.410,0.033,556.000,0.548,0.035,39.000,0.038,0.039,3.000,0.003,0.038,384.000,0.379,0.034,573.000,0.565,0.034,54.000,0.053,0.054,3.000,0.003,0.039,365.000,0.360,0.035,576.000,0.568,0.034,66.000,0.065,0.036,7.000,0.007,0.032
DURANGO,334.000,0.341,0.029,610.000,0.623,0.036,32.000,0.033,0.034,3.000,0.003,0.043,355.000,0.363,0.029,584.000,0.597,0.036,38.000,0.039,0.041,2.000,0.002,0.024,358.000,0.366,0.028,577.000,0.589,0.037,42.000,0.043,0.042,2.000,0.002,0.025,331.000,0.338,0.029,614.000,0.627,0.036,31.000,0.032,0.031,3.000,0.003,0.039,315.000,0.322,0.030,580.000,0.592,0.034,76.000,0.078,0.041,8.000,0.008,0.037
