Entidad,B4-A-Muy pertinente-Recuento,B4-A-Muy pertinente-% del N de fila,B4-A-Muy pertinente-% de N columnas,B4-A-Pertinente-Recuento,B4-A-Pertinente-% del N de fila,B4-A-Pertinente-% de N columnas,B4-A-Poco pertinente-Recuento,B4-A-Poco pertinente-% del N de fila,B4-A-Poco pertinente-% de N columnas,B4-A-Nada pertinente-Recuento,B4-A-Nada pertinente-% del N de fila,B4-A-Nada pertinente-% de N columnas,B4-B-Muy pertinente-Recuento,B4-B-Muy pertinente-% del N de fila,B4-B-Muy pertinente-% de N columnas,B4-B-Pertinente-Recuento,B4-B-Pertinente-% del N de fila,B4-B-Pertinente-% de N columnas,B4-B-Poco pertinente-Recuento,B4-B-Poco pertinente-% del N de fila,B4-B-Poco pertinente-% de N columnas,B4-B-Nada pertinente-Recuento,B4-B-Nada pertinente-% del N de fila,B4-B-Nada pertinente-% de N columnas,B4-C-Muy pertinente-Recuento,B4-C-Muy pertinente-% del N de fila,B4-C-Muy pertinente-% de N columnas,B4-C-Pertinente-Recuento,B4-C-Pertinente-% del N de fila,B4-C-Pertinente-% de N columnas,B4-C-Poco pertinente-Recuento,B4-C-Poco pertinente-% del N de fila,B4-C-Poco pertinente-% de N columnas,B4-C-Nada pertinente-Recuento,B4-C-Nada pertinente-% del N de fila,B4-C-Nada pertinente-% de N columnas,B4-D-Muy pertinente-Recuento,B4-D-Muy pertinente-% del N de fila,B4-D-Muy pertinente-% de N columnas,B4-D-Pertinente-Recuento,B4-D-Pertinente-% del N de fila,B4-D-Pertinente-% de N columnas,B4-D-Poco pertinente-Recuento,B4-D-Poco pertinente-% del N de fila,B4-D-Poco pertinente-% de N columnas,B4-D-Nada pertinente-Recuento,B4-D-Nada pertinente-% del N de fila,B4-D-Nada pertinente-% de N columnas,B4-E-Muy pertinente-Recuento,B4-E-Muy pertinente-% del N de fila,B4-E-Muy pertinente-% de N columnas,B4-E-Pertinente-Recuento,B4-E-Pertinente-% del N de fila,B4-E-Pertinente-% de N columnas,B4-E-Poco pertinente-Recuento,B4-E-Poco pertinente-% del N de fila,B4-E-Poco pertinente-% de N columnas,B4-E-Nada pertinente-Recuento,B4-E-Nada pertinente-% del N de fila,B4-E-Nada pertinente-% de N columnas,B4-F-Muy pertinente-Recuento,B4-F-Muy pertinente-% del N de fila,B4-F-Muy pertinente-% de N columnas,B4-F-Pertinente-Recuento,B4-F-Pertinente-% del N de fila,B4-F-Pertinente-% de N columnas,B4-F-Poco pertinente-Recuento,B4-F-Poco pertinente-% del N de fila,B4-F-Poco pertinente-% de N columnas,B4-F-Nada pertinente-Recuento,B4-F-Nada pertinente-% del N de fila,B4-F-Nada pertinente-% de N columnas,B4-G-Muy pertinente-Recuento,B4-G-Muy pertinente-% del N de fila,B4-G-Muy pertinente-% de N columnas,B4-G-Pertinente-Recuento,B4-G-Pertinente-% del N de fila,B4-G-Pertinente-% de N columnas,B4-G-Poco pertinente-Recuento,B4-G-Poco pertinente-% del N de fila,B4-G-Poco pertinente-% de N columnas,B4-G-Nada pertinente-Recuento,B4-G-Nada pertinente-% del N de fila,B4-G-Nada pertinente-% de N columnas
AGUASCALIENTES,501.000,0.343,0.049,837.000,0.573,0.049,115.000,0.079,0.061,7.000,0.005,0.039,471.000,0.323,0.049,847.000,0.580,0.048,135.000,0.092,0.062,7.000,0.005,0.039,407.000,0.279,0.050,893.000,0.612,0.048,157.000,0.108,0.060,3.000,0.002,0.016,333.000,0.228,0.049,908.000,0.622,0.047,199.000,0.136,0.061,20.000,0.014,0.080,298.000,0.204,0.049,844.000,0.578,0.047,283.000,0.194,0.056,35.000,0.024,0.065,305.000,0.209,0.048,885.000,0.606,0.048,231.000,0.158,0.053,39.000,0.027,0.081,310.000,0.212,0.048,859.000,0.588,0.048,252.000,0.173,0.054,39.000,0.027,0.074
BAJA CALIFORNIA,34.000,0.304,0.003,70.000,0.625,0.004,8.000,0.071,0.004,0.000,0.000,0.000,39.000,0.348,0.004,65.000,0.580,0.004,7.000,0.063,0.003,1.000,0.009,0.006,31.000,0.277,0.004,67.000,0.598,0.004,14.000,0.125,0.005,0.000,0.000,0.000,28.000,0.250,0.004,67.000,0.598,0.003,16.000,0.143,0.005,1.000,0.009,0.004,23.000,0.205,0.004,64.000,0.571,0.004,21.000,0.188,0.004,4.000,0.036,0.007,23.000,0.205,0.004,68.000,0.607,0.004,18.000,0.161,0.004,3.000,0.027,0.006,23.000,0.205,0.004,62.000,0.554,0.003,24.000,0.214,0.005,3.000,0.027,0.006
BAJA CALIFORNIA SUR,434.000,0.347,0.042,721.000,0.577,0.042,90.000,0.072,0.048,4.000,0.003,0.022,421.000,0.337,0.044,735.000,0.588,0.042,89.000,0.071,0.041,4.000,0.003,0.022,364.000,0.291,0.044,771.000,0.617,0.042,106.000,0.085,0.040,8.000,0.006,0.043,304.000,0.243,0.045,802.000,0.642,0.042,134.000,0.107,0.041,9.000,0.007,0.036,284.000,0.227,0.047,726.000,0.581,0.041,221.000,0.177,0.044,18.000,0.014,0.033,304.000,0.243,0.048,759.000,0.608,0.041,167.000,0.134,0.039,19.000,0.015,0.039,286.000,0.229,0.045,727.000,0.582,0.041,216.000,0.173,0.046,20.000,0.016,0.038
CAMPECHE,179.000,0.333,0.017,320.000,0.596,0.019,37.000,0.069,0.020,1.000,0.002,0.006,164.000,0.305,0.017,342.000,0.637,0.020,29.000,0.054,0.013,2.000,0.004,0.011,129.000,0.240,0.016,364.000,0.678,0.020,42.000,0.078,0.016,2.000,0.004,0.011,112.000,0.209,0.017,380.000,0.708,0.020,44.000,0.082,0.013,1.000,0.002,0.004,96.000,0.179,0.016,351.000,0.654,0.020,83.000,0.155,0.017,7.000,0.013,0.013,108.000,0.201,0.017,345.000,0.642,0.019,78.000,0.145,0.018,6.000,0.011,0.012,106.000,0.197,0.017,337.000,0.628,0.019,87.000,0.162,0.019,7.000,0.013,0.013
CHIAPAS,88.000,0.361,0.009,137.000,0.561,0.008,18.000,0.074,0.010,1.000,0.004,0.006,86.000,0.352,0.009,136.000,0.557,0.008,20.000,0.082,0.009,2.000,0.008,0.011,71.000,0.291,0.009,148.000,0.607,0.008,23.000,0.094,0.009,2.000,0.008,0.011,54.000,0.221,0.008,154.000,0.631,0.008,35.000,0.143,0.011,1.000,0.004,0.004,49.000,0.201,0.008,144.000,0.590,0.008,46.000,0.189,0.009,5.000,0.020,0.009,52.000,0.213,0.008,152.000,0.623,0.008,38.000,0.156,0.009,2.000,0.008,0.004,54.000,0.221,0.008,152.000,0.623,0.008,37.000,0.152,0.008,1.000,0.004,0.002
CHIHUAHUA,476.000,0.326,0.046,889.000,0.609,0.052,89.000,0.061,0.047,5.000,0.003,0.028,437.000,0.300,0.045,900.000,0.617,0.051,114.000,0.078,0.053,8.000,0.005,0.045,380.000,0.260,0.046,929.000,0.637,0.050,142.000,0.097,0.054,8.000,0.005,0.043,311.000,0.213,0.046,968.000,0.663,0.050,168.000,0.115,0.051,12.000,0.008,0.048,315.000,0.216,0.052,893.000,0.612,0.050,226.000,0.155,0.045,25.000,0.017,0.046,310.000,0.212,0.049,955.000,0.655,0.052,176.000,0.121,0.041,18.000,0.012,0.037,313.000,0.215,0.049,909.000,0.623,0.051,217.000,0.149,0.047,20.000,0.014,0.038
CIUDAD DE MÉXICO,563.000,0.323,0.055,1046.000,0.601,0.061,114.000,0.065,0.060,18.000,0.010,0.101,539.000,0.310,0.056,1048.000,0.602,0.060,135.000,0.078,0.062,19.000,0.011,0.106,465.000,0.267,0.057,1080.000,0.620,0.059,180.000,0.103,0.068,16.000,0.009,0.086,393.000,0.226,0.058,1094.000,0.628,0.057,235.000,0.135,0.072,19.000,0.011,0.076,338.000,0.194,0.055,1006.000,0.578,0.056,351.000,0.202,0.070,46.000,0.026,0.085,343.000,0.197,0.054,1033.000,0.593,0.056,323.000,0.186,0.075,42.000,0.024,0.087,371.000,0.213,0.058,1014.000,0.582,0.057,315.000,0.181,0.068,41.000,0.024,0.078
COAHUILA,133.000,0.363,0.013,205.000,0.560,0.012,24.000,0.066,0.013,4.000,0.011,0.022,132.000,0.361,0.014,203.000,0.555,0.012,27.000,0.074,0.012,4.000,0.011,0.022,106.000,0.290,0.013,225.000,0.615,0.012,33.000,0.090,0.013,2.000,0.005,0.011,88.000,0.240,0.013,233.000,0.637,0.012,40.000,0.109,0.012,5.000,0.014,0.020,77.000,0.210,0.013,228.000,0.623,0.013,55.000,0.150,0.011,6.000,0.016,0.011,79.000,0.216,0.012,236.000,0.645,0.013,47.000,0.128,0.011,4.000,0.011,0.008,81.000,0.221,0.013,220.000,0.601,0.012,61.000,0.167,0.013,4.000,0.011,0.008
COLIMA,353.000,0.348,0.034,565.000,0.557,0.033,85.000,0.084,0.045,11.000,0.011,0.061,340.000,0.335,0.035,582.000,0.574,0.033,83.000,0.082,0.038,9.000,0.009,0.050,317.000,0.313,0.039,585.000,0.577,0.032,102.000,0.101,0.039,10.000,0.010,0.053,249.000,0.246,0.037,620.000,0.611,0.032,134.000,0.132,0.041,11.000,0.011,0.044,237.000,0.234,0.039,569.000,0.561,0.032,190.000,0.187,0.038,18.000,0.018,0.033,250.000,0.247,0.039,579.000,0.571,0.032,163.000,0.161,0.038,22.000,0.022,0.046,226.000,0.223,0.035,586.000,0.578,0.033,180.000,0.178,0.039,22.000,0.022,0.042
DURANGO,298.000,0.304,0.029,601.000,0.614,0.035,74.000,0.076,0.039,6.000,0.006,0.034,271.000,0.277,0.028,621.000,0.634,0.035,82.000,0.084,0.038,5.000,0.005,0.028,230.000,0.235,0.028,641.000,0.655,0.035,101.000,0.103,0.038,7.000,0.007,0.037,182.000,0.186,0.027,680.000,0.695,0.035,111.000,0.113,0.034,6.000,0.006,0.024,163.000,0.166,0.027,612.000,0.625,0.034,187.000,0.191,0.037,17.000,0.017,0.032,171.000,0.175,0.027,634.000,0.648,0.035,155.000,0.158,0.036,19.000,0.019,0.039,170.000,0.174,0.026,621.000,0.634,0.035,174.000,0.178,0.037,14.000,0.014,0.027
ESTADO DE MÉXICO,460.000,0.391,0.045,638.000,0.542,0.037,73.000,0.062,0.039,6.000,0.005,0.034,427.000,0.363,0.044,655.000,0.556,0.037,90.000,0.076,0.042,5.000,0.004,0.028,370.000,0.314,0.045,692.000,0.588,0.037,106.000,0.090,0.040,9.000,0.008,0.048,289.000,0.246,0.043,740.000,0.629,0.038,135.000,0.115,0.041,13.000,0.011,0.052,268.000,0.228,0.044,716.000,0.608,0.040,172.000,0.146,0.034,21.000,0.018,0.039,299.000,0.254,0.047,710.000,0.603,0.039,152.000,0.129,0.035,16.000,0.014,0.033,307.000,0.261,0.048,693.000,0.589,0.039,160.000,0.136,0.034,17.000,0.014,0.032
GUANAJUATO,658.000,0.385,0.064,953.000,0.557,0.056,93.000,0.054,0.049,7.000,0.004,0.039,634.000,0.371,0.066,963.000,0.563,0.055,109.000,0.064,0.050,5.000,0.003,0.028,551.000,0.322,0.067,1008.000,0.589,0.055,147.000,0.086,0.056,5.000,0.003,0.027,451.000,0.264,0.067,1066.000,0.623,0.055,185.000,0.108,0.057,9.000,0.005,0.036,403.000,0.236,0.066,998.000,0.583,0.056,279.000,0.163,0.056,31.000,0.018,0.058,429.000,0.251,0.067,993.000,0.580,0.054,260.000,0.152,0.060,29.000,0.017,0.060,414.000,0.242,0.064,1008.000,0.589,0.056,261.000,0.153,0.056,28.000,0.016,0.053
GUERRERO,99.000,0.398,0.010,139.000,0.558,0.008,10.000,0.040,0.005,1.000,0.004,0.006,89.000,0.357,0.009,148.000,0.594,0.008,10.000,0.040,0.005,2.000,0.008,0.011,70.000,0.281,0.009,163.000,0.655,0.009,13.000,0.052,0.005,3.000,0.012,0.016,63.000,0.253,0.009,163.000,0.655,0.008,23.000,0.092,0.007,0.000,0.000,0.000,51.000,0.205,0.008,164.000,0.659,0.009,31.000,0.124,0.006,3.000,0.012,0.006,60.000,0.241,0.009,163.000,0.655,0.009,24.000,0.096,0.006,2.000,0.008,0.004,53.000,0.213,0.008,169.000,0.679,0.009,22.000,0.088,0.005,5.000,0.020,0.010
HIDALGO,417.000,0.400,0.041,559.000,0.536,0.033,59.000,0.057,0.031,8.000,0.008,0.045,403.000,0.386,0.042,572.000,0.548,0.033,58.000,0.056,0.027,10.000,0.010,0.056,326.000,0.313,0.040,638.000,0.612,0.035,70.000,0.067,0.027,9.000,0.009,0.048,276.000,0.265,0.041,659.000,0.632,0.034,95.000,0.091,0.029,13.000,0.012,0.052,251.000,0.241,0.041,644.000,0.617,0.036,127.000,0.122,0.025,21.000,0.020,0.039,274.000,0.263,0.043,625.000,0.599,0.034,127.000,0.122,0.029,17.000,0.016,0.035,266.000,0.255,0.041,632.000,0.607,0.035,125.000,0.120,0.027,19.000,0.018,0.036
