Entidad,B2-A-Totalmente de acuerdo-Recuento,B2-A-Totalmente de acuerdo-% del N de fila,B2-A-Totalmente de acuerdo-% de N columnas,B2-A-De acuerdo-Recuento,B2-A-De acuerdo-% del N de fila,B2-A-De acuerdo-% de N columnas,B2-A-En desacuerdo-Recuento,B2-A-En desacuerdo-% del N de fila,B2-A-En desacuerdo-% de N columnas,B2-A-Totalmente en desacuerdo-Recuento,B2-A-Totalmente en desacuerdo-% del N de fila,B2-A-Totalmente en desacuerdo-% de N columnas,B2-B-Totalmente de acuerdo-Recuento,B2-B-Totalmente de acuerdo-% del N de fila,B2-B-Totalmente de acuerdo-% de N columnas,B2-B-De acuerdo-Recuento,B2-B-De acuerdo-% del N de fila,B2-B-De acuerdo-% de N columnas,B2-B-En desacuerdo-Recuento,B2-B-En desacuerdo-% del N de fila,B2-B-En desacuerdo-% de N columnas,B2-B-Totalmente en desacuerdo-Recuento,B2-B-Totalmente en desacuerdo-% del N de fila,B2-B-Totalmente en desacuerdo-% de N columnas,B2-C-Totalmente de acuerdo-Recuento,B2-C-Totalmente de acuerdo-% del N de fila,B2-C-Totalmente de acuerdo-% de N columnas,B2-C-De acuerdo-Recuento,B2-C-De acuerdo-% del N de fila,B2-C-De acuerdo-% de N columnas,B2-C-En desacuerdo-Recuento,B2-C-En desacuerdo-% del N de fila,B2-C-En desacuerdo-% de N columnas,B2-C-Totalmente en desacuerdo-Recuento,B2-C-Totalmente en desacuerdo-% del N de fila,B2-C-Totalmente en desacuerdo-% de N columnas,B2-D-Totalmente de acuerdo-Recuento,B2-D-Totalmente de acuerdo-% del N de fila,B2-D-Totalmente de acuerdo-% de N columnas,B2-D-De acuerdo-Recuento,B2-D-De acuerdo-% del N de fila,B2-D-De acuerdo-% de N columnas,B2-D-En desacuerdo-Recuento,B2-D-En desacuerdo-% del N de fila,B2-D-En desacuerdo-% de N columnas,B2-D-Totalmente en desacuerdo-Recuento,B2-D-Totalmente en desacuerdo-% del N de fila,B2-D-Totalmente en desacuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-Totalmente de acuerdo-Recuento,B2-E-Totalmente de acuerdo-% del N de fila,B2-E-Totalmente de acuerdo-% de N columnas,B2-E-En desacuerdo-Recuento,B2-E-En desacuerdo-% del N de fila,B2-E-En desacuerdo-% de N columnas,B2-E-Totalmente en desacuerdo-Recuento,B2-E-Totalmente en desacuerdo-% del N de fila,B2-E-Totalmente en desacuerdo-% de N columnas,B2-F-Totalmente de acuerdo-Recuento,B2-F-Totalmente de acuerdo-% del N de fila,B2-F-Totalmente de acuerdo-% de N columnas,B2-F-De acuerdo-Recuento,B2-F-De acuerdo-% del N de fila,B2-F-De acuerdo-% de N columnas,B2-F-En desacuerdo-Recuento,B2-F-En desacuerdo-% del N de fila,B2-F-En desacuerdo-% de N columnas,B2-F-Totalmente en desacuerdo-Recuento,B2-F-Totalmente en desacuerdo-% del N de fila,B2-F-Totalmente en desacuerdo-% de N columnas,B2-G-Totalmente de acuerdo-Recuento,B2-G-Totalmente de acuerdo-% del N de fila,B2-G-Totalmente de acuerdo-% de N columnas,B2-G-De acuerdo-Recuento,B2-G-De acuerdo-% del N de fila,B2-G-De acuerdo-% de N columnas,B2-G-En desacuerdo-Recuento,B2-G-En desacuerdo-% del N de fila,B2-G-En desacuerdo-% de N columnas,B2-G-Totalmente en desacuerdo-Recuento,B2-G-Totalmente en desacuerdo-% del N de fila,B2-G-Totalmente en desacuerdo-% de N columnas,B2-H-Totalmente de acuerdo-Recuento,B2-H-Totalmente de acuerdo-% del N de fila,B2-H-Totalmente de acuerdo-% de N columnas,B2-H-De acuerdo-Recuento,B2-H-De acuerdo-% del N de fila,B2-H-De acuerdo-% de N columnas,B2-H-En desacuerdo-Recuento,B2-H-En desacuerdo-% del N de fila,B2-H-En desacuerdo-% de N columnas,B2-H-Totalmente en desacuerdo-Recuento,B2-H-Totalmente en desacuerdo-% del N de fila,B2-H-Totalmente en desacuerdo-% de N columnas,B2-I-Totalmente de acuerdo-Recuento,B2-I-Totalmente de acuerdo-% del N de fila,B2-I-Totalmente de acuerdo-% de N columnas,B2-I-De acuerdo-Recuento,B2-I-De acuerdo-% del N de fila,B2-I-De acuerdo-% de N columnas,B2-I-En desacuerdo-Recuento,B2-I-En desacuerdo-% del N de fila,B2-I-En desacuerdo-% de N columnas,B2-I-Totalmente en desacuerdo-Recuento,B2-I-Totalmente en desacuerdo-% del N de fila,B2-I-Totalmente en desacuerdo-% de N columnas
AGUASCALIENTES,790.00,0.54,0.05,637.00,0.44,0.05,23.00,0.02,0.05,6.00,0.00,0.09,788.00,0.54,0.05,632.00,0.43,0.05,30.00,0.02,0.05,6.00,0.00,0.09,753.00,0.52,0.05,678.00,0.47,0.05,23.00,0.02,0.06,2.00,0.00,0.04,674.00,0.46,0.05,714.00,0.49,0.05,62.00,0.04,0.05,6.00,0.00,0.07,765.00,0.53,0.05,668.00,0.46,0.05,19.00,0.01,0.03,4.00,0.00,0.06,616.00,0.42,0.05,794.00,0.55,0.05,39.00,0.03,0.04,7.00,0.01,0.10,676.00,0.46,0.05,729.00,0.50,0.05,45.00,0.03,0.05,6.00,0.00,0.05,645.00,0.44,0.05,759.00,0.52,0.05,47.00,0.03,0.06,5.00,0.00,0.06,679.00,0.47,0.05,739.00,0.51,0.05,35.00,0.02,0.05,3.00,0.00,0.05
BAJA CALIFORNIA,67.00,0.60,0.00,44.00,0.39,0.00,1.00,0.01,0.00,0.00,0.00,0.00,62.00,0.55,0.00,49.00,0.44,0.00,0.00,0.00,0.00,1.00,0.01,0.01,56.00,0.50,0.00,55.00,0.49,0.00,1.00,0.01,0.00,0.00,0.00,0.00,46.00,0.41,0.00,55.00,0.49,0.00,11.00,0.10,0.01,0.00,0.00,0.00,63.00,0.56,0.00,49.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,0.42,0.00,60.00,0.54,0.00,5.00,0.05,0.01,0.00,0.00,0.00,52.00,0.46,0.00,58.00,0.52,0.00,2.00,0.02,0.00,0.00,0.00,0.00,51.00,0.46,0.00,57.00,0.51,0.00,4.00,0.04,0.01,0.00,0.00,0.00,54.00,0.48,0.00,55.00,0.49,0.00,3.00,0.03,0.00,0.00,0.00,0.00
BAJA CALIFORNIA SUR,740.00,0.59,0.05,487.00,0.39,0.04,25.00,0.02,0.05,0.00,0.00,0.00,723.00,0.58,0.05,506.00,0.40,0.04,21.00,0.02,0.04,2.00,0.00,0.03,684.00,0.55,0.04,544.00,0.44,0.04,24.00,0.02,0.06,0.00,0.00,0.00,616.00,0.49,0.05,594.00,0.47,0.04,41.00,0.03,0.04,1.00,0.00,0.01,717.00,0.57,0.05,514.00,0.41,0.04,20.00,0.02,0.04,1.00,0.00,0.02,597.00,0.48,0.05,625.00,0.50,0.04,30.00,0.02,0.03,0.00,0.00,0.00,637.00,0.51,0.05,583.00,0.47,0.04,31.00,0.03,0.04,1.00,0.00,0.01,621.00,0.50,0.05,601.00,0.48,0.04,29.00,0.02,0.04,1.00,0.00,0.01,661.00,0.53,0.05,568.00,0.45,0.04,23.00,0.02,0.03,0.00,0.00,0.00
CAMPECHE,284.00,0.53,0.02,245.00,0.46,0.02,8.00,0.02,0.02,0.00,0.00,0.00,274.00,0.51,0.02,255.00,0.48,0.02,8.00,0.02,0.01,0.00,0.00,0.00,256.00,0.48,0.02,272.00,0.51,0.02,9.00,0.02,0.02,0.00,0.00,0.00,244.00,0.45,0.02,286.00,0.53,0.02,7.00,0.01,0.01,0.00,0.00,0.00,269.00,0.50,0.02,257.00,0.48,0.02,11.00,0.02,0.02,0.00,0.00,0.00,231.00,0.43,0.02,287.00,0.53,0.02,19.00,0.04,0.02,0.00,0.00,0.00,233.00,0.43,0.02,291.00,0.54,0.02,13.00,0.02,0.02,0.00,0.00,0.00,236.00,0.44,0.02,285.00,0.53,0.02,16.00,0.03,0.02,0.00,0.00,0.00,251.00,0.47,0.02,282.00,0.53,0.02,3.00,0.01,0.00,1.00,0.00,0.02
CHIAPAS,135.00,0.56,0.01,104.00,0.43,0.01,1.00,0.00,0.00,1.00,0.00,0.01,137.00,0.57,0.01,101.00,0.42,0.01,3.00,0.01,0.01,0.00,0.00,0.00,117.00,0.49,0.01,123.00,0.51,0.01,1.00,0.00,0.00,0.00,0.00,0.00,111.00,0.46,0.01,124.00,0.52,0.01,6.00,0.03,0.01,0.00,0.00,0.00,121.00,0.50,0.01,117.00,0.49,0.01,3.00,0.01,0.01,0.00,0.00,0.00,100.00,0.42,0.01,138.00,0.57,0.01,3.00,0.01,0.00,0.00,0.00,0.00,109.00,0.45,0.01,127.00,0.53,0.01,5.00,0.02,0.01,0.00,0.00,0.00,99.00,0.41,0.01,138.00,0.57,0.01,4.00,0.02,0.01,0.00,0.00,0.00,119.00,0.49,0.01,118.00,0.49,0.01,4.00,0.02,0.01,0.00,0.00,0.00
CHIHUAHUA,801.00,0.55,0.05,630.00,0.43,0.05,25.00,0.02,0.05,3.00,0.00,0.04,775.00,0.53,0.05,647.00,0.44,0.05,35.00,0.02,0.06,2.00,0.00,0.03,769.00,0.53,0.05,671.00,0.46,0.05,18.00,0.01,0.04,1.00,0.00,0.02,678.00,0.47,0.05,708.00,0.49,0.05,67.00,0.05,0.06,6.00,0.00,0.07,794.00,0.54,0.05,639.00,0.44,0.05,24.00,0.02,0.04,2.00,0.00,0.03,647.00,0.44,0.05,772.00,0.53,0.05,38.00,0.03,0.04,2.00,0.00,0.03,690.00,0.47,0.05,723.00,0.50,0.05,44.00,0.03,0.05,2.00,0.00,0.02,678.00,0.47,0.05,741.00,0.51,0.05,38.00,0.03,0.05,2.00,0.00,0.02,720.00,0.49,0.05,697.00,0.48,0.05,38.00,0.03,0.05,4.00,0.00,0.07
CIUDAD DE MÉXICO,937.00,0.54,0.06,763.00,0.44,0.06,35.00,0.02,0.07,7.00,0.00,0.10,893.00,0.51,0.06,786.00,0.45,0.06,57.00,0.03,0.10,6.00,0.00,0.09,897.00,0.52,0.06,807.00,0.46,0.06,34.00,0.02,0.08,4.00,0.00,0.09,788.00,0.45,0.06,859.00,0.49,0.06,86.00,0.05,0.07,9.00,0.01,0.10,879.00,0.51,0.06,805.00,0.46,0.06,51.00,0.03,0.09,7.00,0.00,0.11,749.00,0.43,0.06,927.00,0.53,0.06,61.00,0.04,0.07,5.00,0.00,0.07,789.00,0.45,0.06,870.00,0.50,0.06,76.00,0.04,0.09,7.00,0.00,0.06,778.00,0.45,0.06,891.00,0.51,0.06,65.00,0.04,0.09,8.00,0.01,0.09,815.00,0.47,0.06,849.00,0.49,0.06,73.00,0.04,0.10,5.00,0.00,0.08
COAHUILA,187.00,0.51,0.01,172.00,0.47,0.01,4.00,0.01,0.01,1.00,0.00,0.01,176.00,0.48,0.01,177.00,0.49,0.01,11.00,0.03,0.02,0.00,0.00,0.00,181.00,0.50,0.01,177.00,0.49,0.01,5.00,0.01,0.01,1.00,0.00,0.02,156.00,0.43,0.01,190.00,0.52,0.01,17.00,0.05,0.02,1.00,0.00,0.01,178.00,0.49,0.01,182.00,0.50,0.01,4.00,0.01,0.01,0.00,0.00,0.00,143.00,0.39,0.01,208.00,0.57,0.01,12.00,0.03,0.01,1.00,0.00,0.01,159.00,0.44,0.01,192.00,0.53,0.01,11.00,0.03,0.01,2.00,0.01,0.02,159.00,0.44,0.01,200.00,0.55,0.01,4.00,0.01,0.01,1.00,0.00,0.01,156.00,0.43,0.01,198.00,0.54,0.01,10.00,0.03,0.01,0.00,0.00,0.00
COLIMA,548.00,0.54,0.03,435.00,0.43,0.04,26.00,0.03,0.05,5.00,0.01,0.07,546.00,0.54,0.03,436.00,0.43,0.03,27.00,0.03,0.05,5.00,0.01,0.07,513.00,0.51,0.03,479.00,0.47,0.04,21.00,0.02,0.05,1.00,0.00,0.02,455.00,0.45,0.03,504.00,0.50,0.04,52.00,0.05,0.05,3.00,0.00,0.03,525.00,0.52,0.03,453.00,0.45,0.04,33.00,0.03,0.06,3.00,0.00,0.05,436.00,0.43,0.03,538.00,0.53,0.03,37.00,0.04,0.04,3.00,0.00,0.04,475.00,0.47,0.03,502.00,0.50,0.03,31.00,0.03,0.04,6.00,0.01,0.05,475.00,0.47,0.04,496.00,0.49,0.03,38.00,0.04,0.05,5.00,0.01,0.06,477.00,0.47,0.03,504.00,0.50,0.04,30.00,0.03,0.04,3.00,0.00,0.05
DURANGO,544.00,0.55,0.03,426.00,0.43,0.03,12.00,0.01,0.02,1.00,0.00,0.01,512.00,0.52,0.03,450.00,0.46,0.04,18.00,0.02,0.03,3.00,0.00,0.04,500.00,0.51,0.03,471.00,0.48,0.04,11.00,0.01,0.03,1.00,0.00,0.02,447.00,0.46,0.03,499.00,0.51,0.04,33.00,0.03,0.03,4.00,0.00,0.04,529.00,0.54,0.03,435.00,0.44,0.03,17.00,0.02,0.03,2.00,0.00,0.03,404.00,0.41,0.03,546.00,0.56,0.04,32.00,0.03,0.04,1.00,0.00,0.01,437.00,0.45,0.03,510.00,0.52,0.04,32.00,0.03,0.04,4.00,0.00,0.04,437.00,0.45,0.03,521.00,0.53,0.04,23.00,0.02,0.03,2.00,0.00,0.02,473.00,0.48,0.03,487.00,0.50,0.03,22.00,0.02,0.03,1.00,0.00,0.02
