Entidad,B5-A-Muy adecuado-Recuento,B5-A-Muy adecuado-% del N de fila,B5-A-Muy adecuado-% de N columnas,B5-A-Adecuado-Recuento,B5-A-Adecuado-% del N de fila,B5-A-Adecuado-% de N columnas,B5-A-Poco adecuado-Recuento,B5-A-Poco adecuado-% del N de fila,B5-A-Poco adecuado-% de N columnas,B5-A-Nada adecuado-Recuento,B5-A-Nada adecuado-% del N de fila,B5-A-Nada adecuado-% de N columnas,B5-B-Muy adecuado-Recuento,B5-B-Muy adecuado-% del N de fila,B5-B-Muy adecuado-% de N columnas,B5-B-Adecuado-Recuento,B5-B-Adecuado-% del N de fila,B5-B-Adecuado-% de N columnas,B5-B-Poco adecuado-Recuento,B5-B-Poco adecuado-% del N de fila,B5-B-Poco adecuado-% de N columnas,B5-B-Nada adecuado-Recuento,B5-B-Nada adecuado-% del N de fila,B5-B-Nada adecuado-% de N columnas,B5-C-Muy adecuado-Recuento,B5-C-Muy adecuado-% del N de fila,B5-C-Muy adecuado-% de N columnas,B5-C-Adecuado-Recuento,B5-C-Adecuado-% del N de fila,B5-C-Adecuado-% de N columnas,B5-C-Poco adecuado-Recuento,B5-C-Poco adecuado-% del N de fila,B5-C-Poco adecuado-% de N columnas,B5-C-Nada adecuado-Recuento,B5-C-Nada adecuado-% del N de fila,B5-C-Nada adecuado-% de N columnas,B5-D-Muy adecuado-Recuento,B5-D-Muy adecuado-% del N de fila,B5-D-Muy adecuado-% de N columnas,B5-D-Adecuado-Recuento,B5-D-Adecuado-% del N de fila,B5-D-Adecuado-% de N columnas,B5-D-Poco adecuado-Recuento,B5-D-Poco adecuado-% del N de fila,B5-D-Poco adecuado-% de N columnas,B5-D-Nada adecuado-Recuento,B5-D-Nada adecuado-% del N de fila,B5-D-Nada adecuado-% de N columnas,B5-E-Muy adecuado-Recuento,B5-E-Muy adecuado-% del N de fila,B5-E-Muy adecuado-% de N columnas,B5-E-Adecuado-Recuento,B5-E-Adecuado-% del N de fila,B5-E-Adecuado-% de N columnas,B5-E-Poco adecuado-Recuento,B5-E-Poco adecuado-% del N de fila,B5-E-Poco adecuado-% de N columnas,B5-E-Nada adecuado-Recuento,B5-E-Nada adecuado-% del N de fila,B5-E-Nada adecuado-% de N columnas,B5-F-Muy adecuado-Recuento,B5-F-Muy adecuado-% del N de fila,B5-F-Muy adecuado-% de N columnas,B5-F-Adecuado-Recuento,B5-F-Adecuado-% del N de fila,B5-F-Adecuado-% de N columnas,B5-F-Poco adecuado-Recuento,B5-F-Poco adecuado-% del N de fila,B5-F-Poco adecuado-% de N columnas,B5-F-Nada adecuado-Recuento,B5-F-Nada adecuado-% del N de fila,B5-F-Nada adecuado-% de N columnas,B5-G-Muy adecuado-Recuento,B5-G-Muy adecuado-% del N de fila,B5-G-Muy adecuado-% de N columnas,B5-G-Adecuado-Recuento,B5-G-Adecuado-% del N de fila,B5-G-Adecuado-% de N columnas,B5-G-Poco adecuado-Recuento,B5-G-Poco adecuado-% del N de fila,B5-G-Poco adecuado-% de N columnas,B5-G-Nada adecuado-Recuento,B5-G-Nada adecuado-% del N de fila,B5-G-Nada adecuado-% de N columnas,B5-H-Muy adecuado-Recuento,B5-H-Muy adecuado-% del N de fila,B5-H-Muy adecuado-% de N columnas,B5-H-Adecuado-Recuento,B5-H-Adecuado-% del N de fila,B5-H-Adecuado-% de N columnas,B5-H-Poco adecuado-Recuento,B5-H-Poco adecuado-% del N de fila,B5-H-Poco adecuado-% de N columnas,B5-H-Nada adecuado-Recuento,B5-H-Nada adecuado-% del N de fila,B5-H-Nada adecuado-% de N columnas
AGUASCALIENTES,505.00,0.35,0.05,833.00,0.57,0.05,111.00,0.08,0.05,7.00,0.01,0.05,501.00,0.34,0.05,861.00,0.59,0.05,89.00,0.06,0.04,5.00,0.00,0.03,516.00,0.35,0.05,766.00,0.53,0.05,150.00,0.10,0.05,24.00,0.02,0.04,585.00,0.40,0.05,759.00,0.52,0.05,100.00,0.07,0.05,12.00,0.01,0.06,581.00,0.40,0.05,743.00,0.51,0.05,113.00,0.08,0.05,19.00,0.01,0.05,626.00,0.43,0.05,713.00,0.49,0.05,104.00,0.07,0.05,13.00,0.01,0.04,565.00,0.39,0.05,792.00,0.54,0.05,89.00,0.06,0.04,10.00,0.01,0.05,480.00,0.33,0.05,817.00,0.56,0.05,139.00,0.10,0.05,19.00,0.01,0.05
BAJA CALIFORNIA,42.00,0.38,0.00,61.00,0.55,0.00,9.00,0.08,0.00,0.00,0.00,0.00,44.00,0.39,0.00,61.00,0.55,0.00,6.00,0.05,0.00,1.00,0.01,0.01,50.00,0.45,0.01,51.00,0.46,0.00,10.00,0.09,0.00,1.00,0.01,0.00,51.00,0.46,0.00,56.00,0.50,0.00,4.00,0.04,0.00,1.00,0.01,0.01,54.00,0.48,0.01,54.00,0.48,0.00,4.00,0.04,0.00,0.00,0.00,0.00,50.00,0.45,0.00,50.00,0.45,0.00,9.00,0.08,0.00,3.00,0.03,0.01,52.00,0.46,0.01,50.00,0.45,0.00,10.00,0.09,0.01,0.00,0.00,0.00,44.00,0.39,0.01,56.00,0.50,0.00,11.00,0.10,0.00,1.00,0.01,0.00
BAJA CALIFORNIA SUR,451.00,0.36,0.05,678.00,0.54,0.04,116.00,0.09,0.05,7.00,0.01,0.05,447.00,0.36,0.05,688.00,0.55,0.04,110.00,0.09,0.05,7.00,0.01,0.05,457.00,0.37,0.04,615.00,0.49,0.04,144.00,0.12,0.05,36.00,0.03,0.06,498.00,0.40,0.04,646.00,0.52,0.04,98.00,0.08,0.05,10.00,0.01,0.05,490.00,0.39,0.04,630.00,0.50,0.04,113.00,0.09,0.05,19.00,0.02,0.05,511.00,0.41,0.04,632.00,0.51,0.04,86.00,0.07,0.04,22.00,0.02,0.06,496.00,0.40,0.05,650.00,0.52,0.04,90.00,0.07,0.04,16.00,0.01,0.07,453.00,0.36,0.05,675.00,0.54,0.04,100.00,0.08,0.04,24.00,0.02,0.06
CAMPECHE,164.00,0.31,0.02,321.00,0.60,0.02,47.00,0.09,0.02,5.00,0.01,0.03,146.00,0.27,0.02,347.00,0.65,0.02,39.00,0.07,0.02,5.00,0.01,0.03,184.00,0.34,0.02,271.00,0.51,0.02,60.00,0.11,0.02,22.00,0.04,0.03,197.00,0.37,0.02,294.00,0.55,0.02,41.00,0.08,0.02,5.00,0.01,0.03,190.00,0.35,0.02,290.00,0.54,0.02,44.00,0.08,0.02,13.00,0.02,0.03,190.00,0.35,0.02,303.00,0.56,0.02,34.00,0.06,0.02,10.00,0.02,0.03,188.00,0.35,0.02,309.00,0.58,0.02,34.00,0.06,0.02,6.00,0.01,0.03,155.00,0.29,0.02,331.00,0.62,0.02,42.00,0.08,0.02,9.00,0.02,0.02
CHIAPAS,76.00,0.32,0.01,143.00,0.59,0.01,22.00,0.09,0.01,0.00,0.00,0.00,80.00,0.33,0.01,151.00,0.63,0.01,10.00,0.04,0.01,0.00,0.00,0.00,84.00,0.35,0.01,119.00,0.49,0.01,34.00,0.14,0.01,4.00,0.02,0.01,96.00,0.40,0.01,127.00,0.53,0.01,13.00,0.05,0.01,5.00,0.02,0.03,95.00,0.39,0.01,127.00,0.53,0.01,15.00,0.06,0.01,4.00,0.02,0.01,108.00,0.45,0.01,112.00,0.47,0.01,18.00,0.08,0.01,3.00,0.01,0.01,98.00,0.41,0.01,126.00,0.52,0.01,12.00,0.05,0.01,5.00,0.02,0.02,86.00,0.36,0.01,130.00,0.54,0.01,20.00,0.08,0.01,5.00,0.02,0.01
CHIHUAHUA,490.00,0.34,0.05,866.00,0.59,0.05,98.00,0.07,0.04,5.00,0.00,0.03,510.00,0.35,0.05,856.00,0.59,0.05,90.00,0.06,0.04,3.00,0.00,0.02,545.00,0.37,0.05,770.00,0.53,0.05,127.00,0.09,0.04,17.00,0.01,0.03,615.00,0.42,0.05,769.00,0.53,0.05,71.00,0.05,0.04,4.00,0.00,0.02,575.00,0.39,0.05,783.00,0.54,0.05,94.00,0.06,0.04,7.00,0.01,0.02,602.00,0.41,0.05,753.00,0.52,0.05,87.00,0.06,0.04,17.00,0.01,0.05,560.00,0.38,0.05,820.00,0.56,0.05,71.00,0.05,0.04,8.00,0.01,0.04,499.00,0.34,0.05,848.00,0.58,0.05,101.00,0.07,0.04,11.00,0.01,0.03
CIUDAD DE MÉXICO,585.00,0.34,0.06,975.00,0.56,0.06,170.00,0.10,0.08,12.00,0.01,0.08,562.00,0.32,0.06,1007.00,0.58,0.06,163.00,0.09,0.08,10.00,0.01,0.06,618.00,0.36,0.06,845.00,0.49,0.06,227.00,0.13,0.07,52.00,0.03,0.08,665.00,0.38,0.06,924.00,0.53,0.06,141.00,0.08,0.08,12.00,0.01,0.06,653.00,0.38,0.06,872.00,0.50,0.06,189.00,0.11,0.08,28.00,0.02,0.07,635.00,0.37,0.05,934.00,0.54,0.06,148.00,0.09,0.07,25.00,0.01,0.07,626.00,0.36,0.06,947.00,0.54,0.06,151.00,0.09,0.07,18.00,0.01,0.08,537.00,0.31,0.06,965.00,0.55,0.06,206.00,0.12,0.07,34.00,0.02,0.09
COAHUILA,129.00,0.35,0.01,210.00,0.58,0.01,24.00,0.07,0.01,1.00,0.00,0.01,116.00,0.32,0.01,230.00,0.63,0.01,18.00,0.05,0.01,0.00,0.00,0.00,119.00,0.33,0.01,211.00,0.58,0.01,29.00,0.08,0.01,5.00,0.01,0.01,137.00,0.38,0.01,205.00,0.56,0.01,21.00,0.06,0.01,1.00,0.00,0.01,136.00,0.37,0.01,207.00,0.57,0.01,17.00,0.05,0.01,4.00,0.01,0.01,143.00,0.39,0.01,196.00,0.54,0.01,24.00,0.07,0.01,1.00,0.00,0.00,138.00,0.38,0.01,203.00,0.56,0.01,19.00,0.05,0.01,4.00,0.01,0.02,116.00,0.32,0.01,204.00,0.56,0.01,38.00,0.10,0.01,6.00,0.02,0.02
COLIMA,363.00,0.36,0.04,554.00,0.55,0.03,90.00,0.09,0.04,7.00,0.01,0.05,353.00,0.35,0.04,583.00,0.58,0.03,69.00,0.07,0.03,9.00,0.01,0.06,367.00,0.36,0.03,504.00,0.50,0.03,118.00,0.12,0.04,25.00,0.03,0.04,415.00,0.41,0.03,509.00,0.50,0.03,78.00,0.08,0.04,12.00,0.01,0.06,406.00,0.40,0.04,502.00,0.50,0.03,81.00,0.08,0.03,25.00,0.03,0.06,401.00,0.40,0.03,528.00,0.52,0.04,69.00,0.07,0.03,16.00,0.02,0.05,375.00,0.37,0.03,550.00,0.54,0.03,79.00,0.08,0.04,10.00,0.01,0.05,328.00,0.32,0.03,565.00,0.56,0.03,103.00,0.10,0.04,18.00,0.02,0.05
DURANGO,292.00,0.30,0.03,601.00,0.61,0.04,79.00,0.08,0.04,10.00,0.01,0.07,314.00,0.32,0.03,593.00,0.60,0.03,67.00,0.07,0.03,8.00,0.01,0.05,323.00,0.33,0.03,519.00,0.53,0.04,118.00,0.12,0.04,22.00,0.02,0.03,375.00,0.38,0.03,534.00,0.54,0.04,59.00,0.06,0.03,14.00,0.01,0.07,354.00,0.36,0.03,537.00,0.55,0.04,80.00,0.08,0.03,11.00,0.01,0.03,359.00,0.37,0.03,534.00,0.54,0.04,75.00,0.08,0.04,14.00,0.01,0.04,328.00,0.33,0.03,564.00,0.57,0.04,81.00,0.08,0.04,9.00,0.01,0.04,295.00,0.30,0.03,590.00,0.60,0.04,80.00,0.08,0.03,17.00,0.02,0.05
