Entidad,B3-A-Formar parte de alguna red de docentes/directores-Recuento,B3-A-Formar parte de alguna red de docentes/directores-% del N de fila,B3-A-Formar parte de alguna red de docentes/directores-% de N columnas,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-A-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-A-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-A-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-A-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-B-Formar parte de alguna red de docentes/directores-Recuento,B3-B-Formar parte de alguna red de docentes/directores-% del N de fila,B3-B-Formar parte de alguna red de docentes/directores-% de N columnas,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-B-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-B-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-B-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-B-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-C-Formar parte de alguna red de docentes/directores-Recuento,B3-C-Formar parte de alguna red de docentes/directores-% del N de fila,B3-C-Formar parte de alguna red de docentes/directores-% de N columnas,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-C-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-C-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-C-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-C-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-D-Formar parte de alguna red de docentes/directores-Recuento,B3-D-Formar parte de alguna red de docentes/directores-% del N de fila,B3-D-Formar parte de alguna red de docentes/directores-% de N columnas,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-D-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-D-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-D-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-D-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-E-Formar parte de alguna red de docentes/directores-Recuento,B3-E-Formar parte de alguna red de docentes/directores-% del N de fila,B3-E-Formar parte de alguna red de docentes/directores-% de N columnas,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-E-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-E-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-E-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-E-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas,B3-F-Formar parte de alguna red de docentes/directores-Recuento,B3-F-Formar parte de alguna red de docentes/directores-% del N de fila,B3-F-Formar parte de alguna red de docentes/directores-% de N columnas,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-Recuento,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% del N de fila,B3-F-Recibir asesoría y acompañamiento por parte de la supervisión o de un asesor técnico pedagógico-% de N columnas,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-Recuento,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% del N de fila,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio en la escuela-% de N columnas,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-Recuento,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-% del N de fila,B3-F-Participar en programas de especialización de métodos de enseñanza colectivos-% de N columnas,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-Recuento,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-% del N de fila,B3-F-Acceder a cursos o talleres relacionados con las características del plan de estudio-% de N columnas,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-Recuento,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% del N de fila,B3-F-Participar en ejercicios colectivos de reflexión y análisis sobre el plan de estudio a nivel de zona o sector escolar-% de N columnas
AGUASCALIENTES,249.00,0.17,0.06,330.00,0.23,0.05,240.00,0.17,0.05,184.00,0.13,0.05,111.00,0.08,0.05,341.00,0.23,0.05,157.00,0.11,0.05,307.00,0.21,0.05,264.00,0.18,0.05,264.00,0.18,0.06,222.00,0.15,0.05,241.00,0.17,0.05,209.00,0.14,0.05,197.00,0.14,0.05,188.00,0.13,0.04,303.00,0.21,0.05,296.00,0.20,0.05,262.00,0.18,0.05,259.00,0.18,0.05,182.00,0.13,0.05,225.00,0.16,0.05,276.00,0.19,0.05,281.00,0.19,0.05,231.00,0.16,0.05,224.00,0.15,0.05,257.00,0.18,0.06,243.00,0.17,0.05,256.00,0.18,0.05,284.00,0.20,0.05,190.00,0.13,0.05,357.00,0.25,0.04,181.00,0.12,0.05,294.00,0.20,0.06,172.00,0.12,0.04,260.00,0.18,0.05,190.00,0.13,0.06
BAJA CALIFORNIA,19.00,0.17,0.00,28.00,0.25,0.00,15.00,0.13,0.00,18.00,0.16,0.01,9.00,0.08,0.00,23.00,0.21,0.00,10.00,0.09,0.00,29.00,0.26,0.01,20.00,0.18,0.00,16.00,0.14,0.00,12.00,0.11,0.00,25.00,0.22,0.01,9.00,0.08,0.00,20.00,0.18,0.01,11.00,0.10,0.00,29.00,0.26,0.01,23.00,0.21,0.00,20.00,0.18,0.00,17.00,0.15,0.00,16.00,0.14,0.00,16.00,0.14,0.00,19.00,0.17,0.00,30.00,0.27,0.01,14.00,0.13,0.00,19.00,0.17,0.00,5.00,0.05,0.00,29.00,0.26,0.01,20.00,0.18,0.00,21.00,0.19,0.00,18.00,0.16,0.01,38.00,0.34,0.01,14.00,0.13,0.00,21.00,0.19,0.00,10.00,0.09,0.00,17.00,0.15,0.00,12.00,0.11,0.00
BAJA CALIFORNIA SUR,229.00,0.18,0.05,241.00,0.19,0.04,226.00,0.18,0.04,179.00,0.14,0.05,107.00,0.09,0.05,269.00,0.22,0.04,146.00,0.12,0.05,279.00,0.22,0.04,206.00,0.17,0.04,200.00,0.16,0.04,199.00,0.16,0.04,221.00,0.18,0.04,163.00,0.13,0.04,189.00,0.15,0.04,174.00,0.14,0.04,249.00,0.20,0.04,234.00,0.19,0.04,242.00,0.19,0.04,189.00,0.15,0.04,180.00,0.14,0.05,194.00,0.16,0.04,231.00,0.19,0.04,263.00,0.21,0.04,194.00,0.16,0.04,168.00,0.13,0.04,220.00,0.18,0.05,210.00,0.17,0.04,222.00,0.18,0.04,248.00,0.20,0.04,183.00,0.15,0.05,356.00,0.29,0.04,142.00,0.11,0.04,241.00,0.19,0.05,170.00,0.14,0.04,200.00,0.16,0.04,142.00,0.11,0.04
CAMPECHE,88.00,0.16,0.02,122.00,0.23,0.02,91.00,0.17,0.02,60.00,0.11,0.02,51.00,0.10,0.02,124.00,0.23,0.02,54.00,0.10,0.02,104.00,0.19,0.02,115.00,0.22,0.02,85.00,0.16,0.02,83.00,0.16,0.02,95.00,0.18,0.02,67.00,0.13,0.02,79.00,0.15,0.02,85.00,0.16,0.02,91.00,0.17,0.02,99.00,0.19,0.02,115.00,0.22,0.02,94.00,0.18,0.02,84.00,0.16,0.02,81.00,0.15,0.02,92.00,0.17,0.02,103.00,0.19,0.02,82.00,0.15,0.02,80.00,0.15,0.02,92.00,0.17,0.02,75.00,0.14,0.02,112.00,0.21,0.02,113.00,0.21,0.02,64.00,0.12,0.02,153.00,0.29,0.02,55.00,0.10,0.02,89.00,0.17,0.02,96.00,0.18,0.02,87.00,0.16,0.02,56.00,0.10,0.02
CHIAPAS,39.00,0.16,0.01,63.00,0.26,0.01,36.00,0.15,0.01,24.00,0.10,0.01,22.00,0.09,0.01,57.00,0.24,0.01,27.00,0.11,0.01,46.00,0.19,0.01,57.00,0.24,0.01,34.00,0.14,0.01,35.00,0.15,0.01,42.00,0.17,0.01,45.00,0.19,0.01,36.00,0.15,0.01,36.00,0.15,0.01,49.00,0.20,0.01,41.00,0.17,0.01,34.00,0.14,0.01,35.00,0.15,0.01,26.00,0.11,0.01,35.00,0.15,0.01,61.00,0.25,0.01,52.00,0.22,0.01,31.00,0.13,0.01,28.00,0.12,0.01,43.00,0.18,0.01,39.00,0.16,0.01,40.00,0.17,0.01,46.00,0.19,0.01,44.00,0.18,0.01,67.00,0.28,0.01,26.00,0.11,0.01,38.00,0.16,0.01,32.00,0.13,0.01,45.00,0.19,0.01,32.00,0.13,0.01
CHIHUAHUA,222.00,0.15,0.05,338.00,0.23,0.05,198.00,0.14,0.04,196.00,0.13,0.06,133.00,0.09,0.06,371.00,0.25,0.05,188.00,0.13,0.06,266.00,0.18,0.04,245.00,0.17,0.04,250.00,0.17,0.05,235.00,0.16,0.05,274.00,0.19,0.05,202.00,0.14,0.05,203.00,0.14,0.05,254.00,0.17,0.06,267.00,0.18,0.05,259.00,0.18,0.05,273.00,0.19,0.05,255.00,0.18,0.05,208.00,0.14,0.05,218.00,0.15,0.05,301.00,0.21,0.05,268.00,0.18,0.05,207.00,0.14,0.05,221.00,0.15,0.05,249.00,0.17,0.05,268.00,0.18,0.06,246.00,0.17,0.04,299.00,0.21,0.05,174.00,0.12,0.05,369.00,0.25,0.04,193.00,0.13,0.06,275.00,0.19,0.06,198.00,0.14,0.05,263.00,0.18,0.05,159.00,0.11,0.05
CIUDAD DE MÉXICO,212.00,0.12,0.05,444.00,0.26,0.07,348.00,0.20,0.07,161.00,0.09,0.05,117.00,0.07,0.05,459.00,0.26,0.06,183.00,0.11,0.06,399.00,0.23,0.06,368.00,0.21,0.07,285.00,0.16,0.06,273.00,0.16,0.06,233.00,0.13,0.05,245.00,0.14,0.06,235.00,0.14,0.06,272.00,0.16,0.06,324.00,0.19,0.06,304.00,0.18,0.06,359.00,0.21,0.07,290.00,0.17,0.06,234.00,0.14,0.06,238.00,0.14,0.05,356.00,0.21,0.06,367.00,0.21,0.06,253.00,0.15,0.06,273.00,0.16,0.06,238.00,0.14,0.05,267.00,0.15,0.06,366.00,0.21,0.07,382.00,0.22,0.06,212.00,0.12,0.06,535.00,0.31,0.06,190.00,0.11,0.05,245.00,0.14,0.05,248.00,0.14,0.06,297.00,0.17,0.06,223.00,0.13,0.06
COAHUILA,64.00,0.18,0.02,67.00,0.19,0.01,46.00,0.13,0.01,63.00,0.17,0.02,29.00,0.08,0.01,94.00,0.26,0.01,46.00,0.13,0.02,61.00,0.17,0.01,59.00,0.16,0.01,54.00,0.15,0.01,63.00,0.17,0.01,80.00,0.22,0.02,35.00,0.10,0.01,59.00,0.16,0.01,50.00,0.14,0.01,75.00,0.21,0.01,86.00,0.24,0.02,58.00,0.16,0.01,71.00,0.20,0.01,55.00,0.15,0.01,59.00,0.16,0.01,55.00,0.15,0.01,74.00,0.20,0.01,49.00,0.14,0.01,55.00,0.15,0.01,70.00,0.19,0.02,68.00,0.19,0.01,65.00,0.18,0.01,59.00,0.16,0.01,45.00,0.12,0.01,92.00,0.25,0.01,51.00,0.14,0.02,81.00,0.22,0.02,50.00,0.14,0.01,51.00,0.14,0.01,37.00,0.10,0.01
COLIMA,173.00,0.17,0.04,239.00,0.24,0.04,183.00,0.18,0.04,109.00,0.11,0.03,96.00,0.10,0.04,214.00,0.21,0.03,94.00,0.09,0.03,251.00,0.25,0.04,183.00,0.18,0.03,179.00,0.18,0.04,138.00,0.14,0.03,169.00,0.17,0.03,148.00,0.15,0.04,127.00,0.13,0.03,168.00,0.17,0.04,198.00,0.20,0.03,190.00,0.19,0.04,183.00,0.18,0.03,166.00,0.16,0.03,132.00,0.13,0.03,127.00,0.13,0.03,216.00,0.21,0.04,198.00,0.20,0.03,174.00,0.17,0.04,179.00,0.18,0.04,152.00,0.15,0.03,170.00,0.17,0.04,179.00,0.18,0.03,209.00,0.21,0.04,123.00,0.12,0.03,254.00,0.25,0.03,111.00,0.11,0.03,182.00,0.18,0.04,132.00,0.13,0.03,183.00,0.18,0.04,150.00,0.15,0.04
DURANGO,135.00,0.14,0.03,207.00,0.21,0.03,148.00,0.15,0.03,113.00,0.12,0.03,95.00,0.10,0.04,284.00,0.29,0.04,114.00,0.12,0.04,202.00,0.21,0.03,179.00,0.18,0.03,158.00,0.16,0.03,157.00,0.16,0.03,172.00,0.18,0.03,128.00,0.13,0.03,160.00,0.16,0.04,151.00,0.15,0.03,189.00,0.19,0.03,190.00,0.19,0.04,163.00,0.17,0.03,184.00,0.19,0.04,116.00,0.12,0.03,162.00,0.17,0.04,184.00,0.19,0.03,189.00,0.19,0.03,146.00,0.15,0.03,156.00,0.16,0.03,159.00,0.16,0.03,170.00,0.17,0.04,183.00,0.19,0.03,193.00,0.20,0.03,119.00,0.12,0.03,264.00,0.27,0.03,137.00,0.14,0.04,171.00,0.17,0.03,154.00,0.16,0.04,157.00,0.16,0.03,97.00,0.10,0.03
