Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas
AGUASCALIENTES,926.00,0.64,0.05,526.00,0.36,0.05,1039.00,0.72,0.05,413.00,0.28,0.05,1074.00,0.74,0.05,378.00,0.26,0.05,1137.00,0.78,0.05,315.00,0.22,0.05,1144.00,0.79,0.05,308.00,0.21,0.05,1117.00,0.77,0.05,335.00,0.23,0.05,1149.00,0.79,0.05,303.00,0.21,0.05
BAJA CALIFORNIA,56.00,0.50,0.00,56.00,0.50,0.01,72.00,0.64,0.00,40.00,0.36,0.01,81.00,0.72,0.00,31.00,0.28,0.00,83.00,0.74,0.00,29.00,0.26,0.00,89.00,0.80,0.00,23.00,0.21,0.00,79.00,0.71,0.00,33.00,0.30,0.01,83.00,0.75,0.00,28.00,0.25,0.00
BAJA CALIFORNIA SUR,779.00,0.62,0.04,470.00,0.38,0.05,841.00,0.67,0.04,408.00,0.33,0.05,919.00,0.74,0.04,330.00,0.26,0.04,984.00,0.79,0.04,265.00,0.21,0.04,960.00,0.77,0.04,289.00,0.23,0.04,947.00,0.76,0.04,302.00,0.24,0.04,966.00,0.77,0.04,283.00,0.23,0.05
CAMPECHE,359.00,0.67,0.02,178.00,0.33,0.02,393.00,0.73,0.02,144.00,0.27,0.02,402.00,0.75,0.02,135.00,0.25,0.02,414.00,0.77,0.02,123.00,0.23,0.02,420.00,0.78,0.02,117.00,0.22,0.02,415.00,0.77,0.02,122.00,0.23,0.02,433.00,0.81,0.02,104.00,0.19,0.02
CHIAPAS,162.00,0.67,0.01,79.00,0.33,0.01,186.00,0.77,0.01,55.00,0.23,0.01,188.00,0.78,0.01,53.00,0.22,0.01,197.00,0.82,0.01,44.00,0.18,0.01,200.00,0.83,0.01,41.00,0.17,0.01,198.00,0.82,0.01,43.00,0.18,0.01,203.00,0.84,0.01,38.00,0.16,0.01
CHIHUAHUA,994.00,0.68,0.05,465.00,0.32,0.04,1096.00,0.75,0.05,363.00,0.25,0.04,1092.00,0.75,0.05,367.00,0.25,0.05,1171.00,0.80,0.05,288.00,0.20,0.05,1140.00,0.78,0.05,319.00,0.22,0.05,1126.00,0.77,0.05,333.00,0.23,0.05,1176.00,0.81,0.05,283.00,0.19,0.05
CIUDAD DE MÉXICO,1066.00,0.61,0.06,673.00,0.39,0.06,1165.00,0.67,0.06,574.00,0.33,0.07,1275.00,0.73,0.06,464.00,0.27,0.06,1303.00,0.75,0.06,436.00,0.25,0.07,1284.00,0.74,0.06,455.00,0.26,0.07,1291.00,0.74,0.06,448.00,0.26,0.06,1292.00,0.74,0.06,447.00,0.26,0.07
COAHUILA,240.00,0.66,0.01,123.00,0.34,0.01,263.00,0.73,0.01,100.00,0.28,0.01,268.00,0.74,0.01,95.00,0.26,0.01,291.00,0.80,0.01,72.00,0.20,0.01,279.00,0.77,0.01,84.00,0.23,0.01,274.00,0.76,0.01,89.00,0.25,0.01,295.00,0.81,0.01,68.00,0.19,0.01
COLIMA,579.00,0.57,0.03,430.00,0.43,0.04,677.00,0.67,0.03,332.00,0.33,0.04,706.00,0.70,0.03,303.00,0.30,0.04,756.00,0.75,0.03,253.00,0.25,0.04,725.00,0.72,0.03,284.00,0.28,0.04,693.00,0.69,0.03,316.00,0.31,0.05,749.00,0.74,0.03,260.00,0.26,0.04
DURANGO,601.00,0.61,0.03,384.00,0.39,0.04,678.00,0.69,0.03,307.00,0.31,0.04,702.00,0.71,0.03,283.00,0.29,0.04,772.00,0.78,0.03,213.00,0.22,0.03,756.00,0.77,0.03,229.00,0.23,0.03,735.00,0.75,0.03,250.00,0.25,0.04,773.00,0.79,0.03,212.00,0.22,0.03
