Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas
AGUASCALIENTES,1193.00,0.82,0.05,259.00,0.18,0.05,1239.00,0.85,0.05,213.00,0.15,0.05,1206.00,0.83,0.05,246.00,0.17,0.05,904.00,0.62,0.05,548.00,0.38,0.05,1350.00,0.93,0.05,102.00,0.07,0.04,1346.00,0.93,0.05,106.00,0.07,0.04,1111.00,0.77,0.05,341.00,0.24,0.05,1011.00,0.70,0.05,441.00,0.30,0.05,1263.00,0.87,0.05,189.00,0.13,0.04
BAJA CALIFORNIA,103.00,0.93,0.00,8.00,0.07,0.00,100.00,0.90,0.00,11.00,0.10,0.00,93.00,0.84,0.00,18.00,0.16,0.00,63.00,0.57,0.00,48.00,0.43,0.00,102.00,0.92,0.00,9.00,0.08,0.00,101.00,0.91,0.00,10.00,0.09,0.00,78.00,0.70,0.00,33.00,0.30,0.00,76.00,0.69,0.00,35.00,0.32,0.00,99.00,0.89,0.00,12.00,0.11,0.00
BAJA CALIFORNIA SUR,952.00,0.76,0.04,297.00,0.24,0.05,1051.00,0.84,0.04,198.00,0.16,0.05,1012.00,0.81,0.04,237.00,0.19,0.05,752.00,0.60,0.04,497.00,0.40,0.04,1142.00,0.91,0.04,107.00,0.09,0.04,1114.00,0.89,0.04,135.00,0.11,0.05,901.00,0.72,0.04,348.00,0.28,0.05,825.00,0.66,0.04,424.00,0.34,0.05,1040.00,0.83,0.04,209.00,0.17,0.05
CAMPECHE,453.00,0.84,0.02,84.00,0.16,0.02,462.00,0.86,0.02,75.00,0.14,0.02,465.00,0.87,0.02,72.00,0.13,0.02,357.00,0.67,0.02,180.00,0.34,0.02,497.00,0.93,0.02,40.00,0.07,0.02,492.00,0.92,0.02,44.00,0.08,0.02,415.00,0.77,0.02,121.00,0.23,0.02,376.00,0.70,0.02,160.00,0.30,0.02,454.00,0.85,0.02,82.00,0.15,0.02
CHIAPAS,180.00,0.75,0.01,61.00,0.25,0.01,209.00,0.87,0.01,32.00,0.13,0.01,205.00,0.85,0.01,36.00,0.15,0.01,145.00,0.60,0.01,96.00,0.40,0.01,206.00,0.86,0.01,35.00,0.15,0.01,214.00,0.89,0.01,27.00,0.11,0.01,169.00,0.70,0.01,72.00,0.30,0.01,168.00,0.70,0.01,73.00,0.30,0.01,189.00,0.78,0.01,52.00,0.22,0.01
CHIHUAHUA,1183.00,0.81,0.05,276.00,0.19,0.05,1216.00,0.83,0.05,243.00,0.17,0.06,1175.00,0.81,0.05,284.00,0.20,0.06,853.00,0.59,0.05,606.00,0.42,0.05,1313.00,0.90,0.05,146.00,0.10,0.06,1298.00,0.89,0.05,161.00,0.11,0.06,1080.00,0.74,0.05,379.00,0.26,0.05,1014.00,0.70,0.05,445.00,0.31,0.05,1253.00,0.86,0.05,206.00,0.14,0.05
CIUDAD DE MÉXICO,1475.00,0.85,0.06,263.00,0.15,0.05,1543.00,0.89,0.06,195.00,0.11,0.05,1508.00,0.87,0.06,230.00,0.13,0.05,1043.00,0.60,0.06,695.00,0.40,0.06,1585.00,0.91,0.06,153.00,0.09,0.06,1626.00,0.94,0.06,112.00,0.06,0.04,1288.00,0.74,0.06,450.00,0.26,0.06,1130.00,0.65,0.06,608.00,0.35,0.06,1499.00,0.86,0.06,239.00,0.14,0.05
COAHUILA,304.00,0.84,0.01,58.00,0.16,0.01,282.00,0.78,0.01,80.00,0.22,0.02,282.00,0.78,0.01,80.00,0.22,0.02,217.00,0.60,0.01,145.00,0.40,0.01,320.00,0.88,0.01,42.00,0.12,0.02,326.00,0.90,0.01,36.00,0.10,0.01,283.00,0.78,0.01,79.00,0.22,0.01,243.00,0.67,0.01,119.00,0.33,0.01,304.00,0.84,0.01,58.00,0.16,0.01
COLIMA,804.00,0.80,0.03,205.00,0.20,0.04,860.00,0.85,0.03,149.00,0.15,0.04,849.00,0.84,0.04,160.00,0.16,0.03,635.00,0.63,0.04,374.00,0.37,0.03,918.00,0.91,0.03,91.00,0.09,0.04,926.00,0.92,0.03,83.00,0.08,0.03,802.00,0.80,0.04,207.00,0.21,0.03,708.00,0.70,0.04,301.00,0.30,0.03,850.00,0.84,0.03,159.00,0.16,0.04
DURANGO,772.00,0.78,0.03,213.00,0.22,0.04,772.00,0.78,0.03,213.00,0.22,0.05,756.00,0.77,0.03,229.00,0.23,0.05,565.00,0.57,0.03,420.00,0.43,0.04,877.00,0.89,0.03,108.00,0.11,0.04,861.00,0.88,0.03,123.00,0.13,0.05,737.00,0.75,0.03,248.00,0.25,0.03,653.00,0.66,0.03,332.00,0.34,0.04,824.00,0.84,0.03,161.00,0.16,0.04
ESTADO DE MÉXICO,1021.00,0.87,0.04,156.00,0.13,0.03,1061.00,0.90,0.04,116.00,0.10,0.03,1046.00,0.89,0.04,131.00,0.11,0.03,767.00,0.65,0.04,410.00,0.35,0.04,1076.00,0.91,0.04,101.00,0.09,0.04,1110.00,0.94,0.04,67.00,0.06,0.03,929.00,0.79,0.04,248.00,0.21,0.03,829.00,0.70,0.04,348.00,0.30,0.04,1006.00,0.86,0.04,171.00,0.15,0.04
GUANAJUATO,1378.00,0.81,0.06,333.00,0.20,0.06,1521.00,0.89,0.06,191.00,0.11,0.05,1468.00,0.86,0.06,244.00,0.14,0.05,1024.00,0.60,0.06,687.00,0.40,0.06,1580.00,0.92,0.06,131.00,0.08,0.05,1558.00,0.91,0.06,154.00,0.09,0.06,1283.00,0.75,0.06,428.00,0.25,0.06,1181.00,0.69,0.06,530.00,0.31,0.06,1469.00,0.86,0.06,242.00,0.14,0.06
GUERRERO,215.00,0.86,0.01,35.00,0.14,0.01,219.00,0.88,0.01,31.00,0.12,0.01,213.00,0.85,0.01,37.00,0.15,0.01,167.00,0.67,0.01,83.00,0.33,0.01,228.00,0.91,0.01,22.00,0.09,0.01,236.00,0.94,0.01,14.00,0.06,0.01,195.00,0.78,0.01,55.00,0.22,0.01,182.00,0.73,0.01,68.00,0.27,0.01,214.00,0.86,0.01,36.00,0.14,0.01
HIDALGO,899.00,0.86,0.04,142.00,0.14,0.03,936.00,0.90,0.04,104.00,0.10,0.02,918.00,0.88,0.04,122.00,0.12,0.03,715.00,0.69,0.04,325.00,0.31,0.03,982.00,0.94,0.04,58.00,0.06,0.02,974.00,0.94,0.04,66.00,0.06,0.03,802.00,0.77,0.04,238.00,0.23,0.03,721.00,0.69,0.04,319.00,0.31,0.03,899.00,0.86,0.04,141.00,0.14,0.03
JALISCO,1056.00,0.84,0.04,202.00,0.16,0.04,1094.00,0.87,0.04,164.00,0.13,0.04,1051.00,0.84,0.04,207.00,0.17,0.04,729.00,0.58,0.04,529.00,0.42,0.05,1156.00,0.92,0.04,102.00,0.08,0.04,1132.00,0.90,0.04,126.00,0.10,0.05,966.00,0.77,0.04,292.00,0.23,0.04,863.00,0.69,0.04,395.00,0.31,0.04,1097.00,0.87,0.04,161.00,0.13,0.04
MICHOACÁN,9.00,0.82,0.00,2.00,0.18,0.00,8.00,0.73,0.00,3.00,0.27,0.00,7.00,0.64,0.00,4.00,0.36,0.00,8.00,0.73,0.00,3.00,0.27,0.00,9.00,0.82,0.00,2.00,0.18,0.00,10.00,0.91,0.00,1.00,0.09,0.00,7.00,0.64,0.00,4.00,0.36,0.00,8.00,0.73,0.00,3.00,0.27,0.00,9.00,0.82,0.00,2.00,0.18,0.00
MORELOS,1247.00,0.83,0.05,261.00,0.17,0.05,1300.00,0.86,0.05,210.00,0.14,0.05,1261.00,0.84,0.05,249.00,0.17,0.05,918.00,0.61,0.05,591.00,0.39,0.05,1401.00,0.93,0.05,109.00,0.07,0.04,1401.00,0.93,0.05,108.00,0.07,0.04,1153.00,0.76,0.05,357.00,0.24,0.05,1038.00,0.69,0.05,472.00,0.31,0.05,1300.00,0.86,0.05,210.00,0.14,0.05
NAYARIT,514.00,0.80,0.02,131.00,0.20,0.02,540.00,0.84,0.02,105.00,0.16,0.03,524.00,0.81,0.02,121.00,0.19,0.03,376.00,0.58,0.02,269.00,0.42,0.02,566.00,0.88,0.02,79.00,0.12,0.03,572.00,0.89,0.02,73.00,0.11,0.03,453.00,0.70,0.02,192.00,0.30,0.03,433.00,0.67,0.02,212.00,0.33,0.02,551.00,0.85,0.02,94.00,0.15,0.02
NUEVO LEÓN,88.00,0.85,0.00,15.00,0.15,0.00,86.00,0.84,0.00,17.00,0.17,0.00,87.00,0.85,0.00,16.00,0.16,0.00,69.00,0.67,0.00,34.00,0.33,0.00,97.00,0.94,0.00,6.00,0.06,0.00,95.00,0.92,0.00,8.00,0.08,0.00,90.00,0.87,0.00,13.00,0.13,0.00,81.00,0.79,0.00,22.00,0.21,0.00,92.00,0.89,0.00,11.00,0.11,0.00
PUEBLA,782.00,0.88,0.03,111.00,0.12,0.02,798.00,0.89,0.03,95.00,0.11,0.02,762.00,0.85,0.03,131.00,0.15,0.03,537.00,0.60,0.03,356.00,0.40,0.03,850.00,0.95,0.03,43.00,0.05,0.02,833.00,0.93,0.03,60.00,0.07,0.02,704.00,0.79,0.03,189.00,0.21,0.03,582.00,0.65,0.03,311.00,0.35,0.03,766.00,0.86,0.03,127.00,0.14,0.03
QUERÉTARO,1116.00,0.75,0.05,374.00,0.25,0.07,1269.00,0.85,0.05,221.00,0.15,0.05,1226.00,0.82,0.05,264.00,0.18,0.05,853.00,0.57,0.05,637.00,0.43,0.06,1390.00,0.93,0.05,100.00,0.07,0.04,1356.00,0.91,0.05,134.00,0.09,0.05,1082.00,0.73,0.05,408.00,0.27,0.06,963.00,0.65,0.05,527.00,0.35,0.06,1233.00,0.83,0.05,257.00,0.17,0.06
QUINTANA ROO,1115.00,0.82,0.05,248.00,0.18,0.05,1168.00,0.86,0.05,195.00,0.14,0.05,1150.00,0.84,0.05,213.00,0.16,0.04,915.00,0.67,0.05,449.00,0.33,0.04,1260.00,0.92,0.05,103.00,0.08,0.04,1227.00,0.90,0.05,136.00,0.10,0.05,1000.00,0.73,0.05,363.00,0.27,0.05,940.00,0.69,0.05,423.00,0.31,0.04,1141.00,0.84,0.05,222.00,0.16,0.05
SAN LUIS POTOSÍ,656.00,0.84,0.03,130.00,0.17,0.02,680.00,0.87,0.03,106.00,0.14,0.03,641.00,0.82,0.03,145.00,0.18,0.03,500.00,0.64,0.03,286.00,0.36,0.03,706.00,0.90,0.03,80.00,0.10,0.03,728.00,0.93,0.03,58.00,0.07,0.02,563.00,0.72,0.03,223.00,0.28,0.03,515.00,0.66,0.03,271.00,0.35,0.03,664.00,0.85,0.03,122.00,0.16,0.03
SINALOA,1216.00,0.81,0.05,280.00,0.19,0.05,1244.00,0.83,0.05,252.00,0.17,0.06,1219.00,0.82,0.05,277.00,0.19,0.06,910.00,0.61,0.05,586.00,0.39,0.05,1354.00,0.91,0.05,142.00,0.10,0.06,1352.00,0.90,0.05,144.00,0.10,0.06,1129.00,0.76,0.05,367.00,0.25,0.05,1035.00,0.69,0.05,461.00,0.31,0.05,1298.00,0.87,0.05,198.00,0.13,0.05
