Entidad,B4-A-Siempre-Recuento,B4-A-Siempre-% del N de fila,B4-A-Siempre-% de N columnas,B4-A-Muchas veces-Recuento,B4-A-Muchas veces-% del N de fila,B4-A-Muchas veces-% de N columnas,B4-A-Pocas veces-Recuento,B4-A-Pocas veces-% del N de fila,B4-A-Pocas veces-% de N columnas,B4-A-Nunca-Recuento,B4-A-Nunca-% del N de fila,B4-A-Nunca-% de N columnas,B4-B-Siempre-Recuento,B4-B-Siempre-% del N de fila,B4-B-Siempre-% de N columnas,B4-B-Muchas veces-Recuento,B4-B-Muchas veces-% del N de fila,B4-B-Muchas veces-% de N columnas,B4-B-Pocas veces-Recuento,B4-B-Pocas veces-% del N de fila,B4-B-Pocas veces-% de N columnas,B4-B-Nunca-Recuento,B4-B-Nunca-% del N de fila,B4-B-Nunca-% de N columnas,B4-C-Siempre-Recuento,B4-C-Siempre-% del N de fila,B4-C-Siempre-% de N columnas,B4-C-Muchas veces-Recuento,B4-C-Muchas veces-% del N de fila,B4-C-Muchas veces-% de N columnas,B4-C-Pocas veces-Recuento,B4-C-Pocas veces-% del N de fila,B4-C-Pocas veces-% de N columnas,B4-C-Nunca-Recuento,B4-C-Nunca-% del N de fila,B4-C-Nunca-% de N columnas,B4-D-Siempre-Recuento,B4-D-Siempre-% del N de fila,B4-D-Siempre-% de N columnas,B4-D-Muchas veces-Recuento,B4-D-Muchas veces-% del N de fila,B4-D-Muchas veces-% de N columnas,B4-D-Pocas veces-Recuento,B4-D-Pocas veces-% del N de fila,B4-D-Pocas veces-% de N columnas,B4-D-Nunca-Recuento,B4-D-Nunca-% del N de fila,B4-D-Nunca-% de N columnas,B4-E-Siempre-Recuento,B4-E-Siempre-% del N de fila,B4-E-Siempre-% de N columnas,B4-E-Muchas veces-Recuento,B4-E-Muchas veces-% del N de fila,B4-E-Muchas veces-% de N columnas,B4-E-Pocas veces-Recuento,B4-E-Pocas veces-% del N de fila,B4-E-Pocas veces-% de N columnas,B4-E-Nunca-Recuento,B4-E-Nunca-% del N de fila,B4-E-Nunca-% de N columnas,B4-F-Siempre-Recuento,B4-F-Siempre-% del N de fila,B4-F-Siempre-% de N columnas,B4-F-Muchas veces-Recuento,B4-F-Muchas veces-% del N de fila,B4-F-Muchas veces-% de N columnas,B4-F-Pocas veces-Recuento,B4-F-Pocas veces-% del N de fila,B4-F-Pocas veces-% de N columnas,B4-F-Nunca-Recuento,B4-F-Nunca-% del N de fila,B4-F-Nunca-% de N columnas,B4-G-Siempre-Recuento,B4-G-Siempre-% del N de fila,B4-G-Siempre-% de N columnas,B4-G-Muchas veces-Recuento,B4-G-Muchas veces-% del N de fila,B4-G-Muchas veces-% de N columnas,B4-G-Pocas veces-Recuento,B4-G-Pocas veces-% del N de fila,B4-G-Pocas veces-% de N columnas,B4-G-Nunca-Recuento,B4-G-Nunca-% del N de fila,B4-G-Nunca-% de N columnas,B4-H-Siempre-Recuento,B4-H-Siempre-% del N de fila,B4-H-Siempre-% de N columnas,B4-H-Muchas veces-Recuento,B4-H-Muchas veces-% del N de fila,B4-H-Muchas veces-% de N columnas,B4-H-Pocas veces-Recuento,B4-H-Pocas veces-% del N de fila,B4-H-Pocas veces-% de N columnas,B4-H-Nunca-Recuento,B4-H-Nunca-% del N de fila,B4-H-Nunca-% de N columnas,B4-I-Siempre-Recuento,B4-I-Siempre-% del N de fila,B4-I-Siempre-% de N columnas,B4-I-Muchas veces-Recuento,B4-I-Muchas veces-% del N de fila,B4-I-Muchas veces-% de N columnas,B4-I-Pocas veces-Recuento,B4-I-Pocas veces-% del N de fila,B4-I-Pocas veces-% de N columnas,B4-I-Nunca-Recuento,B4-I-Nunca-% del N de fila,B4-I-Nunca-% de N columnas,B4-J-Siempre-Recuento,B4-J-Siempre-% del N de fila,B4-J-Siempre-% de N columnas,B4-J-Muchas veces-Recuento,B4-J-Muchas veces-% del N de fila,B4-J-Muchas veces-% de N columnas,B4-J-Pocas veces-Recuento,B4-J-Pocas veces-% del N de fila,B4-J-Pocas veces-% de N columnas,B4-J-Nunca-Recuento,B4-J-Nunca-% del N de fila,B4-J-Nunca-% de N columnas,B4-K-Siempre-Recuento,B4-K-Siempre-% del N de fila,B4-K-Siempre-% de N columnas,B4-K-Muchas veces-Recuento,B4-K-Muchas veces-% del N de fila,B4-K-Muchas veces-% de N columnas,B4-K-Pocas veces-Recuento,B4-K-Pocas veces-% del N de fila,B4-K-Pocas veces-% de N columnas,B4-K-Nunca-Recuento,B4-K-Nunca-% del N de fila,B4-K-Nunca-% de N columnas
AGUASCALIENTES,722.00,0.50,0.05,511.00,0.35,0.05,215.00,0.15,0.04,9.00,0.01,0.04,831.00,0.57,0.05,531.00,0.36,0.05,90.00,0.06,0.04,5.00,0.00,0.05,188.00,0.13,0.04,290.00,0.20,0.05,720.00,0.49,0.05,259.00,0.18,0.05,545.00,0.37,0.05,623.00,0.43,0.05,264.00,0.18,0.05,25.00,0.02,0.07,567.00,0.39,0.05,644.00,0.44,0.05,233.00,0.16,0.05,13.00,0.01,0.04,147.00,0.10,0.05,311.00,0.21,0.05,630.00,0.43,0.05,369.00,0.25,0.05,538.00,0.37,0.05,642.00,0.44,0.05,252.00,0.17,0.05,25.00,0.02,0.04,529.00,0.36,0.05,668.00,0.46,0.05,241.00,0.17,0.05,19.00,0.01,0.05,630.00,0.43,0.05,644.00,0.44,0.05,168.00,0.12,0.05,15.00,0.01,0.06,662.00,0.45,0.05,616.00,0.42,0.05,164.00,0.11,0.04,15.00,0.01,0.06,587.00,0.40,0.05,664.00,0.46,0.05,180.00,0.12,0.04,26.00,0.02,0.07
BAJA CALIFORNIA,68.00,0.61,0.01,27.00,0.24,0.00,16.00,0.14,0.00,1.00,0.01,0.00,82.00,0.73,0.01,27.00,0.24,0.00,3.00,0.03,0.00,0.00,0.00,0.00,5.00,0.05,0.00,15.00,0.13,0.00,55.00,0.49,0.00,37.00,0.33,0.01,57.00,0.51,0.01,45.00,0.40,0.00,9.00,0.08,0.00,1.00,0.01,0.00,59.00,0.53,0.01,42.00,0.38,0.00,10.00,0.09,0.00,1.00,0.01,0.00,4.00,0.04,0.00,13.00,0.12,0.00,52.00,0.46,0.00,43.00,0.38,0.01,53.00,0.47,0.01,48.00,0.43,0.00,10.00,0.09,0.00,1.00,0.01,0.00,50.00,0.45,0.01,50.00,0.45,0.00,12.00,0.11,0.00,0.00,0.00,0.00,57.00,0.51,0.01,39.00,0.35,0.00,15.00,0.13,0.00,1.00,0.01,0.00,70.00,0.63,0.01,33.00,0.30,0.00,9.00,0.08,0.00,0.00,0.00,0.00,67.00,0.60,0.01,41.00,0.37,0.00,3.00,0.03,0.00,1.00,0.01,0.00
BAJA CALIFORNIA SUR,570.00,0.46,0.04,469.00,0.38,0.04,204.00,0.16,0.04,8.00,0.01,0.03,709.00,0.57,0.04,468.00,0.37,0.04,68.00,0.05,0.03,6.00,0.01,0.07,171.00,0.14,0.04,239.00,0.19,0.04,605.00,0.48,0.04,236.00,0.19,0.05,493.00,0.39,0.04,534.00,0.43,0.04,208.00,0.17,0.04,16.00,0.01,0.04,431.00,0.35,0.04,588.00,0.47,0.05,219.00,0.18,0.04,13.00,0.01,0.04,137.00,0.11,0.04,268.00,0.21,0.04,515.00,0.41,0.04,331.00,0.27,0.04,429.00,0.34,0.04,571.00,0.46,0.04,226.00,0.18,0.04,25.00,0.02,0.04,404.00,0.32,0.04,609.00,0.49,0.05,223.00,0.18,0.04,15.00,0.01,0.04,501.00,0.40,0.04,593.00,0.47,0.04,151.00,0.12,0.04,6.00,0.01,0.03,554.00,0.44,0.04,540.00,0.43,0.04,149.00,0.12,0.04,8.00,0.01,0.03,511.00,0.41,0.04,565.00,0.45,0.04,162.00,0.13,0.04,13.00,0.01,0.03
CAMPECHE,263.00,0.49,0.02,178.00,0.33,0.02,89.00,0.17,0.02,7.00,0.01,0.03,310.00,0.58,0.02,187.00,0.35,0.02,37.00,0.07,0.02,3.00,0.01,0.03,99.00,0.18,0.02,110.00,0.21,0.02,243.00,0.45,0.02,85.00,0.16,0.02,232.00,0.43,0.02,209.00,0.39,0.02,87.00,0.16,0.02,9.00,0.02,0.02,223.00,0.42,0.02,220.00,0.41,0.02,83.00,0.16,0.02,11.00,0.02,0.03,75.00,0.14,0.02,113.00,0.21,0.02,216.00,0.40,0.02,133.00,0.25,0.02,214.00,0.40,0.02,213.00,0.40,0.02,96.00,0.18,0.02,14.00,0.03,0.02,204.00,0.38,0.02,233.00,0.43,0.02,89.00,0.17,0.02,11.00,0.02,0.03,248.00,0.46,0.02,213.00,0.40,0.02,71.00,0.13,0.02,5.00,0.01,0.02,255.00,0.48,0.02,201.00,0.37,0.02,71.00,0.13,0.02,10.00,0.02,0.04,242.00,0.45,0.02,225.00,0.42,0.02,62.00,0.12,0.02,8.00,0.02,0.02
CHIAPAS,133.00,0.55,0.01,76.00,0.31,0.01,34.00,0.14,0.01,0.00,0.00,0.00,143.00,0.59,0.01,88.00,0.36,0.01,12.00,0.05,0.01,0.00,0.00,0.00,33.00,0.14,0.01,35.00,0.14,0.01,126.00,0.52,0.01,49.00,0.20,0.01,119.00,0.49,0.01,79.00,0.33,0.01,42.00,0.17,0.01,3.00,0.01,0.01,94.00,0.39,0.01,98.00,0.40,0.01,49.00,0.20,0.01,2.00,0.01,0.01,25.00,0.10,0.01,40.00,0.17,0.01,103.00,0.42,0.01,75.00,0.31,0.01,105.00,0.43,0.01,95.00,0.39,0.01,39.00,0.16,0.01,4.00,0.02,0.01,97.00,0.40,0.01,106.00,0.44,0.01,38.00,0.16,0.01,2.00,0.01,0.01,121.00,0.50,0.01,99.00,0.41,0.01,23.00,0.10,0.01,0.00,0.00,0.00,127.00,0.52,0.01,97.00,0.40,0.01,17.00,0.07,0.01,2.00,0.01,0.01,117.00,0.48,0.01,97.00,0.40,0.01,29.00,0.12,0.01,0.00,0.00,0.00
CHIHUAHUA,631.00,0.43,0.05,570.00,0.39,0.05,245.00,0.17,0.05,14.00,0.01,0.06,761.00,0.52,0.05,591.00,0.41,0.05,102.00,0.07,0.05,6.00,0.00,0.07,230.00,0.16,0.05,321.00,0.22,0.06,702.00,0.48,0.05,207.00,0.14,0.04,542.00,0.37,0.05,633.00,0.43,0.05,263.00,0.18,0.05,22.00,0.02,0.06,545.00,0.37,0.05,641.00,0.44,0.05,260.00,0.18,0.05,14.00,0.01,0.04,182.00,0.13,0.06,319.00,0.22,0.05,628.00,0.43,0.05,331.00,0.23,0.04,488.00,0.33,0.05,660.00,0.45,0.05,278.00,0.19,0.05,34.00,0.02,0.06,452.00,0.31,0.05,725.00,0.50,0.05,261.00,0.18,0.05,22.00,0.02,0.06,569.00,0.39,0.05,695.00,0.48,0.05,182.00,0.13,0.05,14.00,0.01,0.06,621.00,0.43,0.05,664.00,0.46,0.05,165.00,0.11,0.04,10.00,0.01,0.04,550.00,0.38,0.05,667.00,0.46,0.05,226.00,0.16,0.05,17.00,0.01,0.04
CIUDAD DE MÉXICO,718.00,0.41,0.05,640.00,0.37,0.06,375.00,0.21,0.07,17.00,0.01,0.07,960.00,0.55,0.06,620.00,0.35,0.06,169.00,0.10,0.08,1.00,0.00,0.01,258.00,0.15,0.06,368.00,0.21,0.06,870.00,0.50,0.06,254.00,0.15,0.05,645.00,0.37,0.06,693.00,0.40,0.06,392.00,0.22,0.07,20.00,0.01,0.05,661.00,0.38,0.06,752.00,0.43,0.06,311.00,0.18,0.06,26.00,0.02,0.08,173.00,0.10,0.05,342.00,0.20,0.06,772.00,0.44,0.06,463.00,0.27,0.06,612.00,0.35,0.06,771.00,0.44,0.06,324.00,0.19,0.06,43.00,0.03,0.07,549.00,0.31,0.05,815.00,0.47,0.06,353.00,0.20,0.07,33.00,0.02,0.09,701.00,0.40,0.06,779.00,0.45,0.06,255.00,0.15,0.07,15.00,0.01,0.06,743.00,0.43,0.06,730.00,0.42,0.06,265.00,0.15,0.07,12.00,0.01,0.05,652.00,0.37,0.06,799.00,0.46,0.06,274.00,0.16,0.07,25.00,0.01,0.06
COAHUILA,167.00,0.46,0.01,145.00,0.40,0.01,52.00,0.14,0.01,3.00,0.01,0.01,195.00,0.53,0.01,146.00,0.40,0.01,26.00,0.07,0.01,0.00,0.00,0.00,38.00,0.10,0.01,69.00,0.19,0.01,194.00,0.53,0.01,66.00,0.18,0.01,147.00,0.40,0.01,157.00,0.43,0.01,62.00,0.17,0.01,1.00,0.00,0.00,154.00,0.42,0.01,156.00,0.43,0.01,56.00,0.15,0.01,1.00,0.00,0.00,38.00,0.10,0.01,76.00,0.21,0.01,147.00,0.40,0.01,106.00,0.29,0.01,135.00,0.37,0.01,172.00,0.47,0.01,56.00,0.15,0.01,4.00,0.01,0.01,129.00,0.35,0.01,181.00,0.49,0.01,54.00,0.15,0.01,3.00,0.01,0.01,162.00,0.44,0.01,157.00,0.43,0.01,45.00,0.12,0.01,3.00,0.01,0.01,167.00,0.46,0.01,153.00,0.42,0.01,44.00,0.12,0.01,3.00,0.01,0.01,164.00,0.45,0.01,159.00,0.43,0.01,39.00,0.11,0.01,5.00,0.01,0.01
COLIMA,568.00,0.56,0.04,324.00,0.32,0.03,120.00,0.12,0.02,3.00,0.00,0.01,670.00,0.66,0.04,302.00,0.30,0.03,40.00,0.04,0.02,3.00,0.00,0.03,156.00,0.15,0.04,171.00,0.17,0.03,447.00,0.44,0.03,241.00,0.24,0.05,459.00,0.45,0.04,391.00,0.39,0.03,156.00,0.15,0.03,9.00,0.01,0.02,465.00,0.46,0.04,407.00,0.40,0.03,137.00,0.14,0.03,6.00,0.01,0.02,127.00,0.13,0.04,167.00,0.17,0.03,403.00,0.40,0.03,318.00,0.31,0.04,430.00,0.42,0.04,422.00,0.42,0.03,144.00,0.14,0.03,19.00,0.02,0.03,423.00,0.42,0.04,411.00,0.41,0.03,170.00,0.17,0.03,11.00,0.01,0.03,486.00,0.48,0.04,404.00,0.40,0.03,113.00,0.11,0.03,12.00,0.01,0.05,526.00,0.52,0.04,393.00,0.39,0.03,91.00,0.09,0.02,5.00,0.01,0.02,495.00,0.49,0.04,396.00,0.39,0.03,114.00,0.11,0.03,10.00,0.01,0.03
DURANGO,422.00,0.43,0.03,374.00,0.38,0.04,181.00,0.18,0.04,6.00,0.01,0.03,510.00,0.52,0.03,408.00,0.42,0.04,63.00,0.06,0.03,2.00,0.00,0.02,137.00,0.14,0.03,185.00,0.19,0.03,500.00,0.51,0.04,161.00,0.16,0.03,330.00,0.34,0.03,433.00,0.44,0.04,208.00,0.21,0.04,12.00,0.01,0.03,317.00,0.32,0.03,483.00,0.49,0.04,170.00,0.17,0.03,13.00,0.01,0.04,98.00,0.10,0.03,201.00,0.20,0.03,453.00,0.46,0.04,231.00,0.24,0.03,285.00,0.29,0.03,465.00,0.47,0.04,207.00,0.21,0.04,26.00,0.03,0.04,275.00,0.28,0.03,498.00,0.51,0.04,199.00,0.20,0.04,11.00,0.01,0.03,366.00,0.37,0.03,490.00,0.50,0.04,122.00,0.12,0.03,5.00,0.01,0.02,392.00,0.40,0.03,446.00,0.45,0.04,138.00,0.14,0.04,7.00,0.01,0.03,322.00,0.33,0.03,495.00,0.50,0.04,155.00,0.16,0.04,11.00,0.01,0.03
