Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
AGUASCALIENTES,1437.000,0.985,0.049,16.000,0.011,0.047,6.000,0.004,0.067,1418.000,0.972,0.050,28.000,0.019,0.035,13.000,0.009,0.061,1279.000,0.877,0.050,140.000,0.096,0.046,40.000,0.027,0.048,1344.000,0.921,0.050,53.000,0.036,0.043,62.000,0.042,0.054,1285.000,0.881,0.050,123.000,0.084,0.053,51.000,0.035,0.039,1146.000,0.785,0.051,214.000,0.147,0.044,99.000,0.068,0.046,1071.000,0.734,0.052,265.000,0.182,0.043,123.000,0.084,0.044,1049.000,0.719,0.052,272.000,0.186,0.044,138.000,0.095,0.045,946.000,0.648,0.051,299.000,0.205,0.045,214.000,0.147,0.049
BAJA CALIFORNIA,110.000,0.982,0.004,1.000,0.009,0.003,1.000,0.009,0.011,112.000,1.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,99.000,0.884,0.004,10.000,0.089,0.003,3.000,0.027,0.004,93.000,0.830,0.003,4.000,0.036,0.003,15.000,0.134,0.013,99.000,0.884,0.004,9.000,0.080,0.004,4.000,0.036,0.003,82.000,0.732,0.004,17.000,0.152,0.003,13.000,0.116,0.006,82.000,0.732,0.004,19.000,0.170,0.003,11.000,0.098,0.004,82.000,0.732,0.004,18.000,0.161,0.003,12.000,0.107,0.004,67.000,0.598,0.004,26.000,0.232,0.004,19.000,0.170,0.004
BAJA CALIFORNIA SUR,1232.000,0.986,0.042,14.000,0.011,0.041,3.000,0.002,0.033,1205.000,0.965,0.042,33.000,0.026,0.041,11.000,0.009,0.052,1092.000,0.874,0.043,122.000,0.098,0.040,35.000,0.028,0.042,1174.000,0.940,0.043,42.000,0.034,0.034,33.000,0.026,0.029,1094.000,0.876,0.042,109.000,0.087,0.047,46.000,0.037,0.035,953.000,0.763,0.042,198.000,0.159,0.041,98.000,0.078,0.046,870.000,0.697,0.042,262.000,0.210,0.042,117.000,0.094,0.042,887.000,0.710,0.044,250.000,0.200,0.040,112.000,0.090,0.037,784.000,0.628,0.042,271.000,0.217,0.040,194.000,0.155,0.045
CAMPECHE,531.000,0.989,0.018,4.000,0.007,0.012,2.000,0.004,0.022,522.000,0.972,0.018,10.000,0.019,0.012,5.000,0.009,0.023,477.000,0.888,0.019,45.000,0.084,0.015,15.000,0.028,0.018,484.000,0.901,0.018,27.000,0.050,0.022,26.000,0.048,0.023,441.000,0.821,0.017,51.000,0.095,0.022,45.000,0.084,0.034,424.000,0.790,0.019,70.000,0.130,0.014,43.000,0.080,0.020,387.000,0.721,0.019,100.000,0.186,0.016,50.000,0.093,0.018,370.000,0.689,0.018,108.000,0.201,0.017,59.000,0.110,0.019,361.000,0.672,0.020,108.000,0.201,0.016,68.000,0.127,0.016
CHIAPAS,239.000,0.980,0.008,3.000,0.012,0.009,2.000,0.008,0.022,232.000,0.951,0.008,11.000,0.045,0.014,1.000,0.004,0.005,205.000,0.840,0.008,31.000,0.127,0.010,8.000,0.033,0.010,208.000,0.852,0.008,14.000,0.057,0.011,22.000,0.090,0.019,206.000,0.844,0.008,19.000,0.078,0.008,19.000,0.078,0.014,175.000,0.717,0.008,44.000,0.180,0.009,25.000,0.102,0.012,168.000,0.689,0.008,56.000,0.230,0.009,20.000,0.082,0.007,151.000,0.619,0.007,63.000,0.258,0.010,30.000,0.123,0.010,142.000,0.582,0.008,69.000,0.283,0.010,33.000,0.135,0.008
CHIHUAHUA,1437.000,0.989,0.049,12.000,0.008,0.035,4.000,0.003,0.044,1401.000,0.964,0.049,42.000,0.029,0.052,10.000,0.007,0.047,1239.000,0.853,0.048,164.000,0.113,0.054,50.000,0.034,0.061,1361.000,0.937,0.050,51.000,0.035,0.041,41.000,0.028,0.036,1276.000,0.878,0.049,111.000,0.076,0.048,66.000,0.045,0.050,1123.000,0.773,0.050,240.000,0.165,0.049,90.000,0.062,0.042,980.000,0.674,0.048,326.000,0.224,0.053,147.000,0.101,0.053,998.000,0.687,0.049,299.000,0.206,0.048,156.000,0.107,0.051,895.000,0.616,0.048,317.000,0.218,0.047,241.000,0.166,0.055
CIUDAD DE MÉXICO,1724.000,0.992,0.059,9.000,0.005,0.026,5.000,0.003,0.056,1659.000,0.955,0.058,59.000,0.034,0.074,20.000,0.012,0.094,1493.000,0.859,0.058,188.000,0.108,0.062,57.000,0.033,0.069,1657.000,0.953,0.061,44.000,0.025,0.036,37.000,0.021,0.032,1552.000,0.893,0.060,119.000,0.068,0.051,67.000,0.039,0.051,1247.000,0.717,0.055,330.000,0.190,0.068,161.000,0.093,0.075,1069.000,0.615,0.052,412.000,0.237,0.067,257.000,0.148,0.092,1175.000,0.676,0.058,355.000,0.204,0.057,208.000,0.120,0.068,1038.000,0.597,0.056,401.000,0.231,0.060,299.000,0.172,0.069
COAHUILA,363.000,0.986,0.012,5.000,0.014,0.015,0.000,0.000,0.000,355.000,0.965,0.012,12.000,0.033,0.015,1.000,0.003,0.005,321.000,0.872,0.013,34.000,0.092,0.011,13.000,0.035,0.016,335.000,0.910,0.012,17.000,0.046,0.014,16.000,0.043,0.014,312.000,0.848,0.012,32.000,0.087,0.014,24.000,0.065,0.018,268.000,0.728,0.012,67.000,0.182,0.014,33.000,0.090,0.015,238.000,0.647,0.012,92.000,0.250,0.015,38.000,0.103,0.014,234.000,0.636,0.012,93.000,0.253,0.015,41.000,0.111,0.013,204.000,0.554,0.011,103.000,0.280,0.015,61.000,0.166,0.014
COLIMA,1001.000,0.986,0.034,13.000,0.013,0.038,1.000,0.001,0.011,987.000,0.972,0.035,25.000,0.025,0.031,3.000,0.003,0.014,899.000,0.886,0.035,98.000,0.097,0.032,18.000,0.018,0.022,925.000,0.911,0.034,56.000,0.055,0.045,34.000,0.033,0.029,922.000,0.908,0.036,71.000,0.070,0.031,22.000,0.022,0.017,747.000,0.736,0.033,200.000,0.197,0.041,68.000,0.067,0.032,721.000,0.710,0.035,218.000,0.215,0.035,76.000,0.075,0.027,714.000,0.703,0.035,222.000,0.219,0.036,79.000,0.078,0.026,626.000,0.617,0.034,240.000,0.236,0.036,149.000,0.147,0.034
DURANGO,971.000,0.986,0.033,12.000,0.012,0.035,2.000,0.002,0.022,951.000,0.965,0.033,28.000,0.028,0.035,6.000,0.006,0.028,863.000,0.876,0.034,97.000,0.098,0.032,25.000,0.025,0.030,936.000,0.950,0.035,35.000,0.036,0.028,14.000,0.014,0.012,887.000,0.901,0.034,71.000,0.072,0.031,27.000,0.027,0.020,776.000,0.788,0.035,140.000,0.142,0.029,69.000,0.070,0.032,705.000,0.716,0.034,193.000,0.196,0.031,87.000,0.088,0.031,702.000,0.713,0.035,194.000,0.197,0.031,89.000,0.090,0.029,643.000,0.653,0.035,208.000,0.211,0.031,134.000,0.136,0.031
